Date,Open,High,Low,Close,Volume,Adj Close
2012-05-29,72.475,74.8,71.0,71.775,647900,35.173
2012-05-30,71.45,72.225,70.7,70.975,385900,34.781
2012-05-31,70.0,70.85,68.525,70.375,329500,34.487
2012-06-01,70.65,71.875,70.075,71.15,293900,34.867
2012-06-04,70.525,71.5,66.075,68.1,317100,33.372
2012-06-05,68.4,70.875,67.55,67.9,256700,33.274
2012-06-06,68.5,70.1,65.9,67.2,364400,32.931
2012-06-07,68.425,69.9,67.0,67.125,271100,32.894
2012-06-08,67.0,68.45,66.4,66.975,256500,32.821
2012-06-11,64.55,67.45,64.55,66.775,197800,32.723
2012-06-12,64.55,67.2,64.55,66.025,258400,32.355
2012-06-13,67.35,71.975,66.0,66.7,302400,32.686
2012-06-14,66.075,66.825,64.55,65.5,212100,32.098
2012-06-15,66.75,66.775,65.025,65.425,290400,32.061
2012-06-18,64.15,66.7,64.15,64.775,207100,31.743
2012-06-19,64.875,67.475,63.625,64.475,281800,31.596
2012-06-20,65.45,65.45,63.8,64.275,287100,31.498
2012-06-21,65.4,65.4,60.85,63.0,259100,30.873
2012-06-22,63.95,64.925,63.0,64.15,498200,31.436
2012-06-25,64.55,65.25,63.7,64.75,227100,31.731
2012-06-26,64.75,64.75,63.05,63.8,258000,31.265
2012-06-27,64.475,66.35,64.075,65.475,358500,32.086
2012-06-28,64.55,68.4,64.55,66.55,339600,32.613
2012-06-29,66.425,70.25,65.625,70.025,428700,34.316
2012-07-02,70.55,70.95,67.1,70.05,280400,34.328
2012-07-03,71.25,71.45,68.675,70.625,249000,34.61
2012-07-04,69.8,71.2,68.575,69.75,204400,34.181
2012-07-05,70.0,70.95,68.525,70.125,250900,34.365
2012-07-06,71.4,71.975,69.0,70.925,323800,34.757
2012-07-09,70.75,71.05,69.5,69.6,199300,34.107
2012-07-10,69.75,71.35,69.0,69.9,209400,34.254
2012-07-11,70.0,70.75,69.075,69.8,216800,34.205
2012-07-12,68.75,69.95,68.5,69.325,198600,33.972
2012-07-13,70.0,70.475,67.025,67.825,213300,33.237
2012-07-16,70.0,70.0,66.55,69.25,355800,33.936
2012-07-17,70.25,70.35,68.0,68.925,220000,33.776
2012-07-18,68.375,70.0,68.375,69.2,279400,33.911
2012-07-19,69.5,69.85,68.05,68.65,148200,33.642
2012-07-20,69.0,71.45,68.1,70.675,304000,34.634
2012-07-23,70.5,72.225,68.625,71.775,321800,35.173
2012-07-24,71.25,71.775,70.05,70.75,150000,34.671
2012-07-25,70.0,71.35,69.75,70.65,176300,34.622
2012-07-26,70.0,71.1,66.6,68.325,243800,33.482
2012-07-27,69.25,69.75,67.25,69.175,217400,33.899
2012-07-30,69.175,69.7,68.0,68.275,206900,33.458
2012-07-31,68.5,69.7,67.3,67.75,232900,33.201
2012-08-01,68.35,69.55,63.5,69.025,241100,33.825
2012-08-02,69.85,69.85,67.5,68.725,261900,33.678
2012-08-03,69.125,69.25,67.075,68.225,220900,33.433
2012-08-06,67.75,69.75,67.5,68.55,220900,33.593
2012-08-07,68.5,69.35,67.25,68.45,276400,33.544
2012-08-08,68.05,69.45,68.0,68.675,236500,33.654
2012-08-09,68.925,69.1,67.9,68.6,275300,33.617
2012-08-10,68.95,69.45,68.15,68.55,221800,33.593
2012-08-13,68.025,69.425,67.325,68.175,214000,33.409
2012-08-14,68.625,68.925,67.25,68.1,236500,33.372
2012-08-16,67.975,68.25,66.6,67.25,238600,32.956
2012-08-17,66.3,67.575,66.0,66.075,272000,32.38
2012-08-21,66.975,67.425,65.0,66.675,268200,32.674
2012-08-22,66.75,67.075,65.175,65.85,240200,32.27
2012-08-23,66.475,66.9,65.05,66.35,260600,32.515
2012-08-24,67.5,67.5,65.25,65.9,310300,32.294
2012-08-27,67.5,67.95,65.25,65.95,273700,32.319
2012-08-28,67.0,67.0,64.125,64.775,222100,31.743
2012-08-29,65.475,65.75,63.95,64.275,235100,31.498
2012-08-30,63.0,65.625,63.0,65.0,253500,31.853
2012-08-31,65.5,66.05,63.775,65.85,308900,32.27
2012-09-03,65.75,66.5,64.7,65.025,235900,31.865
2012-09-04,65.85,65.975,64.1,65.1,256200,31.902
2012-09-05,65.775,66.45,64.1,65.25,249200,31.976
2012-09-06,66.4,66.4,64.325,65.775,269600,32.233
2012-09-07,66.925,68.9,64.8,68.325,308400,33.482
2012-09-10,69.75,72.5,69.75,70.325,247200,34.615
2012-09-11,71.0,71.9,69.6,70.125,313800,34.516
2012-09-12,69.75,71.0,69.55,70.15,297500,34.528
2012-09-13,70.125,71.25,69.15,69.925,221500,34.418
2012-09-14,70.5,71.45,69.125,69.6,214600,34.258
2012-09-17,70.625,70.9,68.7,69.275,236900,34.098
2012-09-18,69.95,70.7,68.5,68.875,324600,33.901
2012-09-20,69.525,70.475,64.975,66.8,295900,32.879
2012-09-21,68.45,69.225,66.825,68.8,294800,33.864
2012-09-24,68.5,69.85,67.0,68.925,236900,33.925
2012-09-25,69.1,69.9,68.075,69.325,306800,34.122
2012-09-26,69.075,69.85,68.1,69.1,312600,34.012
