Date,Open,High,Low,Close,Volume,Adj Close
2007-08-27,890.0,945.7,832.0,910.05,74736700,75.307
2007-08-28,918.5,962.75,904.0,921.1,29719000,76.221
2007-08-29,840.0,934.9,840.0,926.0,11796500,76.627
2007-08-30,852.0,944.0,852.0,908.0,6411600,75.137
2007-08-31,911.0,925.0,890.0,901.0,3211200,74.558
2007-09-03,904.4,912.0,893.0,897.0,1934800,74.227
2007-09-04,900.05,1045.0,900.05,998.35,36517000,82.61399999999999
2007-09-05,1002.6,1034.7,984.9,991.0,12614400,82.006
2007-09-06,990.0,1021.7,975.0,995.2,5475800,82.353
2007-09-07,1007.7,1028.0,985.0,987.75,5642100,81.737
2007-09-10,855.7,993.0,855.7,991.15,2340400,82.01799999999999
2007-09-11,988.5,1023.5,985.1,992.15,4182800,82.101
2007-09-12,1009.9,1048.0,995.0,1032.1,7047200,85.40700000000001
2007-09-13,1040.0,1051.2,1020.0,1024.0,3988600,84.736
2007-09-14,1033.4,1074.7,1027.0,1034.0,5184600,85.564
2007-09-17,1030.0,1064.45,1026.0,1027.0,2248200,84.985
2007-09-18,1034.4,1091.0,1034.35,1081.0,5219500,89.45299999999999
2007-09-19,1174.0,1174.0,1078.0,1083.0,3164400,89.619
2007-09-20,1061.0,1088.8,979.9,1010.0,1820900,83.57799999999999
2007-09-21,1006.0,1018.0,993.5,1007.0,1710600,83.33
2007-09-24,1012.0,1050.0,999.55,1047.0,1455200,86.64
2007-09-25,1051.0,1058.0,1015.0,1030.4,914000,85.266
2007-09-26,1039.0,1049.0,1015.0,1034.0,485700,85.564
2007-09-27,1040.0,1066.5,1030.0,1054.9,699700,87.29299999999999
2007-09-28,1050.0,1050.0,1023.0,1025.0,231700,84.819
2007-10-01,980.0,1055.0,980.0,1040.0,331000,86.06
2007-10-03,1055.0,1055.0,985.0,1015.0,376300,83.992
2007-10-04,1020.0,1034.0,991.15,1008.7,715400,83.47
2007-10-05,1015.0,1145.0,1002.5,1140.0,2298100,94.335
2007-10-08,1120.0,1150.5,1013.0,1049.95,565600,86.884
2007-10-09,1020.0,1149.0,1020.0,1124.0,845600,93.01100000000001
2007-10-10,1127.0,1255.0,1109.0,1208.05,1332100,99.96700000000001
2007-10-11,1205.3,1239.95,1150.0,1170.0,507500,96.818
2007-10-12,1170.0,1189.0,1111.0,1145.0,362900,94.749
2007-10-15,1197.9,1197.9,1130.0,1185.0,304300,98.059
2007-10-16,1170.0,1195.0,1135.1,1179.6,160200,97.61200000000001
2007-10-17,950.0,1250.0,950.0,1195.55,778000,98.932
2007-10-18,1249.0,1277.0,1175.05,1180.0,514000,97.645
2007-10-19,1040.1,1219.0,1040.1,1138.7,135400,94.228
2007-10-22,1168.65,1168.65,1055.0,1100.95,82600,91.104
2007-10-23,1155.0,1220.0,1125.5,1200.0,204400,99.3
2007-10-24,1220.0,1299.0,1150.0,1162.2,191000,96.17200000000001
