Date,Open,High,Low,Close,Volume,Adj Close
1996-01-01,204.35,225.0,203.5,204.1,4700,72.63
1996-01-02,204.1,204.0,200.0,200.7,10300,71.42
1996-01-03,200.7,201.85,200.0,201.1,5900,71.56
1996-01-04,201.1,200.0,196.55,199.0,7700,70.81
1996-01-05,199.0,198.0,195.0,196.8,6800,70.03
1996-01-08,196.8,195.0,190.55,194.0,14100,69.04
1996-01-09,194.0,195.0,188.0,192.3,14500,68.43
1996-01-10,192.3,192.3,189.3,191.85,5600,68.27
1996-01-11,191.85,193.5,190.25,193.5,9700,68.86
1996-01-12,193.5,193.25,192.0,192.0,14900,68.32
1996-01-15,192.0,193.1,180.0,190.65,10800,67.84
1996-01-16,190.65,191.5,189.05,190.25,20400,67.7
1996-01-17,190.25,188.75,185.0,185.0,13200,65.83
1996-01-18,185.0,184.0,180.0,181.1,39300,64.44
1996-01-19,181.1,181.0,178.0,178.45,15000,63.5
1996-01-22,178.45,180.0,176.0,177.05,11200,63.0
1996-01-23,177.05,178.0,172.0,174.95,13900,62.26
1996-01-24,174.95,173.5,168.0,171.3,5900,60.96
1996-01-25,171.3,170.95,168.0,170.55,7300,60.69
1996-01-29,170.55,172.25,167.55,171.1,9300,60.89
1996-01-30,171.1,177.0,172.0,174.5,8300,62.1
1996-01-31,174.5,178.0,174.5,176.6,3100,62.84
1996-02-01,176.6,180.0,176.05,179.5,8100,63.88
1996-02-02,179.5,193.0,181.0,189.0,12400,67.26
1996-02-05,189.0,199.0,189.0,191.0,14500,67.97
1996-02-06,191.0,197.9,188.05,191.35,24400,68.09
1996-02-07,191.35,191.9,183.0,191.3,15300,68.07
1996-02-08,191.3,199.0,190.0,195.65,16900,69.62
1996-02-09,195.65,211.0,200.0,210.7,48600,74.98
1996-02-12,210.7,225.0,211.75,218.95,50000,77.91
1996-02-13,218.95,219.0,193.75,216.4,30700,77.01
1996-02-14,216.4,230.0,220.0,227.9,29600,81.1
1996-02-15,227.9,231.0,225.05,230.05,33600,81.86
1996-02-16,230.05,228.75,223.5,227.1,24500,80.81
1996-02-19,227.1,227.0,222.1,222.4,11400,79.14
1996-02-20,222.4,223.5,217.5,218.2,37800,77.65
1996-02-22,218.2,223.0,219.0,221.45,17000,78.8
1996-02-23,221.45,224.95,220.0,223.45,18500,79.52
1996-02-26,223.45,231.0,221.05,226.35,37400,80.55
1996-02-27,226.35,228.0,223.0,226.5,12800,80.6
1996-02-28,226.5,230.0,226.0,226.65,6600,80.65
1996-02-29,215.0,222.0,211.1,212.45,5200,75.6
1996-03-01,212.45,218.0,211.5,215.05,7800,76.53
1996-03-04,215.05,217.5,215.0,215.3,20500,76.62
1996-03-06,215.3,220.0,216.0,219.4,9400,78.07
1996-03-07,219.4,219.85,218.1,218.65,5800,77.81
1996-03-08,218.65,216.25,212.1,215.85,8700,76.81
1996-03-11,215.85,216.0,209.0,214.4,15400,76.29
1996-03-12,214.4,214.75,211.0,212.2,16500,75.51
1996-03-13,212.2,221.0,212.4,220.8,13700,78.57
1996-03-14,220.8,221.25,216.3,218.0,10800,77.58
1996-03-15,218.0,217.2,200.0,214.55,5900,76.35
1996-03-18,214.55,213.0,197.75,210.3,26500,74.84
1996-03-19,210.3,214.0,208.0,209.55,15200,74.57
1996-03-21,209.55,212.5,208.5,210.05,3800,74.75
1996-03-22,210.05,210.0,206.05,209.75,3400,74.64
1996-03-25,209.75,209.05,207.6,208.35,2700,74.14
1996-03-26,208.35,206.05,203.0,204.1,8800,72.63
1996-03-27,204.1,222.0,207.0,208.15,5800,74.07
1996-03-28,208.15,212.5,208.55,212.0,7400,75.44
1996-03-29,212.0,213.0,208.0,210.05,5800,74.75
1996-04-01,210.05,212.95,210.0,211.85,5000,75.39
1996-04-02,211.85,218.5,211.3,215.45,12600,76.67
1996-04-03,215.45,220.0,217.0,217.6,7400,77.43
1996-04-04,217.6,222.0,213.0,220.0,12000,78.29
1996-04-08,220.0,226.0,223.0,225.5,17300,80.24
1996-04-09,225.5,234.5,224.0,225.9,50600,80.39
1996-04-10,225.9,230.15,226.25,227.0,13100,80.78
1996-04-11,227.0,228.0,221.0,227.15,14300,80.83
1996-04-12,227.15,230.0,224.0,229.65,13800,81.72
1996-04-15,229.65,236.0,229.0,233.2,61200,82.98
1996-04-16,233.2,237.0,230.0,236.05,53400,84.0
1996-04-17,236.05,246.0,240.0,241.5,24800,85.94
1996-04-18,241.5,250.0,242.0,245.35,52900,87.31
1996-04-19,245.35,254.0,247.0,252.3,75000,89.78
1996-04-22,252.3,256.0,246.5,248.9,38200,88.57
1996-04-23,248.9,248.0,243.05,246.35,29300,87.66
1996-04-24,246.35,259.0,251.5,257.45,40600,91.61
1996-04-25,260.0,265.0,244.0,248.1,50500,88.29
1996-04-26,248.1,257.0,247.5,255.35,61000,90.87
1996-04-29,255.35,257.0,253.25,256.0,28400,91.1
1996-04-30,256.0,257.0,254.1,255.4,33900,90.88
1996-05-01,255.4,260.0,256.25,259.1,14700,92.2
1996-05-02,259.1,258.75,251.3,255.95,22000,91.08
1996-05-03,255.95,256.0,253.3,254.75,13100,90.65
1996-05-06,254.75,252.4,246.0,250.2,29800,89.03
1996-05-07,250.2,253.5,248.0,251.35,33800,89.44
1996-05-08,251.35,255.0,245.1,253.75,29000,90.3
1996-05-09,248.0,255.0,247.25,253.85,83400,90.33
1996-05-10,253.85,247.0,240.5,244.5,22900,87.01
1996-05-13,244.5,248.0,242.0,247.2,12300,87.97
1996-05-14,247.2,254.0,248.0,252.35,23300,89.8
1996-05-15,252.35,257.0,250.0,255.7,43100,90.99
1996-05-16,255.7,262.95,258.15,259.6,34400,92.38
1996-05-17,259.6,261.25,255.0,259.75,24200,92.43
1996-05-20,255.1,256.0,250.15,251.3,18500,89.43
1996-05-21,251.3,250.5,245.25,248.15,38300,88.3
1996-05-22,248.15,251.0,245.5,246.1,10100,87.58
1996-05-23,246.1,247.6,241.95,247.45,10600,88.06
1996-05-24,247.45,248.0,244.05,246.4,10500,87.68
1996-05-27,246.4,245.0,242.0,243.05,23100,88.83
1996-05-28,243.05,248.0,242.05,246.45,64500,90.08
1996-05-29,247.0,253.85,247.0,252.6,27600,92.32
1996-05-30,252.6,253.25,250.1,250.95,11500,91.72
1996-05-31,250.95,252.0,250.1,251.05,8500,91.76
1996-06-03,251.05,256.9,252.0,255.3,35600,93.31
1996-06-04,255.3,260.0,255.3,256.25,36200,93.66
1996-06-05,257.5,260.0,254.3,257.25,322000,94.02
1996-06-06,259.05,266.0,259.05,264.85,191200,96.8
1996-06-07,260.05,271.0,260.05,268.25,82200,98.04
1996-06-10,272.0,274.9,268.55,272.8,78100,99.71
1996-06-11,271.5,273.0,266.7,272.35,49400,99.54
1996-06-12,275.5,283.6,274.0,282.45,244600,103.23
1996-06-13,284.5,297.0,284.0,292.65,438100,106.96
1996-06-14,294.0,301.0,294.0,297.35,328000,108.68
1996-06-17,302.0,306.0,294.0,295.1,388400,107.86
1996-06-18,290.1,295.95,290.0,293.2,283700,107.16
1996-06-19,294.3,294.95,282.0,283.65,222300,103.67
1996-06-20,284.0,286.75,275.0,285.2,282400,104.24
1996-06-21,285.0,286.0,280.0,280.5,140000,102.52
1996-06-24,284.0,284.0,275.0,276.7,152700,101.13
1996-06-25,275.6,279.75,255.25,259.15,514200,94.72
1996-06-26,257.25,269.0,257.05,262.35,144600,95.89
1996-06-27,259.0,266.0,258.0,264.85,129300,96.8
1996-06-28,268.0,268.0,259.0,260.2,119900,95.1
1996-07-01,258.0,260.0,253.25,254.8,77900,93.13
1996-07-02,255.0,256.0,248.1,249.25,170700,91.1
1996-07-03,245.0,248.95,242.1,244.55,62300,89.38
