Date,Open,High,Low,Close,Volume,Adj Close
2002-07-01,148.0,150.85,145.0,149.85,700200,109.09
2002-07-02,146.0,153.4,146.0,152.8,800200,111.24
2002-07-03,152.9,156.0,150.0,150.65,904600,109.68
2002-07-04,152.85,154.0,150.8,151.2,460300,110.08
2002-07-05,152.8,152.8,150.55,151.7,261700,110.44
2002-07-08,151.0,153.45,151.0,152.85,212000,111.28
2002-07-09,153.0,153.5,151.85,153.2,207900,111.53
2002-07-10,152.7,153.2,150.0,150.2,390500,109.35
2002-07-11,150.55,150.55,148.1,148.7,152700,108.26
2002-07-12,149.0,149.65,147.05,147.9,114100,107.67
2002-07-15,147.0,148.0,143.15,143.5,264900,104.47
2002-07-16,142.65,145.35,142.65,143.4,415600,104.4
2002-07-17,144.95,146.75,144.5,145.3,284100,105.78
2002-07-18,145.5,147.9,144.65,146.05,115800,106.33
2002-07-19,145.0,149.25,144.5,148.3,272100,107.97
2002-07-22,145.75,145.75,140.1,141.95,397400,103.34
2002-07-23,141.0,144.35,141.0,143.9,294300,104.76
2002-07-24,150.0,150.0,141.5,142.35,253200,103.63
2002-07-25,143.5,145.8,136.0,140.15,576400,102.03
2002-07-26,138.1,138.5,135.05,136.0,394200,99.01
2002-07-29,125.8,125.8,120.05,121.35,262000,97.29
2002-07-30,123.9,124.9,113.1,114.3,823300,91.64
2002-07-31,115.0,116.95,110.5,116.15,311100,93.12
2002-08-01,116.05,118.8,115.0,118.25,290700,94.8
2002-08-02,116.1,125.85,116.1,124.95,752400,100.17
2002-08-05,124.5,126.95,123.0,124.75,182900,100.01
2002-08-06,127.9,127.9,123.2,125.95,382700,100.98
2002-08-07,126.0,127.0,123.0,125.55,357000,100.65
2002-08-08,126.8,126.8,121.55,122.7,160400,98.37
2002-08-09,128.9,128.9,120.0,124.3,286900,99.65
2002-08-12,131.7,131.7,124.1,125.2,137900,100.37
2002-08-13,126.85,126.85,124.5,125.2,91100,100.37
2002-08-14,125.0,125.7,123.45,123.65,65600,99.13
2002-08-16,123.5,124.7,122.9,124.0,273000,99.41
2002-08-19,126.4,126.4,123.2,124.15,189000,99.53
2002-08-20,126.85,126.85,123.45,124.85,102300,100.09
2002-08-21,126.5,126.85,124.85,125.85,201500,100.9
2002-08-22,129.0,129.0,125.0,126.2,145600,101.18
2002-08-23,131.15,131.15,125.05,128.35,140900,102.9
