Date,Open,High,Low,Close,Volume,Adj Close
2002-07-01,115.95,116.0,113.55,114.8,235500,79.27
2002-07-02,114.0,114.9,111.5,113.0,171200,78.02
2002-07-03,112.9,124.65,112.9,123.5,1954500,85.27
2002-07-04,124.8,130.45,121.7,126.3,2127000,87.21
2002-07-05,126.9,136.0,125.55,134.45,2552900,92.84
2002-07-08,136.55,140.5,132.0,132.75,1218600,91.66
2002-07-09,132.3,136.4,126.6,128.45,1018800,88.69
2002-07-10,130.8,130.9,121.15,123.0,958700,84.93
2002-07-11,123.0,125.8,116.0,118.45,1330800,81.79
2002-07-12,120.2,126.0,118.5,124.3,1307900,85.83
2002-07-15,126.4,126.4,115.15,116.8,893200,80.65
2002-07-16,117.4,120.8,114.0,115.5,1162200,79.75
2002-07-17,114.0,116.9,111.25,114.1,1053300,78.78
2002-07-18,116.0,120.65,115.6,119.2,1023600,82.31
2002-07-19,117.5,118.7,114.1,114.85,744300,79.3
2002-07-22,112.0,112.0,107.0,108.3,450100,74.78
2002-07-23,107.3,116.45,107.3,114.85,978000,79.3
2002-07-24,113.1,113.65,108.4,109.4,951100,75.54
2002-07-25,111.15,116.4,111.15,113.7,1081600,78.51
2002-07-26,109.55,110.5,98.15,100.1,1458700,69.12
2002-07-29,100.0,102.0,87.65,93.8,1872500,64.77
2002-07-30,98.4,99.2,88.0,90.55,1101700,62.52
2002-07-31,89.55,95.8,85.5,94.5,1339800,65.25
2002-08-01,94.5,96.25,90.75,91.9,911800,63.46
2002-08-02,89.9,93.9,87.9,91.8,1021500,63.39
2002-08-05,94.0,95.85,92.5,95.15,761400,65.7
2002-08-06,92.5,100.5,92.15,99.15,988500,68.46
2002-08-07,102.15,103.7,96.1,98.85,1078500,68.25
2002-08-08,100.0,101.65,95.25,96.2,946000,66.42
2002-08-09,97.0,98.25,94.6,96.5,939800,66.63
2002-08-12,97.0,100.8,96.35,99.3,967100,68.57
2002-08-13,99.9,100.9,97.4,97.85,399300,67.56
2002-08-14,96.05,98.1,96.05,96.75,394500,66.8
2002-08-16,98.4,99.5,97.15,97.85,412900,67.56
2002-08-19,98.7,98.9,96.1,96.75,277000,66.8
2002-08-20,98.0,103.75,96.9,102.95,1297100,71.09
2002-08-21,102.0,106.7,101.5,102.9,1225500,71.05
2002-08-22,104.0,104.9,100.55,101.2,682300,69.88
2002-08-23,102.0,105.95,101.25,104.55,958700,72.19
2002-08-26,104.15,108.4,104.0,107.2,1028900,74.02
2002-08-27,107.8,110.95,102.5,103.05,1663400,71.15
2002-08-28,102.0,104.0,100.8,102.95,795400,71.09
2002-08-29,102.75,105.2,101.55,102.8,926300,70.98
2002-08-30,103.4,107.4,103.1,106.5,850300,73.54
2002-09-02,107.6,109.3,105.2,105.9,948200,73.12
2002-09-03,105.7,106.25,102.65,103.05,439900,71.15
2002-09-04,100.55,104.7,100.0,103.5,588000,71.47
2002-09-05,105.2,107.45,103.6,104.55,768400,72.19
2002-09-06,103.0,104.25,100.1,101.0,505500,69.74
2002-09-09,102.0,102.9,100.15,101.15,279300,69.84
2002-09-11,102.1,104.1,101.9,102.6,259700,70.84
2002-09-12,103.1,104.45,102.75,103.1,245600,71.19
2002-09-13,102.5,102.6,100.6,101.3,190900,69.95
2002-09-16,101.8,102.5,98.6,99.35,185800,68.6
2002-09-17,100.0,103.25,100.0,102.65,356300,70.88
2002-09-18,101.4,102.1,99.05,99.5,215000,68.7
2002-09-19,99.1,99.75,96.2,97.3,256600,67.18
2002-09-20,95.8,97.3,94.0,96.1,257700,66.36
2002-09-23,97.8,97.8,95.75,96.25,157700,66.46
2002-09-24,94.75,94.95,93.0,93.5,116200,64.56
2002-09-25,92.0,94.9,92.0,94.2,201100,65.04
2002-09-26,95.3,96.35,94.1,94.4,118800,65.18
2002-09-27,95.25,96.7,94.9,95.8,122600,66.15
2002-09-30,94.25,95.0,91.8,92.7,79800,64.01
2002-10-01,91.95,93.5,90.35,91.3,141300,63.04
2002-10-03,92.5,95.0,92.1,92.55,226400,63.9
2002-10-04,92.75,93.25,91.55,91.85,113300,63.42
2002-10-07,91.5,92.5,91.0,92.2,98800,63.66
2002-10-08,92.5,97.7,91.6,96.5,230200,66.63
2002-10-09,98.0,98.5,92.5,93.1,220000,64.28
2002-10-10,93.45,95.0,91.5,93.7,216500,64.7
2002-10-11,94.9,96.2,94.6,95.1,175100,65.67
2002-10-14,97.0,97.5,93.75,94.25,150500,65.08
2002-10-16,98.0,98.0,93.15,93.45,121300,64.53
2002-10-17,93.85,95.2,93.0,94.85,113000,65.49
2002-10-18,96.0,98.2,95.0,96.1,387900,66.36
2002-10-21,96.5,97.25,94.55,94.9,157300,65.53
2002-10-22,95.5,96.3,92.55,93.0,145700,64.22
2002-10-23,93.3,94.1,91.7,92.05,112400,63.56
2002-10-24,93.0,93.25,89.3,89.9,145700,62.07
2002-10-25,90.0,90.2,86.25,87.0,133700,60.07
2002-10-28,87.3,87.3,83.6,84.25,155500,58.17
2002-10-29,85.25,87.25,84.5,86.55,134700,59.76
2002-10-30,86.5,87.8,84.0,84.6,101900,58.42
2002-10-31,84.0,87.9,79.2,87.35,447700,60.31
2002-11-01,88.5,91.95,85.8,87.25,307400,60.24
2002-11-04,88.5,89.0,86.6,87.15,85100,60.18
2002-11-05,87.9,87.9,85.3,86.35,68900,59.62
2002-11-07,86.8,88.75,86.25,86.6,127000,59.8
2002-11-08,86.0,86.6,84.0,84.5,83200,58.35
2002-11-11,84.0,85.2,83.5,83.85,70700,57.9
2002-11-12,84.15,84.15,82.5,83.05,59800,57.34
2002-11-13,84.4,84.4,82.6,82.85,50400,57.21
2002-11-14,83.35,84.0,82.05,82.25,159600,56.79
