Date,Open,High,Low,Close,Volume,Adj Close
1996-01-01,35.25,36.5,35.25,36.5,500,10.95
1996-01-02,36.0,36.75,35.75,35.75,400,10.72
1996-01-03,35.5,35.5,35.5,35.5,0,10.65
1996-01-04,35.0,35.45,35.0,35.45,200,10.63
1996-01-05,35.25,35.25,35.0,35.0,700,10.5
1996-01-08,35.0,34.25,33.5,33.5,200,10.05
1996-01-09,33.5,33.8,33.5,33.8,700,10.14
1996-01-12,35.5,35.5,35.25,35.4,500,10.62
1996-01-15,33.0,33.0,33.0,33.0,100,9.9
1996-01-16,34.5,34.5,33.05,33.05,700,9.91
1996-01-17,31.0,33.5,31.0,33.5,400,10.05
1996-01-18,33.0,33.0,33.0,33.0,100,9.9
1996-01-19,32.0,32.95,32.0,32.0,800,9.6
1996-01-22,32.0,32.0,32.0,32.0,100,9.6
1996-01-23,32.5,32.5,32.0,32.0,600,9.6
1996-01-24,31.0,31.0,31.0,31.0,200,9.3
1996-01-29,30.0,30.0,30.0,30.0,300,9.0
1996-01-30,30.0,30.5,29.5,29.5,2000,8.85
1996-01-31,30.0,30.25,30.0,30.25,200,9.07
1996-02-01,30.5,31.5,30.5,31.0,700,9.3
1996-02-02,30.0,31.5,30.0,31.25,1600,9.37
1996-02-05,32.0,33.0,32.0,32.5,1100,9.75
1996-02-06,33.5,33.5,32.05,32.05,800,9.61
1996-02-07,32.05,32.75,32.05,32.75,400,9.82
1996-02-08,32.3,32.3,32.3,32.3,100,9.69
1996-02-09,33.0,35.0,33.0,35.0,1800,10.5
1996-02-12,35.0,38.5,36.0,38.1,1400,11.43
1996-02-13,37.0,38.0,36.0,37.75,2700,11.32
1996-02-14,37.75,37.0,36.5,36.5,1200,10.95
1996-02-15,36.0,37.0,34.5,36.45,600,10.93
1996-02-16,34.8,35.0,34.6,34.6,700,10.38
1996-02-19,35.25,35.25,33.0,34.05,400,10.21
1996-02-20,34.5,35.5,33.5,35.5,1300,10.65
1996-02-22,34.5,34.5,34.5,34.5,0,10.35
1996-02-23,34.5,34.5,34.5,34.5,300,10.35
1996-02-26,35.0,35.0,33.0,34.25,600,10.27
1996-02-27,33.5,34.0,33.5,33.5,300,10.05
1996-02-28,34.3,34.3,34.25,34.3,500,10.29
1996-02-29,33.75,33.75,33.75,33.75,400,10.12
1996-03-01,33.75,34.05,33.75,34.0,600,10.2
1996-03-04,32.1,33.1,32.1,33.05,600,9.91
1996-03-06,31.25,31.25,31.25,31.25,600,9.37
1996-03-07,31.25,31.6,31.5,31.5,400,9.45
1996-03-08,30.5,30.5,30.5,30.5,200,9.15
1996-03-12,30.0,30.0,29.0,30.0,800,9.0
1996-03-13,30.0,30.25,29.25,29.25,1100,8.77
1996-03-14,29.25,29.5,28.0,28.0,2000,8.4
1996-03-15,28.0,30.25,28.0,29.4,1700,8.82
1996-03-18,28.1,28.95,28.0,28.0,500,8.4
1996-03-19,28.25,28.25,27.75,27.75,1400,8.32
