Date,Open,High,Low,Close,Volume,Adj Close
2007-04-02,414.6,414.6,388.0,388.0,2600,87.61
2007-04-03,404.0,404.0,400.0,400.0,0,90.32
2007-04-04,384.0,396.0,380.0,395.8,100,89.38
2007-04-05,382.8,408.0,382.8,396.0,500,89.42
2007-04-09,408.0,408.0,408.0,408.0,0,92.13
2007-04-10,412.0,412.0,400.0,400.0,500,90.32
2007-04-11,418.0,420.0,417.8,419.6,700,94.75
2007-04-12,436.0,440.0,404.4,408.2,800,92.18
2007-04-13,404.0,404.0,404.0,404.0,0,91.23
2007-04-16,404.0,404.0,404.0,404.0,0,91.23
2007-04-17,404.0,404.0,404.0,404.0,0,91.23
2007-04-18,404.0,404.0,404.0,404.0,0,91.23
2007-04-19,404.0,404.0,404.0,404.0,0,91.23
2007-04-20,404.0,404.0,404.0,404.0,0,91.23
2007-04-23,392.0,392.0,392.0,392.0,300,88.52
2007-04-24,392.0,392.0,384.0,384.0,500,86.71
2007-04-25,392.0,392.0,370.8,382.0,1000,86.26
2007-04-26,382.0,382.0,382.0,382.0,0,86.26
2007-04-27,384.2,397.6,384.0,387.0,900,87.39
2007-04-30,406.4,406.4,406.4,406.4,300,91.77
2007-05-03,426.8,426.8,426.8,426.8,500,96.38
2007-05-04,447.8,448.2,405.6,440.0,3300,99.36
2007-05-07,444.0,444.0,428.0,440.0,900,99.36
2007-05-08,418.4,438.8,418.2,424.0,500,95.74
2007-05-09,435.6,445.2,418.0,423.6,500,95.65
2007-05-10,424.0,424.0,424.0,424.0,100,95.74
2007-05-11,408.4,419.0,406.8,419.0,200,94.61
2007-05-14,430.0,430.0,413.4,428.6,500,96.78
2007-05-15,409.2,432.0,409.2,431.8,500,97.5
2007-05-16,431.2,431.2,401.2,426.6,900,96.33
2007-05-17,413.2,430.4,412.2,420.0,1100,94.84
2007-05-18,412.2,431.6,412.0,431.6,1600,97.46
2007-05-21,438.0,439.8,432.0,432.0,500,97.55
2007-05-22,422.0,428.0,422.0,427.8,900,96.6
2007-05-23,428.0,432.0,416.0,426.6,200,96.33
2007-05-24,413.4,431.6,413.4,425.6,700,96.1
2007-05-25,413.6,428.0,413.6,427.0,100,96.42
2007-05-28,416.8,432.0,416.8,432.0,800,97.55
2007-05-29,424.0,428.0,424.0,425.8,200,96.15
2007-05-30,428.0,428.0,428.0,428.0,0,96.65
2007-05-31,424.0,430.4,424.0,428.2,2400,96.69
2007-06-04,409.6,423.2,409.6,419.4,100,94.7
2007-06-05,401.8,423.0,401.6,418.2,300,94.43
2007-06-06,394.2,411.8,394.0,403.6,100,91.14
2007-06-07,386.8,420.0,386.8,410.8,500,92.76
2007-06-08,394.0,415.8,394.0,412.2,500,93.08
2007-06-11,401.6,401.6,401.6,401.6,0,90.68
