Date,Open,High,Low,Close,Volume,Adj Close
2007-04-02,207.3,207.3,194.0,194.0,2600,87.61
2007-04-03,202.0,202.0,200.0,200.0,0,90.32
2007-04-04,192.0,198.0,190.0,197.9,100,89.38
2007-04-05,191.4,204.0,191.4,198.0,500,89.42
2007-04-09,204.0,204.0,204.0,204.0,0,92.13
2007-04-10,206.0,206.0,200.0,200.0,500,90.32
2007-04-11,209.0,210.0,208.9,209.8,700,94.75
2007-04-12,218.0,220.0,202.2,204.1,800,92.18
2007-04-13,202.0,202.0,202.0,202.0,0,91.23
2007-04-16,202.0,202.0,202.0,202.0,0,91.23
2007-04-17,202.0,202.0,202.0,202.0,0,91.23
2007-04-18,202.0,202.0,202.0,202.0,0,91.23
2007-04-19,202.0,202.0,202.0,202.0,0,91.23
2007-04-20,202.0,202.0,202.0,202.0,0,91.23
2007-04-23,196.0,196.0,196.0,196.0,300,88.52
2007-04-24,196.0,196.0,192.0,192.0,500,86.71
2007-04-25,196.0,196.0,185.4,191.0,1000,86.26
2007-04-26,191.0,191.0,191.0,191.0,0,86.26
2007-04-27,192.1,198.8,192.0,193.5,900,87.39
2007-04-30,203.2,203.2,203.2,203.2,300,91.77
2007-05-03,213.4,213.4,213.4,213.4,500,96.38
2007-05-04,223.9,224.1,202.8,220.0,3300,99.36
2007-05-07,222.0,222.0,214.0,220.0,900,99.36
2007-05-08,209.2,219.4,209.1,212.0,500,95.74
2007-05-09,217.8,222.6,209.0,211.8,500,95.65
2007-05-10,212.0,212.0,212.0,212.0,100,95.74
2007-05-11,204.2,209.5,203.4,209.5,200,94.61
2007-05-14,215.0,215.0,206.7,214.3,500,96.78
2007-05-15,204.6,216.0,204.6,215.9,500,97.5
2007-05-16,215.6,215.6,200.6,213.3,900,96.33
2007-05-17,206.6,215.2,206.1,210.0,1100,94.84
2007-05-18,206.1,215.8,206.0,215.8,1600,97.46
2007-05-21,219.0,219.9,216.0,216.0,500,97.55
2007-05-22,211.0,214.0,211.0,213.9,900,96.6
2007-05-23,214.0,216.0,208.0,213.3,200,96.33
2007-05-24,206.7,215.8,206.7,212.8,700,96.1
2007-05-25,206.8,214.0,206.8,213.5,100,96.42
2007-05-28,208.4,216.0,208.4,216.0,800,97.55
2007-05-29,212.0,214.0,212.0,212.9,200,96.15
2007-05-30,214.0,214.0,214.0,214.0,0,96.65
2007-05-31,212.0,215.2,212.0,214.1,2400,96.69
2007-06-04,204.8,211.6,204.8,209.7,100,94.7
2007-06-05,200.9,211.5,200.8,209.1,300,94.43
2007-06-06,197.1,205.9,197.0,201.8,100,91.14
2007-06-07,193.4,210.0,193.4,205.4,500,92.76
2007-06-08,197.0,207.9,197.0,206.1,500,93.08
2007-06-11,200.8,200.8,200.8,200.8,0,90.68
2007-06-12,209.9,209.9,192.2,200.5,400,90.55
2007-06-13,198.0,198.0,198.0,198.0,200,89.42
2007-06-14,194.4,196.0,185.0,190.8,1700,86.17
2007-06-15,194.0,199.7,194.0,195.7,200,88.38
2007-06-18,190.5,194.0,190.5,194.0,100,87.61
2007-06-19,190.0,198.0,190.0,190.2,0,85.9
2007-06-20,190.0,194.0,188.5,192.5,400,86.94
2007-06-21,194.0,202.0,186.6,202.0,6600,91.23
2007-06-22,196.0,196.0,196.0,196.0,500,88.52
2007-06-25,192.1,192.1,192.0,192.0,0,86.71
2007-06-26,190.0,197.8,190.0,197.8,300,89.33
2007-06-27,205.0,205.0,187.1,196.9,100,88.92
2007-06-28,198.0,198.0,192.0,196.0,300,88.52
2007-06-29,196.0,201.8,196.0,197.9,600,89.38
2007-07-02,200.0,200.0,200.0,200.0,0,90.32
2007-07-03,187.0,201.0,187.0,201.0,200,90.78
2007-07-04,196.4,196.4,188.1,195.5,200,88.29
2007-07-05,190.5,200.0,190.0,199.9,300,90.28
2007-07-06,190.5,192.2,190.5,192.0,200,86.71
2007-07-09,210.0,210.0,185.0,186.6,2300,84.27
2007-07-10,198.0,200.0,188.0,193.8,1400,87.52
2007-07-11,197.4,198.0,187.2,189.0,2100,85.36
2007-07-12,198.0,226.8,197.9,226.8,8400,102.43
2007-07-13,271.8,272.2,233.8,261.5,48100,118.1
2007-07-16,271.8,271.8,252.0,255.3,11800,115.3
2007-07-17,261.8,261.8,231.0,234.2,5500,105.77
2007-07-18,244.0,247.8,218.0,227.4,4300,102.7
2007-07-19,212.0,235.0,212.0,222.4,4900,100.44
2007-07-20,230.0,230.0,218.0,219.0,3200,98.9
2007-07-23,226.0,240.3,220.0,225.3,4600,101.75
2007-07-24,229.6,240.0,214.5,223.7,7400,101.03
2007-07-25,220.0,224.0,204.0,218.0,4100,98.45
2007-07-26,228.0,229.7,216.4,219.3,3100,99.04
2007-07-27,208.0,220.0,208.0,218.2,10600,98.54
2007-07-30,206.0,221.6,206.0,216.5,14500,97.78
2007-07-31,210.2,222.0,210.0,210.3,5000,94.98
2007-08-01,216.0,216.0,202.0,203.0,1200,91.68
2007-08-02,219.9,219.9,202.0,204.5,700,92.36
2007-08-03,202.0,208.0,202.0,208.0,300,93.94
2007-08-06,209.7,209.7,200.2,203.0,1100,91.68
2007-08-07,202.2,230.0,201.0,221.2,15100,99.9
2007-08-08,218.0,221.8,214.0,218.2,3400,98.54
2007-08-09,228.0,228.0,216.0,218.0,4000,98.45
2007-08-10,202.1,218.0,200.0,217.4,4200,98.18
2007-08-13,217.8,218.0,212.1,212.1,100,95.79
2007-08-14,217.0,217.0,210.2,210.2,0,94.93
2007-08-16,210.0,210.0,204.1,204.1,1700,92.18
2007-08-17,205.1,205.1,200.0,204.0,800,92.13
2007-08-20,213.8,214.0,205.2,206.0,1700,93.03
2007-08-21,204.0,204.0,187.6,190.0,2400,85.81
2007-08-22,198.0,198.0,190.0,192.0,1900,86.71
2007-08-23,200.0,204.0,182.0,187.9,2600,84.86
2007-08-24,192.0,197.6,184.0,184.0,1500,83.1
2007-08-27,193.9,193.9,193.9,193.9,0,87.57
2007-08-28,186.3,198.0,186.3,190.2,800,85.9
2007-08-29,195.0,208.0,195.0,201.1,1700,90.82
2007-08-30,204.0,232.0,204.0,220.7,11400,99.67
2007-08-31,226.4,239.0,218.4,218.4,9000,98.63
2007-09-03,222.0,226.0,220.3,220.3,500,99.49
2007-09-04,220.0,228.4,220.0,220.2,4000,99.45
2007-09-05,222.4,229.4,220.0,228.0,3200,102.97
2007-09-06,227.9,244.0,227.9,231.3,8500,104.46
