Date,Open,High,Low,Close,Volume,Adj Close
2002-08-12,48.9,48.9,45.55,45.9,48300,25.79
2002-08-13,46.4,47.5,46.0,46.15,55500,25.93
2002-08-14,45.9,46.7,45.5,46.15,21900,25.93
2002-08-16,46.5,47.15,45.75,46.1,38400,25.9
2002-08-19,46.75,46.9,45.9,46.25,38900,25.99
2002-08-20,46.5,46.75,45.75,45.95,31500,25.82
2002-08-21,46.1,46.4,45.95,46.25,18100,25.99
2002-08-22,46.0,47.0,44.75,46.65,53900,26.21
2002-08-23,46.45,47.5,46.0,46.65,28700,26.21
2002-08-26,46.9,47.15,46.25,46.5,19900,26.13
2002-08-27,46.5,46.75,46.1,46.2,15000,25.96
2002-08-28,47.0,47.6,46.3,46.45,42600,26.1
2002-08-29,46.4,46.4,45.9,46.05,21700,25.87
2002-08-30,45.65,46.5,45.65,45.95,24500,25.82
2002-09-02,47.0,49.5,47.0,47.7,128500,26.8
2002-09-03,47.9,48.0,46.5,47.4,38800,26.63
2002-09-04,46.5,47.8,46.5,47.15,40800,26.49
2002-09-05,47.9,48.0,46.25,47.3,35300,26.58
2002-09-06,47.25,47.35,46.0,46.4,41500,26.07
2002-09-09,45.1,46.3,44.0,45.3,86500,25.45
2002-09-11,46.0,46.0,45.0,45.2,18000,25.4
2002-09-12,45.0,46.4,45.0,46.0,18500,25.84
2002-09-13,46.0,46.95,44.3,44.75,102000,25.14
2002-09-16,44.55,44.55,42.5,43.0,40900,24.16
2002-09-17,43.95,43.95,42.7,43.6,19100,24.5
2002-09-18,43.5,43.85,42.0,42.5,110100,23.88
2002-09-19,42.75,43.0,41.75,41.9,50400,23.54
2002-09-20,41.1,42.3,41.05,41.25,26800,23.18
2002-09-23,41.0,42.0,41.0,41.25,52700,23.18
2002-09-24,41.1,41.85,40.0,40.55,33600,22.78
2002-09-25,41.5,41.5,39.1,39.8,71700,22.36
2002-09-26,40.0,41.0,40.0,40.6,14400,22.81
2002-09-27,42.65,42.65,40.75,41.2,21600,23.15
2002-09-30,41.65,42.5,41.45,41.8,34400,23.49
2002-10-01,42.1,42.45,41.7,41.9,15400,23.54
2002-10-03,41.1,42.3,41.1,42.05,17200,23.63
2002-10-04,41.5,42.2,41.5,41.8,11700,23.49
2002-10-07,42.8,43.75,42.35,43.15,53900,24.24
2002-10-08,43.5,43.55,42.7,42.85,22300,24.07
2002-10-09,43.25,43.4,42.8,42.85,23700,24.07
2002-10-10,42.75,43.0,41.9,42.9,14700,24.1
2002-10-11,43.0,43.45,42.95,43.2,16400,24.27
2002-10-14,43.0,43.4,42.8,43.0,8700,24.16
2002-10-16,43.0,43.35,42.25,42.3,16300,23.77
2002-10-17,42.75,42.85,42.1,42.65,7100,23.96
2002-10-18,42.7,42.75,41.75,41.85,21800,23.51
2002-10-21,41.95,42.3,41.75,42.0,12700,23.6
2002-10-22,41.75,42.3,41.75,42.0,8000,23.6
2002-10-23,42.3,42.5,42.0,42.15,10300,23.68
2002-10-24,50.55,50.55,41.75,41.95,32200,23.57
2002-10-25,42.45,42.95,41.75,42.05,30700,23.63
2002-10-28,41.6,42.45,41.35,41.5,18700,23.32
2002-10-29,41.25,42.2,41.25,41.95,23400,23.57
2002-10-30,42.2,42.65,42.0,42.4,14400,23.82
2002-10-31,42.4,43.8,42.4,43.45,27800,24.41
2002-11-01,44.2,44.2,43.15,43.95,33300,24.69
2002-11-04,44.1,45.5,44.0,44.25,8000,24.86
2002-11-05,43.8,44.7,43.05,43.3,23500,24.33
2002-11-07,43.5,44.05,43.3,43.8,27200,24.61
2002-11-08,44.1,44.1,43.0,43.2,28800,24.27
2002-11-11,43.0,43.3,42.85,43.05,21100,24.19
2002-11-12,42.8,43.75,42.4,43.55,20600,24.47
2002-11-13,43.25,43.9,43.0,43.8,9500,24.61
2002-11-14,43.55,44.1,42.1,43.0,33900,24.16
2002-11-15,43.05,43.9,43.05,43.8,8700,24.61
2002-11-18,43.9,44.0,42.8,43.05,29900,24.19
2002-11-20,42.65,43.45,41.8,42.1,31100,23.65
2002-11-21,43.25,43.25,42.3,42.75,24100,24.02
2002-11-22,42.75,43.2,42.5,42.7,26400,23.99
2002-11-25,43.0,43.4,42.15,43.15,29000,24.24
2002-11-26,43.25,43.5,43.0,43.1,12200,24.22
2002-11-27,43.05,43.25,42.55,42.75,20300,24.02
2002-11-28,42.9,43.5,42.8,43.05,10000,24.19
2002-12-02,43.3,48.0,43.3,45.35,165400,25.48
2002-12-03,46.5,47.2,45.15,45.95,157800,25.82
2002-12-04,46.0,46.0,44.8,45.3,24100,25.45
2002-12-05,45.5,45.75,44.9,45.0,22500,25.28
2002-12-06,45.8,48.9,45.7,46.45,40300,26.1
2002-12-09,47.1,47.3,45.3,45.5,42000,25.56
2002-12-10,45.05,45.4,44.2,44.7,13400,25.11
2002-12-11,46.8,47.0,44.75,44.95,21600,25.25
2002-12-12,45.0,45.15,44.55,44.7,22900,25.11
2002-12-13,44.5,45.25,44.5,44.75,19000,25.14
2002-12-16,48.0,48.0,46.0,46.65,100800,26.21
2002-12-17,47.0,47.0,45.5,45.55,18200,25.59
2002-12-18,45.0,45.95,45.0,45.4,14300,25.51
2002-12-19,45.2,46.2,45.15,45.7,29300,25.68
2002-12-20,46.4,46.4,45.1,45.15,26400,25.37
2002-12-23,45.15,45.45,44.5,44.55,35400,25.03
2002-12-24,44.55,44.95,44.3,44.45,14000,24.97
2002-12-26,44.5,45.3,44.25,44.3,34600,24.89
2002-12-27,44.25,44.85,44.1,44.7,23300,25.11
2002-12-30,44.0,45.4,44.0,44.55,13300,25.03
2002-12-31,44.85,45.5,44.75,45.05,22800,25.31
2003-01-01,45.0,45.6,44.85,45.5,26800,25.56
2003-01-02,46.25,47.5,45.75,46.15,74500,25.93
2003-01-03,46.85,46.85,45.65,45.8,24900,25.73
2003-01-06,52.0,52.0,45.3,45.65,53800,25.65
2003-01-07,46.0,46.45,45.4,45.5,17000,25.56
2003-01-08,46.0,46.95,45.5,46.1,33400,25.9
2003-01-09,46.2,47.0,45.4,45.55,125000,25.59
2003-01-10,46.0,46.45,45.2,45.25,23000,25.42
2003-01-13,46.9,46.9,44.3,44.7,45100,25.11
2003-01-14,45.3,45.4,44.9,45.0,17400,25.28
2003-01-15,45.3,45.35,44.95,45.0,46900,25.28
2003-01-16,45.0,45.5,44.75,45.1,31000,25.34
2003-01-17,46.0,46.0,44.55,44.7,16600,25.11
2003-01-20,44.05,45.3,43.55,45.1,22400,25.34
2003-01-21,45.5,45.5,44.75,45.25,29700,25.42
2003-01-22,44.05,45.4,44.05,45.1,26200,25.34
2003-01-23,45.3,45.3,44.5,44.75,25400,25.14
2003-01-24,45.95,45.95,44.15,44.7,65300,25.11
2003-01-27,45.0,45.25,43.85,44.0,31200,24.72
2003-01-28,43.2,44.5,43.05,43.9,36700,24.66
2003-01-29,44.0,44.45,43.7,44.05,30200,24.75
2003-01-30,43.95,44.4,43.6,43.85,53700,24.64
2003-01-31,44.2,44.4,43.0,43.75,62500,24.58
2003-02-03,43.5,43.8,42.75,43.3,67800,24.33
2003-02-04,43.25,44.5,43.2,44.1,26800,24.78
