Date,Open,High,Low,Close,Volume,Adj Close
2002-07-01,25.25,25.5,24.625,24.665,16000,2.15
2002-07-02,24.405,25.25,24.405,24.995,22300,2.179
2002-07-03,24.645,25.28,24.625,24.875,23300,2.169
2002-07-04,25.0,25.625,25.0,25.62,220100,2.234
2002-07-05,25.625,27.25,25.625,26.915,73900,2.346
2002-07-08,27.625,30.44,27.625,30.045,68100,2.619
2002-07-09,30.0,30.12,28.395,29.495,40900,2.571
2002-07-10,30.0,30.3,29.375,29.7,31900,2.589
2002-07-11,29.515,29.515,28.75,29.015,16900,2.529
2002-07-12,29.815,29.815,28.44,28.465,14800,2.482
2002-07-15,28.265,28.265,26.505,26.97,10200,2.351
2002-07-16,27.125,27.5,26.84,26.955,14200,2.35
2002-07-17,27.0,27.0,26.625,26.73,8700,2.33
2002-07-18,26.75,28.5,26.505,28.28,20300,2.465
2002-07-19,28.125,30.0,28.125,29.72,54000,2.591
2002-07-22,29.0,29.94,26.375,26.84,37800,2.34
2002-07-23,26.39,27.675,25.88,27.515,40400,2.399
2002-07-24,27.25,27.25,26.875,27.13,21600,2.365
2002-07-25,27.25,27.85,27.25,27.25,8500,2.376
2002-07-26,26.625,27.23,25.625,25.725,34300,2.243
2002-07-29,25.75,26.37,23.93,25.27,10300,2.203
2002-07-30,25.515,25.75,24.04,24.29,15300,2.118
2002-07-31,24.0,25.12,24.0,24.805,18700,2.162
2002-08-01,24.99,25.605,24.25,24.34,10800,2.122
2002-08-02,24.5,24.75,24.375,24.74,3000,2.157
2002-08-05,24.5,25.0,24.27,24.3,21000,2.118
2002-08-06,23.9,25.0,23.9,24.995,18300,2.179
2002-08-07,25.0,25.0,24.19,24.345,15000,2.122
2002-08-08,24.625,24.715,24.125,24.19,10700,2.109
2002-08-09,24.625,24.625,24.14,24.205,3500,2.11
2002-08-12,24.5,24.5,23.265,23.82,19700,2.077
2002-08-13,23.9,23.9,23.125,23.645,22000,2.061
2002-08-14,24.12,24.12,23.165,23.29,11400,2.03
2002-08-16,23.965,24.0,23.265,23.58,17600,2.056
2002-08-19,23.44,23.705,23.22,23.345,2100,2.035
2002-08-20,23.4,23.625,23.32,23.515,4600,2.05
2002-08-21,23.75,23.75,23.5,23.615,3800,2.059
2002-08-22,23.565,23.74,23.315,23.47,8200,2.046
2002-08-23,23.195,23.5,23.19,23.195,1800,2.022
2002-08-26,24.22,24.22,23.14,23.78,6000,2.073
2002-08-27,23.44,24.0,23.28,23.77,6400,2.072
2002-08-28,23.745,24.44,23.745,24.275,6000,2.116
2002-08-29,24.275,25.0,24.2,24.99,13000,2.179
2002-08-30,25.0,25.0,24.8,24.87,11800,2.168
2002-09-02,24.875,25.25,24.875,25.05,5100,2.184
2002-09-03,25.22,25.565,24.755,25.4,13500,2.214
2002-09-04,25.125,25.25,24.3,24.93,7900,2.173
2002-09-05,24.695,25.25,24.5,24.655,7800,2.149
2002-09-06,24.75,24.75,24.375,24.495,4100,2.135
2002-09-09,24.0,24.05,23.02,24.045,15900,2.096
2002-09-11,23.765,23.855,23.215,23.75,9200,2.071
2002-09-12,23.74,23.75,23.515,23.725,2900,2.068
2002-09-13,23.5,23.605,23.325,23.57,6700,2.055
2002-09-16,23.375,23.5,23.125,23.415,8900,2.041
2002-09-17,23.74,24.115,23.375,23.62,6000,2.059
2002-09-18,23.5,23.5,23.05,23.355,5200,2.036
2002-09-19,23.125,23.125,21.875,22.04,14600,1.921
2002-09-20,22.065,22.44,22.065,22.14,7800,1.93
2002-09-23,22.125,23.125,22.125,22.525,11200,1.964
2002-09-24,22.75,23.25,22.695,22.995,10400,2.005
2002-09-25,23.045,23.125,22.875,23.095,3800,2.013
2002-09-26,22.625,23.125,22.575,23.065,10100,2.011
2002-09-27,23.125,23.125,22.855,23.075,9900,2.012
2002-09-30,22.94,22.94,22.375,22.565,11900,1.967
2002-10-01,22.5,22.875,22.265,22.645,8200,1.974
2002-10-03,22.775,22.78,22.655,22.655,100,1.975
2002-10-04,22.625,22.625,22.0,22.02,9000,1.92
2002-10-07,18.125,22.375,18.125,22.125,400,1.929
2002-10-08,22.75,22.965,22.3,22.8,8500,1.988
2002-10-09,22.75,22.815,22.625,22.675,4500,1.977
2002-10-10,22.5,22.615,22.5,22.575,5000,1.968
2002-10-11,22.565,23.125,22.565,22.995,8100,2.005
2002-10-14,22.98,22.98,22.545,22.545,3600,1.965
2002-10-16,22.565,22.74,22.255,22.305,5000,1.945
2002-10-17,22.015,22.265,22.015,22.25,1600,1.94
2002-10-18,23.0,23.5,22.645,22.65,3300,1.975
2002-10-21,23.115,23.115,22.5,22.59,5700,1.969
2002-10-22,22.28,22.28,22.275,22.275,800,1.942
2002-10-23,22.375,22.625,22.375,22.4,3800,1.953
2002-10-24,21.25,22.87,21.25,22.745,11400,1.983
2002-10-25,21.905,23.375,21.905,23.295,16400,2.031
2002-10-28,23.17,23.17,22.67,22.805,11700,1.988
2002-10-29,22.75,22.94,22.5,22.8,12900,1.988
2002-10-30,22.44,23.12,22.44,23.005,6900,2.006
2002-10-31,23.0,27.5,23.0,26.85,168200,2.341
2002-11-01,27.18,28.75,24.705,25.17,74500,2.194
2002-11-04,25.125,26.25,25.125,25.775,59200,2.247
2002-11-05,25.75,25.75,24.15,25.315,29000,2.207
2002-11-07,25.62,25.625,24.795,25.205,6900,2.197
2002-11-08,25.12,25.12,24.405,24.53,4200,2.139
2002-11-11,24.375,25.0,24.375,24.725,5100,2.156
2002-11-12,24.35,25.1,24.35,24.505,4600,2.136
2002-11-13,24.72,24.95,24.32,24.875,1200,2.169
2002-11-14,25.245,25.245,24.69,24.99,3600,2.179
2002-11-15,25.0,25.0,24.555,24.67,3800,2.151
2002-11-18,24.515,24.875,24.5,24.73,2900,2.156
2002-11-20,25.0,25.0,24.39,24.57,6300,2.142
2002-11-21,24.14,24.6,23.775,24.095,14200,2.101
2002-11-22,23.905,24.125,23.79,23.875,10300,2.081
2002-11-25,23.155,24.375,23.155,24.0,10000,2.092
2002-11-26,24.375,24.375,23.52,23.755,19100,2.071
2002-11-27,23.75,23.75,23.265,23.465,5700,2.046
2002-11-28,24.0,24.0,23.265,23.495,5800,2.048
2002-11-29,23.625,23.73,23.375,23.59,4600,2.057
2002-12-02,23.625,24.375,23.625,24.2,12600,2.11
2002-12-03,23.75,23.75,23.53,23.6,10000,2.057
2002-12-04,23.595,23.595,22.775,23.065,27500,2.011
2002-12-05,24.44,24.44,23.03,23.075,23600,2.012
2002-12-06,23.44,23.57,22.655,23.175,13600,2.02
2002-12-09,23.125,23.625,23.125,23.27,13700,2.029
2002-12-10,22.82,23.375,22.82,23.265,5200,2.028
2002-12-11,23.0,23.55,23.0,23.375,4200,2.038
2002-12-12,23.625,23.865,23.125,23.605,22000,2.058
2002-12-13,23.75,23.995,23.5,23.545,10000,2.053
2002-12-16,23.75,24.125,23.625,24.075,29700,2.099
2002-12-17,24.2,24.595,23.9,24.015,32400,2.094
2002-12-18,24.25,25.25,24.025,24.545,40000,2.14
2002-12-19,24.44,25.625,24.44,25.105,42700,2.189
2002-12-20,25.25,25.9,25.25,25.68,107800,2.239
2002-12-23,25.865,25.865,25.14,25.32,16200,2.207
2002-12-24,25.37,25.75,24.85,25.75,39700,2.245
2002-12-26,25.19,25.745,25.125,25.63,27600,2.234
2002-12-27,25.855,26.205,25.34,25.925,30200,2.26
2002-12-30,25.75,26.0,25.275,25.615,14800,2.233
2002-12-31,25.39,25.625,25.25,25.275,9500,2.203
2003-01-01,25.815,27.065,25.69,26.625,89700,2.321
2003-01-02,26.75,27.625,26.315,26.605,62700,2.319
2003-01-03,26.875,27.0,26.25,26.375,17900,2.299
2003-01-06,26.375,27.49,26.25,27.32,57500,2.382
2003-01-07,27.475,27.625,26.625,26.92,40900,2.347
2003-01-08,26.415,28.22,26.415,27.18,102900,2.37
2003-01-09,27.25,28.1,27.25,27.965,91800,2.438
2003-01-10,28.0,28.125,27.44,27.84,64500,2.427
2003-01-13,30.0,30.0,27.505,27.975,53600,2.439
2003-01-14,29.875,29.875,27.495,28.28,170200,2.465
2003-01-15,28.75,29.5,28.63,29.23,180700,2.548
2003-01-16,29.125,29.37,28.515,29.14,69100,2.54
2003-01-17,29.065,29.125,27.765,28.045,58700,2.445
2003-01-20,28.315,28.375,27.54,28.195,42600,2.458
2003-01-21,28.315,28.315,27.895,28.025,47700,2.443
2003-01-22,27.695,28.33,27.625,28.19,53200,2.458
2003-01-23,28.25,28.25,27.27,27.7,57600,2.415
2003-01-24,27.875,28.115,25.19,25.475,98300,2.221
2003-01-27,25.5,25.615,24.38,24.545,22000,2.14
2003-01-28,24.125,25.365,23.64,24.515,52800,2.137
2003-01-29,24.975,24.975,24.375,24.39,9700,2.126
2003-01-30,22.75,25.25,22.75,24.605,7000,2.145
2003-01-31,24.005,24.625,24.0,24.27,7500,2.116
2003-02-03,23.94,25.25,23.82,25.045,15600,2.183
2003-02-04,25.0,25.0,24.0,24.215,14700,2.111
2003-02-05,23.825,24.315,23.825,24.05,51600,2.097
2003-02-06,24.015,24.375,23.9,24.24,10300,2.113
2003-02-07,24.19,24.5,24.065,24.44,11000,2.131
2003-02-10,24.775,24.775,23.75,23.965,10400,2.089
2003-02-11,22.5,24.315,22.5,23.9,23500,2.084
2003-02-12,23.875,23.875,23.14,23.54,13400,2.052
2003-02-14,23.5,23.5,22.875,23.115,8100,2.015
2003-02-17,23.265,23.93,23.265,23.765,10000,2.072
2003-02-18,24.13,24.13,23.625,23.805,19800,2.075
2003-02-19,24.0,24.35,23.645,23.865,11400,2.081
2003-02-20,23.75,24.25,23.75,23.94,3100,2.087
2003-02-21,23.565,23.975,23.565,23.69,9200,2.065
2003-02-24,23.57,23.695,23.42,23.57,5600,2.055
2003-02-25,23.015,23.495,23.015,23.32,12200,2.033
2003-02-26,24.365,24.365,23.03,23.25,19900,2.027
2003-02-27,23.265,23.655,23.25,23.615,5100,2.059
2003-02-28,23.375,24.055,23.275,23.405,8800,2.04
2003-03-03,24.365,24.375,23.815,23.875,11300,2.081
2003-03-04,23.39,23.575,23.015,23.195,39600,2.022
2003-03-05,23.14,23.14,22.855,22.94,5000,2.0
2003-03-06,24.815,24.815,22.625,22.69,21000,1.978
2003-03-07,22.515,22.745,22.14,22.23,10500,1.938
2003-03-10,21.39,22.255,21.345,21.98,6700,1.916
2003-03-11,21.995,22.5,21.75,21.965,8900,1.915
2003-03-12,22.125,22.215,22.0,22.08,3300,1.925
2003-03-13,22.44,22.465,21.44,21.515,15900,1.876
2003-03-17,21.5,21.625,20.94,21.22,21700,1.85
2003-03-19,21.0,23.37,20.875,20.995,23600,1.83
2003-03-20,22.195,22.195,21.065,21.175,250400,1.846
2003-03-21,21.5,21.575,21.25,21.53,9900,1.877
2003-03-24,21.375,21.565,20.9,21.05,475600,1.835
2003-03-25,21.22,21.415,20.825,21.005,35800,1.831
2003-03-26,21.375,21.875,21.25,21.25,40700,1.853
2003-03-27,21.25,21.43,20.765,20.965,18200,1.828
2003-03-28,20.805,21.18,20.1,20.245,13900,1.765
2003-03-31,20.375,20.65,19.565,19.845,14300,1.73
2003-04-01,20.05,20.065,19.765,19.915,15200,1.736
2003-04-02,20.0,20.375,20.0,20.07,16800,1.75
2003-04-03,21.04,21.225,20.75,21.005,6300,1.831
2003-04-04,21.065,21.625,21.065,21.245,21400,1.852
2003-04-07,21.85,22.5,21.565,21.715,51700,1.893
2003-04-08,21.775,22.03,21.44,21.52,45700,1.876
2003-04-09,21.805,21.805,21.375,21.475,15600,1.872
2003-04-10,21.29,21.29,20.78,20.995,14700,1.83
2003-04-11,21.25,21.59,20.92,21.18,12300,1.846
2003-04-15,21.5,21.5,21.005,21.19,13400,1.847
2003-04-16,21.19,21.19,20.94,21.065,56400,1.836
2003-04-17,20.195,21.69,20.195,21.27,5500,1.854
2003-04-21,21.28,21.375,20.895,20.895,24100,1.822
2003-04-22,21.125,21.355,20.525,20.665,32000,1.802
2003-04-23,20.92,20.92,20.495,20.54,32200,1.791
2003-04-24,21.865,21.865,20.75,20.845,6300,1.817
2003-04-25,20.94,20.94,20.39,20.47,16400,1.785
2003-04-28,20.375,21.125,19.375,19.65,102000,1.713
2003-04-29,21.095,21.095,19.815,20.3,20800,1.77
2003-04-30,20.62,21.225,20.28,21.015,37800,1.832
2003-05-02,21.17,21.48,21.005,21.345,24800,1.861
2003-05-05,21.87,21.87,21.32,21.515,34100,1.876
2003-05-06,21.5,21.75,20.875,21.0,37400,1.831
2003-05-07,21.37,21.805,20.94,21.005,49200,1.831
2003-05-08,21.75,21.75,21.0,21.04,22900,1.834
2003-05-09,21.24,21.625,21.24,21.495,75500,1.874
2003-05-12,21.5,22.25,21.5,22.175,76400,1.933
2003-05-13,22.48,24.125,22.48,23.875,206000,2.081
2003-05-14,24.815,25.5,24.075,24.305,330100,2.119
2003-05-15,24.725,24.94,24.125,24.37,251700,2.125
2003-05-16,26.25,26.25,24.175,24.465,112400,2.133
2003-05-19,24.75,24.765,23.875,24.065,102900,2.098
2003-05-20,24.745,24.745,23.845,24.25,63600,2.114
2003-05-21,24.6,24.675,23.82,24.17,146700,2.107
2003-05-22,24.0,24.25,23.39,23.72,142900,2.068
2003-05-23,24.23,24.23,22.315,23.755,58400,2.071
2003-05-26,24.23,24.35,23.515,23.73,116500,2.069
2003-05-27,23.875,23.875,23.5,23.54,97400,2.052
2003-05-28,23.75,24.225,23.57,23.64,68200,2.061
2003-05-29,23.64,23.75,23.505,23.555,52300,2.054
2003-05-30,24.375,24.375,23.58,23.745,240200,2.07
2003-06-02,23.775,25.44,23.775,24.8,188300,2.162
2003-06-03,25.25,25.595,24.63,24.845,200900,2.166
2003-06-04,25.375,25.375,24.815,24.865,163300,2.168
2003-06-05,25.125,26.03,25.0,25.115,312200,2.19
2003-06-06,25.125,25.375,23.775,23.87,288500,2.081
2003-06-09,24.315,24.875,24.015,24.525,226100,2.138
2003-06-10,24.25,24.315,23.75,23.82,104700,3.082
2003-06-11,24.08,24.315,23.88,23.995,41500,3.105
2003-06-12,23.9,24.215,23.875,23.895,46500,3.092
2003-06-13,24.375,24.55,22.815,22.995,206100,2.975
