Date,Open,High,Low,Close,Volume,Adj Close
2002-07-01,25.25,25.5,24.625,24.665,16000,2.168
2002-07-02,24.405,25.25,24.405,24.995,22300,2.197
2002-07-03,24.645,25.28,24.625,24.875,23300,2.186
2002-07-04,25.0,25.625,25.0,25.62,220100,2.251
2002-07-05,25.625,27.25,25.625,26.915,73900,2.365
2002-07-08,27.625,30.44,27.625,30.045,68100,2.64
2002-07-09,30.0,30.12,28.395,29.495,40900,2.592
2002-07-10,30.0,30.3,29.375,29.7,31900,2.61
2002-07-11,29.515,29.515,28.75,29.015,16900,2.55
2002-07-12,29.815,29.815,28.44,28.465,14800,2.501
2002-07-15,28.265,28.265,26.505,26.97,10200,2.37
2002-07-16,27.125,27.5,26.84,26.955,14200,2.369
2002-07-17,27.0,27.0,26.625,26.73,8700,2.349
2002-07-18,26.75,28.5,26.505,28.28,20300,2.485
2002-07-19,28.125,30.0,28.125,29.72,54000,2.612
2002-07-22,29.0,29.94,26.375,26.84,37800,2.359
2002-07-23,26.39,27.675,25.88,27.515,40400,2.418
2002-07-24,27.25,27.25,26.875,27.13,21600,2.384
2002-07-25,27.25,27.85,27.25,27.25,8500,2.395
2002-07-26,26.625,27.23,25.625,25.725,34300,2.261
2002-07-29,25.75,26.37,23.93,25.27,10300,2.221
2002-07-30,25.515,25.75,24.04,24.29,15300,2.135
2002-07-31,24.0,25.12,24.0,24.805,18700,2.18
2002-08-01,24.99,25.605,24.25,24.34,10800,2.1390000000000002
2002-08-02,24.5,24.75,24.375,24.74,3000,2.174
2002-08-05,24.5,25.0,24.27,24.3,21000,2.135
2002-08-06,23.9,25.0,23.9,24.995,18300,2.197
2002-08-07,25.0,25.0,24.19,24.345,15000,2.1390000000000002
2002-08-08,24.625,24.715,24.125,24.19,10700,2.126
2002-08-09,24.625,24.625,24.14,24.205,3500,2.127
2002-08-12,24.5,24.5,23.265,23.82,19700,2.093
2002-08-13,23.9,23.9,23.125,23.645,22000,2.0780000000000003
2002-08-14,24.12,24.12,23.165,23.29,11400,2.0469999999999997
2002-08-16,23.965,24.0,23.265,23.58,17600,2.072
2002-08-19,23.44,23.705,23.22,23.345,2100,2.052
2002-08-20,23.4,23.625,23.32,23.515,4600,2.066
2002-08-21,23.75,23.75,23.5,23.615,3800,2.075
2002-08-22,23.565,23.74,23.315,23.47,8200,2.062
2002-08-23,23.195,23.5,23.19,23.195,1800,2.0380000000000003
2002-08-26,24.22,24.22,23.14,23.78,6000,2.09
2002-08-27,23.44,24.0,23.28,23.77,6400,2.089
2002-08-28,23.745,24.44,23.745,24.275,6000,2.133
2002-08-29,24.275,25.0,24.2,24.99,13000,2.1959999999999997
2002-08-30,25.0,25.0,24.8,24.87,11800,2.186
2002-09-02,24.875,25.25,24.875,25.05,5100,2.201
2002-09-03,25.22,25.565,24.755,25.4,13500,2.2319999999999998
2002-09-04,25.125,25.25,24.3,24.93,7900,2.191
2002-09-05,24.695,25.25,24.5,24.655,7800,2.167
2002-09-06,24.75,24.75,24.375,24.495,4100,2.153
2002-09-09,24.0,24.05,23.02,24.045,15900,2.113
2002-09-11,23.765,23.855,23.215,23.75,9200,2.0869999999999997
2002-09-12,23.74,23.75,23.515,23.725,2900,2.085
2002-09-13,23.5,23.605,23.325,23.57,6700,2.0709999999999997
2002-09-16,23.375,23.5,23.125,23.415,8900,2.0580000000000003
2002-09-17,23.74,24.115,23.375,23.62,6000,2.076
2002-09-18,23.5,23.5,23.05,23.355,5200,2.052
2002-09-19,23.125,23.125,21.875,22.04,14600,1.9369999999999998
2002-09-20,22.065,22.44,22.065,22.14,7800,1.946
2002-09-23,22.125,23.125,22.125,22.525,11200,1.979
2002-09-24,22.75,23.25,22.695,22.995,10400,2.021
2002-09-25,23.045,23.125,22.875,23.095,3800,2.03
2002-09-26,22.625,23.125,22.575,23.065,10100,2.0269999999999997
2002-09-27,23.125,23.125,22.855,23.075,9900,2.028
2002-09-30,22.94,22.94,22.375,22.565,11900,1.983
2002-10-01,22.5,22.875,22.265,22.645,8200,1.99
2002-10-03,22.775,22.78,22.655,22.655,100,1.9909999999999999
2002-10-04,22.625,22.625,22.0,22.02,9000,1.935
2002-10-07,18.125,22.375,18.125,22.125,400,1.944
2002-10-08,22.75,22.965,22.3,22.8,8500,2.004
2002-10-09,22.75,22.815,22.625,22.675,4500,1.993
2002-10-10,22.5,22.615,22.5,22.575,5000,1.984
2002-10-11,22.565,23.125,22.565,22.995,8100,2.021
2002-10-14,22.98,22.98,22.545,22.545,3600,1.9809999999999999
2002-10-16,22.565,22.74,22.255,22.305,5000,1.96
2002-10-17,22.015,22.265,22.015,22.25,1600,1.955
2002-10-18,23.0,23.5,22.645,22.65,3300,1.99
2002-10-21,23.115,23.115,22.5,22.59,5700,1.985
2002-10-22,22.28,22.28,22.275,22.275,800,1.9569999999999999
2002-10-23,22.375,22.625,22.375,22.4,3800,1.9680000000000002
2002-10-24,21.25,22.87,21.25,22.745,11400,1.999
2002-10-25,21.905,23.375,21.905,23.295,16400,2.0469999999999997
2002-10-28,23.17,23.17,22.67,22.805,11700,2.004
2002-10-29,22.75,22.94,22.5,22.8,12900,2.004
2002-10-30,22.44,23.12,22.44,23.005,6900,2.022
2002-10-31,23.0,27.5,23.0,26.85,168200,2.36
2002-11-01,27.18,28.75,24.705,25.17,74500,2.2119999999999997
2002-11-04,25.125,26.25,25.125,25.775,59200,2.265
2002-11-05,25.75,25.75,24.15,25.315,29000,2.225
2002-11-07,25.62,25.625,24.795,25.205,6900,2.215
2002-11-08,25.12,25.12,24.405,24.53,4200,2.156
2002-11-11,24.375,25.0,24.375,24.725,5100,2.173
2002-11-12,24.35,25.1,24.35,24.505,4600,2.153
2002-11-13,24.72,24.95,24.32,24.875,1200,2.186
2002-11-14,25.245,25.245,24.69,24.99,3600,2.1959999999999997
2002-11-15,25.0,25.0,24.555,24.67,3800,2.168
2002-11-18,24.515,24.875,24.5,24.73,2900,2.173
2002-11-20,25.0,25.0,24.39,24.57,6300,2.1590000000000003
2002-11-21,24.14,24.6,23.775,24.095,14200,2.117
2002-11-22,23.905,24.125,23.79,23.875,10300,2.0980000000000003
2002-11-25,23.155,24.375,23.155,24.0,10000,2.109
2002-11-26,24.375,24.375,23.52,23.755,19100,2.088
2002-11-27,23.75,23.75,23.265,23.465,5700,2.062
2002-11-28,24.0,24.0,23.265,23.495,5800,2.065
2002-11-29,23.625,23.73,23.375,23.59,4600,2.073
2002-12-02,23.625,24.375,23.625,24.2,12600,2.127
2002-12-03,23.75,23.75,23.53,23.6,10000,2.074
2002-12-04,23.595,23.595,22.775,23.065,27500,2.0269999999999997
2002-12-05,24.44,24.44,23.03,23.075,23600,2.028
2002-12-06,23.44,23.57,22.655,23.175,13600,2.037
2002-12-09,23.125,23.625,23.125,23.27,13700,2.045
2002-12-10,22.82,23.375,22.82,23.265,5200,2.044
2002-12-11,23.0,23.55,23.0,23.375,4200,2.0540000000000003
2002-12-12,23.625,23.865,23.125,23.605,22000,2.074
2002-12-13,23.75,23.995,23.5,23.545,10000,2.069
2002-12-16,23.75,24.125,23.625,24.075,29700,2.116
2002-12-17,24.2,24.595,23.9,24.015,32400,2.11
2002-12-18,24.25,25.25,24.025,24.545,40000,2.157
2002-12-19,24.44,25.625,24.44,25.105,42700,2.206
2002-12-20,25.25,25.9,25.25,25.68,107800,2.2569999999999997
2002-12-23,25.865,25.865,25.14,25.32,16200,2.225
2002-12-24,25.37,25.75,24.85,25.75,39700,2.263
2002-12-26,25.19,25.745,25.125,25.63,27600,2.252
2002-12-27,25.855,26.205,25.34,25.925,30200,2.278
2002-12-30,25.75,26.0,25.275,25.615,14800,2.251
2002-12-31,25.39,25.625,25.25,25.275,9500,2.221
2003-01-01,25.815,27.065,25.69,26.625,89700,2.34
2003-01-02,26.75,27.625,26.315,26.605,62700,2.338
2003-01-03,26.875,27.0,26.25,26.375,17900,2.318
2003-01-06,26.375,27.49,26.25,27.32,57500,2.401
2003-01-07,27.475,27.625,26.625,26.92,40900,2.366
2003-01-08,26.415,28.22,26.415,27.18,102900,2.3890000000000002
2003-01-09,27.25,28.1,27.25,27.965,91800,2.458
2003-01-10,28.0,28.125,27.44,27.84,64500,2.447
2003-01-13,30.0,30.0,27.505,27.975,53600,2.458
2003-01-14,29.875,29.875,27.495,28.28,170200,2.485
2003-01-15,28.75,29.5,28.63,29.23,180700,2.569
2003-01-16,29.125,29.37,28.515,29.14,69100,2.5610000000000004
2003-01-17,29.065,29.125,27.765,28.045,58700,2.465
2003-01-20,28.315,28.375,27.54,28.195,42600,2.478
2003-01-21,28.315,28.315,27.895,28.025,47700,2.463
2003-01-22,27.695,28.33,27.625,28.19,53200,2.477
2003-01-23,28.25,28.25,27.27,27.7,57600,2.434
2003-01-24,27.875,28.115,25.19,25.475,98300,2.239
2003-01-27,25.5,25.615,24.38,24.545,22000,2.157
2003-01-28,24.125,25.365,23.64,24.515,52800,2.154
2003-01-29,24.975,24.975,24.375,24.39,9700,2.1430000000000002
2003-01-30,22.75,25.25,22.75,24.605,7000,2.162
2003-01-31,24.005,24.625,24.0,24.27,7500,2.133
2003-02-03,23.94,25.25,23.82,25.045,15600,2.201
2003-02-04,25.0,25.0,24.0,24.215,14700,2.128
2003-02-05,23.825,24.315,23.825,24.05,51600,2.113
2003-02-06,24.015,24.375,23.9,24.24,10300,2.13
2003-02-07,24.19,24.5,24.065,24.44,11000,2.148
2003-02-10,24.775,24.775,23.75,23.965,10400,2.106
2003-02-11,22.5,24.315,22.5,23.9,23500,2.1
2003-02-12,23.875,23.875,23.14,23.54,13400,2.069
2003-02-14,23.5,23.5,22.875,23.115,8100,2.031
2003-02-17,23.265,23.93,23.265,23.765,10000,2.088
2003-02-18,24.13,24.13,23.625,23.805,19800,2.092
2003-02-19,24.0,24.35,23.645,23.865,11400,2.097
2003-02-20,23.75,24.25,23.75,23.94,3100,2.104
2003-02-21,23.565,23.975,23.565,23.69,9200,2.082
2003-02-24,23.57,23.695,23.42,23.57,5600,2.0709999999999997
2003-02-25,23.015,23.495,23.015,23.32,12200,2.049
2003-02-26,24.365,24.365,23.03,23.25,19900,2.043
2003-02-27,23.265,23.655,23.25,23.615,5100,2.075
2003-02-28,23.375,24.055,23.275,23.405,8800,2.057
2003-03-03,24.365,24.375,23.815,23.875,11300,2.0980000000000003
2003-03-04,23.39,23.575,23.015,23.195,39600,2.0380000000000003
2003-03-05,23.14,23.14,22.855,22.94,5000,2.016
2003-03-06,24.815,24.815,22.625,22.69,21000,1.994
2003-03-07,22.515,22.745,22.14,22.23,10500,1.954
