Date,Open,High,Low,Close,Volume,Adj Close
2011-10-28,43.5,43.5,30.0,37.7,801300,35.32
2011-10-31,36.0,39.6,35.85,39.6,558400,37.1
2011-11-01,38.6,41.6,38.1,40.45,151100,37.9
2011-11-02,39.25,40.45,38.45,38.45,119500,36.02
2011-11-03,36.6,39.3,36.6,39.0,154500,36.54
2011-11-04,38.15,40.45,38.15,40.15,86800,37.61
2011-11-08,40.1,41.5,39.5,41.25,97600,38.89
2011-11-09,40.3,43.35,39.2,39.65,553000,37.38
2011-11-11,40.0,41.25,38.5,40.0,72500,37.71
2011-11-14,40.0,41.5,38.2,39.6,215500,37.33
2011-11-15,40.55,40.9,34.5,36.7,82800,34.6
2011-11-16,35.0,37.45,33.5,36.0,58700,33.94
2011-11-17,35.0,36.0,30.0,33.0,43600,31.11
2011-11-18,33.7,34.0,32.0,33.0,54200,31.11
2011-11-21,34.8,35.4,33.1,34.9,37300,32.9
2011-11-22,33.15,34.8,32.0,32.9,14800,31.02
2011-11-23,31.2,34.15,31.0,33.1,87500,31.2
2011-11-24,32.2,34.0,32.2,33.5,309000,31.58
2011-11-25,33.95,34.1,33.5,33.5,23800,31.58
2011-11-28,32.55,36.0,32.55,35.45,438500,33.42
2011-11-29,34.15,35.8,34.0,34.1,38500,32.15
2011-11-30,34.2,35.25,33.15,34.85,20000,32.85
2011-12-01,33.3,36.9,33.3,35.35,69400,33.33
2011-12-02,34.2,35.6,34.15,35.2,25800,33.18
2011-12-05,36.85,36.85,33.3,34.0,36200,32.05
2011-12-06,34.0,34.0,34.0,34.0,0,32.05
2011-12-07,33.5,34.0,32.75,33.0,1759300,31.11
2011-12-08,33.5,35.85,32.9,35.55,110300,33.51
2011-12-09,34.15,35.5,34.0,35.4,16100,33.37
2011-12-12,34.5,35.85,33.25,33.8,16200,31.86
2011-12-13,33.15,35.2,33.0,33.7,58000,31.77
2011-12-14,33.2,35.2,33.15,33.7,1709000,31.77
2011-12-15,33.2,35.25,33.0,34.75,75400,32.76
2011-12-16,33.2,35.5,33.1,35.05,164000,33.04
2011-12-19,33.6,38.7,33.6,37.0,138800,34.88
2011-12-20,36.1,36.6,33.25,33.45,16500,31.53
2011-12-21,33.8,34.0,32.6,33.0,77600,31.11
2011-12-22,32.15,33.95,32.15,33.55,15800,31.63
2011-12-23,33.1,34.85,32.25,34.45,15500,32.48
2011-12-26,33.1,33.95,33.0,33.15,13700,31.25
2011-12-27,33.75,34.95,33.2,34.4,17900,32.43
2011-12-28,34.0,34.9,34.0,34.0,9200,32.05
2011-12-29,34.0,34.4,34.0,34.0,15300,32.05
2011-12-30,34.0,35.7,34.0,35.0,1636300,33.0
2012-01-02,34.8,35.45,33.35,34.65,22800,32.67
2012-01-03,33.5,35.0,33.5,34.3,7500,32.34
2012-01-04,33.5,34.85,33.5,34.5,3500,32.52
2012-01-05,34.05,34.5,34.0,34.0,7700,32.05
2012-01-06,35.8,35.8,34.0,34.55,7100,32.57
2012-01-09,34.9,36.45,33.2,36.15,14700,34.08
2012-01-10,36.95,39.85,35.2,38.9,97100,36.67
2012-01-11,39.0,41.35,38.95,39.5,21300,37.24
2012-01-12,40.15,40.8,38.0,40.35,12600,38.04
2012-01-13,40.45,44.0,39.5,40.9,303500,38.56
2012-01-16,42.5,42.5,39.0,40.0,85300,37.71
2012-01-17,40.0,41.8,39.5,40.1,96700,37.8
2012-01-18,39.0,40.5,37.15,37.5,16300,35.35
2012-01-19,37.7,39.75,37.5,37.55,16800,35.4
2012-01-20,37.1,39.75,37.1,37.65,25400,35.49
2012-01-23,38.0,39.7,37.5,37.6,52000,35.45
2012-01-24,37.05,39.0,36.6,38.5,73400,36.49
2012-01-25,38.0,39.25,37.35,38.95,15500,36.92
2012-01-26,38.95,38.95,38.95,38.95,0,36.92
2012-01-27,39.0,39.1,38.0,38.0,28500,36.02
2012-01-30,38.0,39.2,38.0,39.0,8300,36.96
2012-01-31,38.1,39.5,38.1,39.05,42900,37.01
2012-02-01,39.8,39.8,38.0,38.85,14100,36.82
2012-02-02,39.2,39.4,38.1,38.15,7500,36.16
2012-02-03,38.75,38.75,37.2,37.3,13800,35.35
2012-02-06,37.15,39.4,37.15,39.3,63900,37.25
2012-02-07,39.0,39.6,39.0,39.2,59900,37.15
2012-02-08,39.5,43.45,39.5,42.75,199700,40.52
2012-02-09,43.95,44.3,41.75,43.15,23700,40.9
2012-02-10,43.6,43.6,41.15,41.8,31600,39.62
2012-02-13,42.5,42.5,39.0,39.8,29000,37.72
2012-02-14,40.0,41.2,37.35,40.35,60200,38.24
2012-02-15,41.0,41.4,39.25,39.95,18200,37.86
2012-02-16,39.15,42.4,38.05,41.6,78600,39.43
2012-02-17,42.5,45.0,40.0,43.9,312100,41.61
2012-02-20,43.9,43.9,43.9,43.9,0,41.61
2012-02-21,45.5,52.65,44.0,47.1,493200,44.64
2012-02-22,49.6,49.6,46.0,46.2,71700,43.79
2012-02-23,48.3,48.3,42.0,43.85,38200,41.56
2012-02-24,44.0,44.85,42.0,42.25,23200,40.04
2012-02-27,43.0,45.8,43.0,44.95,107100,42.6
