Date,Open,High,Low,Close,Volume,Adj Close
2004-08-24,305.0,340.0,253.25,260.2,6633900,245.53
2004-08-25,262.0,264.7,249.2,255.55,2794100,241.15
2004-08-26,257.75,272.5,256.0,270.7,2340900,255.44
2004-08-27,272.0,272.55,260.65,262.25,915100,247.47
2004-08-30,263.7,269.0,262.05,266.1,387400,251.1
2004-08-31,266.8,267.8,264.3,266.2,261100,251.2
2004-09-01,267.0,273.45,265.0,267.2,311900,252.14
2004-09-02,267.85,269.5,260.0,262.2,205500,247.42
2004-09-03,262.2,264.9,257.5,262.65,303100,247.85
2004-09-06,263.5,267.85,263.0,265.3,74600,250.35
2004-09-07,264.0,265.8,263.55,264.85,128200,249.92
2004-09-08,266.0,266.0,262.6,263.45,95000,248.6
2004-09-09,264.5,265.0,254.8,256.0,229700,241.57
2004-09-10,256.9,264.4,254.35,258.6,313400,244.02
2004-09-13,256.0,262.15,256.0,260.65,100100,245.96
2004-09-14,261.0,263.5,259.0,261.1,87200,246.38
2004-09-15,262.7,266.95,261.5,263.9,179200,249.02
2004-09-16,264.0,266.7,261.0,265.6,113800,250.63
2004-09-17,267.0,274.45,266.1,271.0,193900,255.72
2004-09-20,272.0,283.0,272.0,277.35,447000,261.72
2004-09-21,280.0,281.8,275.0,276.3,317500,260.73
2004-09-22,281.5,281.95,275.05,279.25,142100,263.51
2004-09-23,273.0,279.0,268.8,269.9,71900,254.69
2004-09-24,269.5,273.0,267.1,270.8,64100,255.54
2004-09-27,271.5,273.9,269.3,272.8,43900,257.42
2004-09-28,272.8,272.8,263.6,265.7,116700,251.18
2004-09-29,266.9,267.5,262.65,264.45,84400,250.0
2004-09-30,266.4,268.75,264.95,266.05,45500,251.51
2004-10-01,266.0,268.0,264.0,265.25,59400,250.76
2004-10-04,268.8,270.9,263.0,269.05,173700,254.35
2004-10-05,269.0,271.0,264.0,265.25,74700,250.76
2004-10-06,266.5,298.9,266.5,295.0,1072400,278.88
2004-10-07,295.0,354.0,294.0,316.45,2122200,299.16
2004-10-08,318.1,331.35,316.45,320.4,599300,302.9
2004-10-11,315.0,318.6,301.25,304.7,121200,288.05
2004-10-12,307.0,311.0,298.1,300.15,146800,283.75
2004-10-14,303.7,303.7,286.55,289.1,89100,273.31
2004-10-15,294.8,299.8,288.0,290.7,115200,274.82
2004-10-18,293.9,295.0,285.0,286.8,59300,271.13
2004-10-19,291.4,291.4,282.6,285.6,72400,270.0
2004-10-20,288.4,292.3,285.5,286.55,95300,270.89
2004-10-21,288.4,296.5,285.0,292.25,81900,276.28
2004-10-25,295.5,305.3,284.6,286.35,215400,270.71
2004-10-26,289.9,294.8,281.55,289.5,105200,273.68
2004-10-27,285.0,313.9,285.0,299.15,656600,282.81
2004-10-28,301.0,311.0,297.0,306.6,326500,289.85
2004-10-29,302.2,306.75,301.0,303.25,76700,286.68
2004-11-01,305.0,305.0,289.0,301.3,190800,284.84
2004-11-02,306.0,310.0,302.0,306.9,109100,290.13
2004-11-03,307.5,310.0,303.0,305.15,93200,288.48
2004-11-04,308.8,308.8,299.0,300.0,32800,283.61
2004-11-05,303.0,303.0,290.0,292.35,61800,276.38
2004-11-08,297.4,302.0,290.25,292.5,80700,276.52
2004-11-09,296.4,300.0,293.3,295.55,48700,279.4
2004-11-10,298.0,298.8,291.5,292.5,107400,276.52
2004-11-11,293.6,296.4,286.55,287.95,131200,272.22
2004-11-12,292.9,293.4,289.15,291.5,29700,275.57
2004-11-16,293.65,294.95,289.0,294.05,48400,277.98
2004-11-17,296.0,296.0,283.0,283.85,222800,268.34
2004-11-18,285.0,288.75,283.1,284.3,95700,268.77
2004-11-19,286.7,287.0,280.5,282.15,116100,266.74
2004-11-22,283.0,284.0,278.3,278.9,112900,263.66
2004-11-23,285.0,285.0,276.0,277.7,193900,262.53
2004-11-24,281.8,287.0,280.4,285.45,345700,269.85
2004-11-25,294.6,299.85,289.5,294.8,397700,278.69
2004-11-29,295.0,299.8,295.0,297.6,146500,281.34
2004-11-30,298.95,298.95,294.0,295.2,172700,279.07
2004-12-01,296.0,297.85,295.0,295.55,85200,279.4
2004-12-02,297.0,305.0,296.0,302.35,317400,285.83
2004-12-03,305.55,306.6,295.0,295.75,339300,279.59
2004-12-06,297.05,298.0,293.25,294.3,200800,278.22
2004-12-07,295.0,304.65,295.0,302.25,288600,285.74
2004-12-08,302.0,304.9,297.0,300.15,201900,283.75
2004-12-09,302.6,302.6,297.0,298.7,143900,282.38
2004-12-10,300.0,304.45,295.0,300.65,318200,284.22
2004-12-13,303.0,305.0,300.65,301.95,43900,285.45
2004-12-14,303.0,310.75,302.65,305.95,141600,289.23
2004-12-15,308.45,308.5,304.0,305.5,62200,288.81
2004-12-16,306.0,310.9,302.0,309.3,137900,292.4
2004-12-17,308.05,312.95,302.2,305.15,195300,288.48
2004-12-20,310.0,314.4,310.0,312.4,212500,295.33
2004-12-21,316.45,324.9,314.2,316.55,78200,299.26
2004-12-22,316.05,318.9,305.0,307.65,89600,290.84
2004-12-23,305.0,310.0,304.25,308.6,79800,291.74
2004-12-24,312.0,317.0,308.0,315.55,121100,298.31
2004-12-27,318.0,334.2,306.05,326.55,171700,308.71
2004-12-28,321.05,333.9,321.05,326.85,97000,308.99
2004-12-29,334.0,334.0,319.1,327.2,98400,309.32
2004-12-30,329.5,351.8,328.5,338.2,222600,319.72
2004-12-31,340.05,349.5,336.0,340.45,86100,321.85
2005-01-03,344.0,348.0,335.0,338.15,73400,319.68
2005-01-04,342.9,359.9,339.5,343.1,240500,324.36
2005-01-05,345.0,355.0,323.85,333.5,230700,315.28
2005-01-06,337.0,341.95,326.0,338.25,121700,319.77
2005-01-07,350.0,350.0,331.55,333.65,76700,315.42
2005-01-10,338.9,351.4,334.2,339.7,238600,321.14
2005-01-11,343.0,343.0,318.5,324.65,161400,306.91
2005-01-12,325.0,334.95,318.1,320.1,79400,302.61
2005-01-13,330.0,330.0,316.05,318.7,157800,301.29
2005-01-14,328.0,333.0,320.0,328.15,453900,310.22
2005-01-17,329.5,337.7,322.6,324.75,426000,307.01
2005-01-18,327.0,328.95,320.65,323.55,109100,305.87
2005-01-19,327.95,327.95,321.55,323.5,71300,305.83
2005-01-20,325.0,338.85,325.0,333.45,448600,315.23
2005-01-24,335.0,339.8,323.05,328.5,215600,310.55
2005-01-25,330.0,334.0,300.15,321.45,158400,303.89
2005-01-27,313.0,328.0,308.0,325.05,222800,307.29
2005-01-28,325.5,361.0,325.0,351.5,569800,332.3
2005-01-31,351.5,354.4,340.4,343.75,140900,324.97
2005-02-01,345.0,366.9,337.35,361.25,269400,341.51
2005-02-02,360.0,362.25,348.4,351.95,157400,332.72
2005-02-03,359.4,382.0,356.35,379.35,399800,358.62
2005-02-04,383.0,391.9,374.0,382.75,225900,361.84
2005-02-07,385.9,390.0,370.0,372.55,104900,352.2
2005-02-08,350.1,383.0,350.1,371.7,141700,351.39
2005-02-09,375.0,382.8,370.0,370.7,196300,350.45
2005-02-10,374.7,382.5,372.6,374.1,87100,353.66
2005-02-11,379.6,380.0,369.0,372.95,68100,352.57
2005-02-14,379.9,390.0,372.0,374.85,173500,354.37
2005-02-15,375.0,380.0,369.0,377.4,162400,356.78
2005-02-16,379.7,381.1,370.0,371.75,122300,351.44
2005-02-17,370.15,372.0,361.5,368.05,120000,347.94
2005-02-18,371.0,373.95,364.0,367.4,145300,347.33
2005-02-21,334.3,371.3,334.3,359.55,38600,339.91
2005-02-22,360.0,365.95,354.5,359.9,97400,340.24
2005-02-23,360.0,369.0,357.2,362.85,65000,343.03
2005-02-24,365.0,367.95,361.0,361.5,37700,341.75
2005-02-25,366.0,372.0,361.0,364.55,245500,344.63
2005-02-28,367.0,376.0,367.0,373.6,76600,353.19
2005-03-01,375.0,377.95,363.0,364.6,235600,344.68
2005-03-02,367.0,373.0,361.95,365.45,91300,345.48
2005-03-03,362.0,370.0,354.0,363.65,123000,343.78
2005-03-04,364.0,369.9,360.0,364.45,72200,344.54
2005-03-07,364.0,368.0,360.0,364.2,140500,344.3
2005-03-08,366.0,366.0,359.2,360.15,88600,340.47
2005-03-09,360.15,384.2,360.15,374.2,228000,353.76
2005-03-10,378.0,382.0,373.7,379.9,234200,359.14
2005-03-11,381.5,393.0,376.0,387.65,259500,366.47
2005-03-14,384.0,384.0,373.05,374.55,64600,354.09
2005-03-15,375.0,378.9,370.0,370.5,44800,350.26
