Date,Open,High,Low,Close,Volume,Adj Close
2002-07-01,44.07,48.6701,44.07,47.03,47500,20.5185
2002-07-02,48.57,51.2,47.67,49.9301,72700,21.7838
2002-07-03,40.2,52.6301,40.2,50.5999,62900,22.076
2002-07-04,49.33,57.0,49.33,53.77,163700,23.4591
2002-07-05,55.9301,56.0,52.67,53.6299,57000,23.398
2002-07-08,52.0699,56.5999,52.0699,55.33,87600,24.1397
2002-07-09,55.33,55.33,50.93,52.23,37000,22.7872
2002-07-10,53.0,53.0,50.23,50.73,21000,22.1328
2002-07-11,51.33,51.33,46.77,49.73,198200,21.6965
2002-07-12,51.0,56.0,50.5999,55.0,177300,23.9957
2002-07-15,55.33,57.1,51.1301,51.6,162600,22.5123
2002-07-16,51.6701,52.53,47.07,47.73,137800,20.8239
2002-07-17,48.0,48.5,46.17,47.3,39100,20.6363
2002-07-18,48.17,51.2,48.03,49.9301,30300,21.7838
2002-07-19,50.0,50.9,48.17,48.6701,24700,21.234
2002-07-22,48.9701,49.83,47.47,49.17,31100,21.4522
2002-07-23,52.47,52.47,46.7299,49.17,38400,21.4522
2002-07-24,49.67,49.67,48.0,48.7001,26700,21.2471
2002-07-25,50.0,50.0,48.07,48.6,13600,21.2035
2002-07-26,47.7,47.8699,46.9999,47.67,18200,20.7977
2002-07-29,49.23,49.23,40.9001,43.7299,29700,19.0788
2002-07-30,45.53,46.0301,42.8,43.5,14100,18.9784
2002-07-31,41.37,43.9999,41.33,43.1299,14600,18.817
2002-08-01,44.47,46.4,40.7299,42.3701,27700,18.4854
2002-08-02,45.33,45.33,40.83,41.17,8500,17.9619
2002-08-05,45.0,45.0,42.2,43.77,10300,19.0962
2002-08-06,46.6,46.6,42.87,43.3699,4000,18.9217
2002-08-07,43.7299,45.7301,43.7299,44.2,6300,19.2838
2002-08-08,45.3,45.33,42.7,42.7301,7100,18.6425
2002-08-09,41.33,43.2,41.33,41.93,6600,18.2934
2002-08-12,42.3701,43.9999,42.3701,43.47,5000,18.9653
2002-08-13,42.8,42.9,41.1,42.1,7600,18.3676
2002-08-14,41.33,42.87,41.33,41.7701,1900,18.2237
2002-08-16,43.07,43.07,41.33,42.07,2400,18.3546
2002-08-19,42.0,42.0,40.07,40.4,3900,17.6259
2002-08-20,41.83,41.83,40.3699,41.2,4900,17.975
2002-08-21,40.33,40.67,40.2701,40.4,2700,17.6259
2002-08-22,38.7701,40.33,38.7701,39.1301,1700,17.0719
2002-08-23,43.33,43.33,39.0,39.2,2400,17.1024
2002-08-26,36.9,39.2299,36.67,38.2699,6900,16.6966
2002-08-27,39.3,39.3,37.33,37.7299,900,16.461
2002-08-28,36.6,37.33,36.4999,36.53,2700,15.9375
2002-08-29,34.7299,36.53,34.7299,35.43,2800,15.4576
2002-08-30,35.4,35.4,34.8,35.2699,2400,15.3878
2002-09-02,35.13,38.67,35.13,36.7,3300,16.0117
2002-09-03,35.83,36.43,35.33,36.0,900,15.7063
2002-09-04,35.5001,36.33,34.5,35.37,5100,15.4314
2002-09-05,36.57,36.67,35.6299,36.4999,6600,15.9244
2002-09-06,37.6,37.67,36.1,36.3701,3600,15.8677
2002-09-09,35.67,39.27,35.67,36.33,6300,15.8503
2002-09-11,36.67,36.83,36.4001,36.57,1100,15.955
2002-09-12,36.1301,37.0001,36.1301,36.83,3300,16.0684
2002-09-13,37.4,38.33,37.0001,37.43,3100,16.3302
2002-09-16,37.83,38.8,37.0001,37.3699,4500,16.304
2002-09-17,37.83,37.8701,37.0001,37.2,2600,16.2298
2002-09-18,37.0001,37.33,36.67,36.93,7600,16.112
2002-09-19,36.33,36.93,36.0,36.7,7500,16.0117
2002-09-20,36.0,36.67,36.0,36.67,1300,15.9986
2002-09-23,36.1,36.9,36.03,36.67,4700,15.9986
2002-09-24,35.37,37.0301,34.7,36.7699,7200,16.0422
2002-09-25,36.33,36.83,36.33,36.7301,1200,16.0248
2002-09-26,37.2701,37.2701,36.33,36.67,600,15.9986
2002-09-27,38.33,38.33,36.67,37.17,4100,16.2167
2002-09-30,36.57,37.1299,35.7701,37.0001,1800,16.1426
2002-10-01,36.67,36.7699,36.27,36.57,1500,15.955
2002-10-03,37.2701,37.2701,36.33,36.63,26200,15.9811
2002-10-04,37.57,40.0001,36.97,37.7299,11900,16.461
2002-10-07,37.77,38.57,36.97,37.3,2300,16.2735
2002-10-08,37.9001,39.57,37.33,37.6,4800,16.4044
2002-10-09,37.3699,37.67,37.33,37.33,16500,16.2866
2002-10-10,37.9999,37.9999,36.67,37.2701,10900,16.2604
2002-10-11,37.3699,38.2699,37.07,38.03,6900,16.5919
2002-10-14,37.47,37.47,37.47,37.47,0,16.3476
2002-10-16,37.57,38.67,37.53,37.6301,1100,16.4175
2002-10-17,37.47,37.9999,37.47,37.8701,1500,16.5222
2002-10-18,37.67,37.9999,37.6,37.9999,300,16.5788
2002-10-21,37.67,38.13,37.33,37.57,7600,16.3913
2002-10-22,37.9999,39.0,37.33,37.57,1800,16.3913
2002-10-23,38.3,38.3,37.1299,37.1299,1100,16.1993
2002-10-24,37.3,37.67,36.67,36.97,24400,16.1295
2002-10-25,37.33,38.67,37.33,38.03,59400,16.5919
2002-10-28,38.33,38.6299,38.1,38.2,8500,16.6661
2002-10-29,37.67,38.5999,37.0999,38.17,35100,16.653
2002-10-30,37.5,38.5001,37.5,38.33,39200,16.7228
2002-10-31,37.77,38.67,37.77,38.33,17000,16.7228
2002-11-01,39.7301,39.8,37.9699,38.13,3700,16.6356
2002-11-04,38.5999,38.5999,37.8,37.9699,1000,16.5657
2002-11-05,37.9999,37.9999,37.9001,37.9999,1100,16.5788
2002-11-07,37.9999,38.13,37.93,38.07,10600,16.6094
2002-11-08,37.9999,38.2301,37.8,38.07,8200,16.6094
2002-11-11,37.47,39.0,37.47,38.43,52200,16.7665
2002-11-12,38.8699,38.93,38.2,38.47,1400,16.7839
2002-11-13,37.8701,38.2699,37.8701,38.17,700,16.653
2002-11-14,38.5001,38.5999,38.03,38.2301,2100,16.6792
2002-11-15,42.0,42.0,38.13,38.2,1800,16.6661
2002-11-18,38.67,39.8,38.43,39.4999,3400,17.2333
2002-11-20,40.0001,41.33,39.7,39.7301,5500,17.3337
2002-11-21,40.07,40.07,37.9999,38.2,19300,16.6661
2002-11-22,38.93,39.3,37.6,38.67,10400,16.8712
2002-11-25,39.83,40.9999,39.8,40.17,30800,17.5256
2002-11-26,41.7701,42.33,41.33,42.2,11900,18.4112
2002-11-27,42.0,42.4999,40.7,40.83,4800,17.8135
2002-11-28,41.13,41.67,40.67,41.43,3000,18.0753
2002-11-29,43.9999,43.9999,40.9999,41.37,3700,18.0491
2002-12-02,42.4001,49.67,42.4001,45.0,57100,19.6329
2002-12-03,45.33,45.33,42.97,43.53,7800,18.9915
2002-12-04,43.33,43.3699,42.0,43.2,3200,18.8475
2002-12-05,45.33,46.7299,43.4,43.7299,8000,19.0788
2002-12-06,42.7699,42.7699,40.0001,40.67,14200,17.7437
2002-12-09,43.23,43.93,41.83,41.9,7500,18.2803
2002-12-10,41.67,42.0,41.03,41.73,2500,18.2062
2002-12-11,41.7701,42.67,40.67,42.0,10400,18.324
2002-12-12,42.3701,42.3701,40.9999,41.13,1100,17.9444
2002-12-13,40.8701,42.0,40.8701,41.2699,900,18.0055
2002-12-16,43.0001,43.0001,40.07,40.3,5200,17.5823
2002-12-17,38.8699,43.0001,38.8699,41.57,11300,18.1364
2002-12-18,40.9999,41.17,40.5,40.8,3200,17.8005
2002-12-19,40.53,41.43,40.33,41.4,1900,18.0622
2002-12-20,40.67,42.0,38.13,40.7299,22800,17.7699
2002-12-23,40.0001,40.67,40.0001,40.17,4400,17.5256
2002-12-24,40.67,41.33,39.57,40.0001,6400,17.4514
2002-12-26,40.33,40.5,40.0001,40.0301,2600,17.4645
2002-12-27,40.2,40.53,40.0001,40.17,5100,17.5256
2002-12-30,40.0001,40.33,40.0001,40.1299,600,17.5081
2002-12-31,40.5,40.6,40.0001,40.17,1700,17.5256
2003-01-01,40.67,41.43,40.6301,41.2699,4100,18.0055
2003-01-02,41.67,42.63,40.77,41.47,4900,18.0928
2003-01-03,41.33,41.67,40.9999,41.17,2900,17.9619
2003-01-06,40.0001,41.13,40.0001,40.7299,600,17.7699
2003-01-07,41.33,41.33,40.33,40.47,4700,17.6565
2003-01-08,41.2301,41.2301,40.5,40.8701,1300,17.831
2003-01-09,39.4001,41.2301,39.4001,40.83,1200,17.8135
2003-01-10,36.33,40.9999,36.33,40.17,3300,17.5256
2003-01-13,42.87,42.87,38.7,40.3699,200,17.6128
2003-01-14,41.2301,43.0001,41.2301,41.7,6600,18.1931
2003-01-15,38.7,43.2,38.7,42.7,6700,18.6294
