Date,Open,High,Low,Close,Volume
2016-01-11,3.44,3.54,3.4,3.46,668325
2016-01-12,3.51,3.58,3.38,3.48,1367762
2016-01-13,3.5,3.6,3.43,3.55,2329509
2016-01-14,3.58,3.76,3.56,3.71,910919
2016-01-15,3.54,3.66,3.5,3.6,830280
2016-01-19,3.62,3.67,3.46,3.53,723264
2016-01-20,3.51,3.52,3.31,3.46,693703
2016-01-21,3.48,3.66,3.48,3.57,921293
2016-01-22,3.64,3.8,3.63,3.7,754619
2016-01-25,3.66,3.95,3.66,3.86,1560112
2016-01-26,3.88,3.94,3.78,3.85,894484
2016-01-27,3.86,3.95,3.76,3.92,1179752
2016-01-28,3.62,3.62,2.75,2.9,5341993
2016-01-29,2.91,3.04,2.73,2.76,2578139
2016-02-01,2.83,2.92,2.76,2.82,1988791
2016-02-02,2.79,2.88,2.77,2.87,997715
2016-02-03,2.88,2.9,2.67,2.68,1203904
2016-02-04,2.7,2.78,2.56,2.58,1899426
2016-02-05,2.64,2.65,2.58,2.59,1275951
2016-02-08,2.6,2.61,2.47,2.51,1193574
2016-02-09,2.51,2.58,2.46,2.52,765099
2016-02-10,2.54,2.58,2.45,2.48,947950
2016-02-11,2.47,2.48,2.32,2.35,1452635
2016-02-12,2.36,2.51,2.36,2.5,1057163
2016-02-16,2.53,2.57,2.43,2.53,740678
2016-02-17,2.56,2.7,2.56,2.63,713906
2016-02-18,2.65,2.68,2.61,2.63,777406
2016-02-19,2.62,2.75,2.62,2.72,462456
2016-02-22,2.77,2.78,2.7,2.73,513068
2016-02-23,2.73,2.77,2.72,2.75,430696
2016-02-24,2.75,2.88,2.72,2.84,649707
2016-02-25,2.86,2.95,2.81,2.89,836080
2016-02-26,2.89,2.9,2.78,2.81,426349
2016-02-29,2.77,2.94,2.76,2.82,738660
2016-03-01,2.85,2.95,2.77,2.93,1172039
2016-03-02,2.92,2.99,2.9,2.94,500322
2016-03-03,2.95,3.07,2.92,3.04,896425
2016-03-04,3.04,3.18,3.02,3.09,1045978
2016-03-07,3.07,3.14,3.03,3.1,693919
2016-03-08,3.08,3.08,2.8,2.81,787714
2016-03-09,2.84,3.06,2.84,2.97,628227
2016-03-10,2.98,3.0,2.86,2.96,546809
2016-03-11,2.97,3.04,2.93,3.03,269403
2016-03-14,3.01,3.07,3.0,3.0,304725
2016-03-15,3.0,3.0,2.94,2.99,384874
2016-03-16,2.99,3.03,2.94,2.99,437434
2016-03-17,2.97,3.05,2.97,3.02,385178
2016-03-18,3.05,3.06,2.99,3.0,1124047
2016-03-21,3.01,3.04,2.97,3.0,404540
2016-03-22,2.98,3.05,2.96,3.02,312237
2016-03-23,3.0,3.01,2.96,2.97,435634
2016-03-24,2.98,3.07,2.95,3.03,742644
2016-03-28,3.02,3.16,3.01,3.12,595367
2016-03-29,3.09,3.15,3.01,3.14,1405125
2016-03-30,3.14,3.2,3.05,3.1,1057162
2016-03-31,3.1,3.18,3.09,3.11,850372
2016-04-01,3.09,3.12,3.06,3.11,284454
2016-04-04,3.1,3.17,3.08,3.13,795857
2016-04-05,3.1,3.15,3.06,3.13,444664
2016-04-06,3.14,3.28,3.1,3.22,1034785
2016-04-07,3.2,3.21,3.05,3.08,552858
2016-04-08,3.12,3.13,3.02,3.09,615600
