Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2007-10-22,MANALU,EQ,38.45,43.0,46.15,32.05,35.0,35.75,38.9,431961.0,16804000.0,,133850.0,0.3099
2007-10-23,MANALU,EQ,35.75,35.15,42.0,35.15,38.15,38.4,38.99,144464.0,5633000.0,,53797.0,0.3724
2007-10-24,MANALU,EQ,38.4,39.9,39.9,34.05,34.05,35.15,36.65,53464.0,1960000.0,,27464.0,0.5137
2007-10-25,MANALU,EQ,35.15,35.15,36.8,33.1,34.0,33.75,34.07,52899.0,1802000.0,,30316.0,0.5731
2007-10-26,MANALU,EQ,33.75,32.6,35.5,32.15,34.0,34.25,34.46,21780.0,751000.0,,14353.0,0.659
2007-10-29,MANALU,EQ,34.25,33.5,35.75,33.0,33.5,33.35,33.97,11383.0,387000.0,,9451.0,0.8303
2007-10-30,MANALU,EQ,33.35,33.0,33.8,32.0,32.55,32.8,32.86,5360.0,176000.0,,3437.0,0.6412
2007-10-31,MANALU,EQ,32.8,32.0,35.0,31.05,34.0,34.0,33.4,17816.0,595000.0,,14059.0,0.7891
2007-11-01,MANALU,EQ,34.0,35.0,35.0,33.0,33.75,33.35,34.1,29910.0,1020000.0,,19287.0,0.6448
2007-11-02,MANALU,EQ,33.35,33.75,34.5,33.1,33.2,33.25,33.48,7702.0,258000.0,,6244.0,0.8107
2007-11-05,MANALU,EQ,33.25,33.0,35.0,33.0,34.2,34.4,34.32,11091.0,381000.0,,8514.0,0.7676
2007-11-06,MANALU,EQ,34.4,34.9,35.1,33.5,34.15,34.15,34.39,4878.0,168000.0,,3006.0,0.6162
2007-11-07,MANALU,EQ,34.15,34.8,36.0,34.1,36.0,35.1,34.87,4476.0,156000.0,,4089.0,0.9135
2007-11-08,MANALU,EQ,35.1,34.0,36.4,34.0,35.1,35.25,35.5,4134.0,147000.0,,3860.0,0.9337
2007-11-09,MANALU,EQ,35.25,37.0,38.0,34.0,36.0,36.55,36.37,2541.0,92000.0,,1268.0,0.499
2007-11-12,MANALU,EQ,36.55,35.95,37.4,35.0,37.0,36.75,36.43,5268.0,192000.0,,3651.0,0.6931
2007-11-13,MANALU,EQ,36.75,36.1,41.0,36.1,40.0,40.4,39.53,27780.0,1098000.0,,20530.0,0.739
2007-11-14,MANALU,EQ,40.4,40.05,42.0,39.1,39.1,39.45,40.26,18072.0,728000.0,,14959.0,0.8277
2007-11-15,MANALU,EQ,39.45,40.5,42.0,36.3,36.3,37.25,38.36,12094.0,464000.0,,10102.0,0.8353
2007-11-16,MANALU,EQ,37.25,36.1,42.0,36.1,39.0,38.55,39.87,13687.0,546000.0,,9271.0,0.6774
2007-11-19,MANALU,EQ,38.55,40.9,41.8,36.25,37.25,37.6,38.23,22015.0,842000.0,,18346.0,0.8333
2007-11-20,MANALU,EQ,37.6,37.25,43.0,36.0,43.0,41.85,40.67,20938.0,852000.0,,14564.0,0.6956
2007-11-21,MANALU,EQ,41.85,43.0,45.9,40.3,41.4,40.7,44.06,28591.0,1260000.0,,16569.0,0.5795
2007-11-22,MANALU,EQ,40.7,37.25,42.2,37.25,38.9,38.65,38.73,22241.0,861000.0,,18273.0,0.8216
2007-11-23,MANALU,EQ,38.65,39.0,40.45,38.6,39.2,39.35,39.75,3696.0,147000.0,,3433.0,0.9288
2007-11-26,MANALU,EQ,39.35,39.35,42.4,39.35,40.0,40.15,40.43,2677.0,108000.0,,1978.0,0.7389
2007-11-27,MANALU,EQ,40.15,38.0,40.2,38.0,38.95,39.15,39.36,2024.0,80000.0,,1924.0,0.9506
2007-11-28,MANALU,EQ,39.15,40.0,40.0,38.0,38.0,38.5,38.67,1766.0,68000.0,,1475.0,0.8352
2007-11-29,MANALU,EQ,38.5,39.3,39.6,37.25,38.4,38.4,38.42,5930.0,228000.0,,4372.0,0.7373
2007-11-30,MANALU,EQ,38.4,38.4,39.2,36.8,38.3,37.95,37.94,10620.0,403000.0,,7524.0,0.7085
2007-12-03,MANALU,EQ,37.95,38.0,41.25,37.1,41.0,40.6,39.82,9961.0,397000.0,,6485.0,0.651
2007-12-04,MANALU,EQ,40.6,41.0,42.5,41.0,42.5,42.3,41.85,7294.0,305000.0,,4896.0,0.6712
2007-12-05,MANALU,EQ,42.3,43.95,50.8,43.8,50.8,50.8,48.25,39279.0,1895000.0,,25918.0,0.6598
2007-12-06,MANALU,EQ,50.8,60.9,61.0,55.0,61.0,61.0,60.23,61276.0,3690000.0,,35237.0,0.5751
2007-12-07,MANALU,EQ,61.0,64.75,67.1,64.75,67.1,67.1,66.86,52853.0,3534000.0,,31392.0,0.5939
2007-12-10,MANALU,EQ,67.1,72.25,73.85,71.0,73.85,73.85,73.42,14324.0,1052000.0,,11589.0,0.8091
2007-12-11,MANALU,EQ,73.85,81.1,81.25,81.1,81.25,81.25,81.24,3441.0,280000.0,,3441.0,1.0
2007-12-12,MANALU,EQ,81.25,89.4,89.4,81.3,89.4,89.4,88.08,10883.0,959000.0,,8259.0,0.7589
