Date,Open,High,Low,Close,Volume,Adj Close
2002-07-01,21.5,22.6,21.5,22.2,102000,22.2
2002-07-02,23.45,26.65,23.15,26.65,679300,26.65
2002-07-03,28.45,32.0,28.1,32.0,1191500,32.0
2002-07-04,34.15,38.4,34.15,35.15,2465600,35.15
2002-07-05,35.85,35.85,32.3,32.7,552100,32.7
2002-07-08,33.75,33.75,31.55,31.85,235000,31.85
2002-07-09,31.8,35.5,31.05,33.3,830800,33.3
2002-07-10,34.45,34.45,32.15,32.55,186200,32.55
2002-07-11,33.0,33.4,29.1,30.1,175400,30.1
2002-07-12,31.4,31.4,30.3,30.8,137000,30.8
2002-07-15,31.65,31.9,27.2,28.35,124900,28.35
2002-07-16,29.2,30.35,27.4,28.3,162400,28.3
2002-07-17,28.9,30.4,27.65,28.2,149600,28.2
2002-07-18,28.85,30.4,28.7,29.6,197600,29.6
2002-07-19,30.4,34.25,29.2,32.6,1010200,32.6
2002-07-22,32.6,32.6,29.15,29.6,239200,29.6
2002-07-23,29.0,30.55,29.0,29.75,139300,29.75
2002-07-24,29.75,30.3,28.25,28.7,119600,28.7
2002-07-25,29.4,30.25,28.0,28.15,133300,28.15
2002-07-26,28.1,28.45,25.25,25.7,99800,25.7
2002-07-29,26.1,26.45,20.8,23.0,244500,23.0
2002-07-30,24.0,25.0,22.5,23.0,139600,23.0
2002-07-31,22.0,23.2,21.15,22.75,111700,22.75
2002-08-01,24.0,25.25,23.25,24.15,136700,24.15
2002-08-02,23.3,24.0,22.9,23.4,63000,23.4
2002-08-05,24.4,27.5,24.4,26.05,224300,26.05
2002-08-06,25.9,28.5,25.1,27.2,272100,27.2
2002-08-07,28.45,28.5,27.5,27.7,127500,27.7
2002-08-08,28.0,28.4,25.2,25.85,70000,25.85
2002-08-09,26.0,26.0,24.55,25.7,83500,25.7
2002-08-12,27.15,27.15,25.0,25.5,38500,25.5
2002-08-13,25.6,26.35,25.1,25.35,41300,25.35
2002-08-14,25.9,25.9,24.95,25.05,32000,25.05
2002-08-16,25.5,25.55,24.0,24.15,32000,24.15
2002-08-19,24.25,25.0,24.25,24.55,45600,24.55
2002-08-20,24.45,25.0,24.25,24.6,18400,24.6
2002-08-21,24.3,26.65,24.25,25.75,115400,25.75
2002-08-22,26.15,26.45,25.0,25.2,17800,25.2
2002-08-23,25.45,25.45,24.2,24.3,18500,24.3
2002-08-26,24.7,25.45,24.05,24.35,31800,24.35
2002-08-27,25.25,25.25,23.4,23.6,28500,23.6
2002-08-28,23.25,23.9,23.2,23.4,27200,23.4
2002-08-29,23.8,23.8,22.1,22.25,20400,22.25
2002-08-30,21.0,22.45,21.0,21.35,34800,21.35
2002-09-02,22.5,22.65,21.0,21.25,35100,21.25
2002-09-03,21.0,21.8,21.0,21.4,14200,21.4
2002-09-04,21.0,23.4,21.0,22.6,60600,22.6
2002-09-05,22.9,23.4,22.35,22.5,33200,22.5
2002-09-06,22.1,22.25,21.1,21.2,30200,21.2
2002-09-09,19.9,19.9,18.25,18.5,94300,18.5
2002-09-11,18.0,19.5,18.0,18.95,39000,18.95
2002-09-12,19.45,19.85,18.9,19.55,27400,19.55
2002-09-13,19.1,21.95,19.1,20.4,116500,20.4
2002-09-16,18.5,20.0,16.75,17.05,190700,17.05
2002-09-17,17.0,17.9,16.1,17.1,151500,17.1
2002-09-18,17.2,17.4,16.2,16.4,39400,16.4
2002-09-19,16.95,16.95,15.55,15.8,35600,15.8
2002-09-20,15.7,16.4,14.75,15.65,58400,15.65
2002-09-23,15.65,15.95,15.1,15.45,19500,15.45
2002-09-24,15.3,15.4,15.1,15.25,16100,15.25
2002-09-25,14.8,15.3,14.8,14.9,18200,14.9
2002-09-26,15.0,15.35,14.55,14.8,15600,14.8
2002-09-27,14.8,15.15,14.55,14.65,11400,14.65
2002-09-30,14.5,14.7,14.0,14.3,13200,14.3
2002-10-01,14.25,14.25,13.0,13.45,28000,13.45
2002-10-03,14.0,15.4,14.0,14.7,63900,14.7
2002-10-04,15.4,15.9,14.7,15.85,113700,15.85
2002-10-07,17.45,19.05,17.2,19.05,307800,19.05
2002-10-08,20.4,21.85,19.7,20.4,700800,20.4
2002-10-09,22.0,22.0,19.3,19.55,224000,19.55
2002-10-10,20.55,22.45,20.3,21.6,630900,21.6
2002-10-11,22.0,22.15,20.5,21.3,447200,21.3
2002-10-14,21.75,21.9,18.25,19.35,186900,19.35
2002-10-16,19.75,19.75,18.1,18.25,105400,18.25
2002-10-17,18.0,20.3,17.5,19.8,329000,19.8
2002-10-18,20.7,20.8,19.25,19.6,257700,19.6
2002-10-21,19.7,20.0,19.15,19.4,56700,19.4
2002-10-22,19.2,19.7,18.75,18.95,66600,18.95
2002-10-23,18.9,19.05,18.4,18.5,39000,18.5
2002-10-24,18.65,19.0,18.3,18.45,36200,18.45
2002-10-25,18.0,18.45,17.3,17.8,59700,17.8
2002-10-28,17.75,18.0,17.3,17.7,27600,17.7
2002-10-29,18.35,19.6,17.7,18.95,137700,18.95
2002-10-30,19.2,19.55,18.1,18.6,112900,18.6
2002-10-31,18.1,18.65,18.0,18.15,34100,18.15
2002-11-01,18.45,19.2,18.3,18.85,63300,18.85
2002-11-04,18.8,19.1,18.3,18.45,14000,18.45
2002-11-05,18.0,18.2,17.2,18.05,27100,18.05
2002-11-07,15.75,17.7,15.75,17.35,49300,17.35
2002-11-08,17.3,18.7,17.3,17.75,81000,17.75
2002-11-11,17.1,18.0,17.1,17.55,22100,17.55
2002-11-12,17.5,18.0,17.5,17.8,25500,17.8
2002-11-13,17.85,18.5,17.7,18.2,99200,18.2
2002-11-14,18.3,19.25,17.7,17.85,92300,17.85
2002-11-15,18.5,18.6,17.7,17.95,86500,17.95
2002-11-18,18.2,18.25,17.9,17.95,20000,17.95
2002-11-20,17.5,17.95,17.5,17.6,28800,17.6
2002-11-21,18.05,18.05,17.3,17.4,22900,17.4
2002-11-22,17.5,17.5,16.7,16.95,44000,16.95
2002-11-25,17.15,19.35,17.1,18.6,217300,18.6
2002-11-26,19.0,20.0,18.6,18.8,124300,18.8
2002-11-27,19.9,19.9,18.5,18.6,37700,18.6
2002-11-28,18.3,18.85,18.0,18.2,38400,18.2
2002-11-29,19.2,19.2,18.15,18.6,68400,18.6
2002-12-02,19.05,21.3,19.05,20.1,289200,20.1
2002-12-03,20.4,20.95,19.05,19.25,152900,19.25
2002-12-04,18.05,19.15,17.5,18.65,89000,18.65
2002-12-05,19.3,19.7,18.8,19.0,59900,19.0
2002-12-06,20.9,22.8,20.5,22.8,728800,22.8
2002-12-09,23.6,24.4,20.2,21.0,495700,21.0
2002-12-10,20.0,20.8,19.3,20.4,154700,20.4
2002-12-11,21.65,21.65,20.5,20.65,53200,20.65
2002-12-12,21.1,21.9,20.5,20.6,53800,20.6
2002-12-13,21.0,21.15,20.5,20.9,51600,20.9
