,Stock_Name,Stock_Symbol
0,ACC,ACC
1,Ambuja Cements,AMBUJACEM
2,Andhra Cement,ANDHRACEMT
3,Barak Vally Cem,BVCL
4,Birla Corp,BIRLACORPN
5,Burnpur Cement,BURNPUR
6,Dalmia Bharat,DALMIABHA
7,Guj Sidhee Cem,GSCLCEMENT
8,Heidelberg Cem,HEIDELBERG
9,India Cements,INDIACEM
10,J. K. Cement,JKCEMENT
11,JK Lakshmi Cem,JKLAKSHMI
12,KCP,KCP
13,Mangalam Cement,MANGLMCEM
14,OCL India,OCL
15,Orient Cement,ORIENTCEM
16,Prism Cement,PRISMCEM
17,Rain Industries,RAIN
18,Ramco Cements,RAMCOCEM
19,Shree Cements,SHREECEM
20,UltraTechCement,ULTRACEMCO
