Date,Open,High,Low,Close,Volume,Adj Close
2006-03-21,180.0,189.9,161.25,183.25,21555700,172.66
2006-03-22,182.4,201.0,181.0,190.05,10321700,179.07
2006-03-23,191.4,195.7,185.0,191.6,3539600,180.53
2006-03-24,193.15,195.0,188.05,192.4,2155400,181.29
2006-03-27,193.4,193.7,186.15,187.9,685500,177.05
2006-03-28,187.0,204.5,178.65,194.15,4088600,182.93
2006-03-29,197.0,210.7,190.1,205.05,5077900,193.21
2006-03-30,208.4,212.4,204.05,206.95,1315700,195.0
2006-03-31,208.1,211.9,199.15,201.35,657500,189.72
2006-04-03,200.1,210.0,200.1,201.65,1028400,190.0
2006-04-04,202.7,206.3,197.15,197.85,471500,186.42
2006-04-05,202.0,202.0,193.25,194.4,268000,183.17
2006-04-07,194.9,205.2,191.0,199.4,721900,187.88
2006-04-10,199.9,203.05,192.65,199.9,358900,188.35
2006-04-12,200.9,202.45,189.0,192.7,229200,181.57
2006-04-13,191.0,195.0,188.0,193.05,170500,181.9
2006-04-17,196.45,200.9,192.1,193.75,150400,182.56
2006-04-18,193.5,197.4,181.9,183.0,146100,172.43
2006-04-19,186.0,194.85,184.7,191.7,280700,180.63
2006-04-20,194.0,194.0,180.5,184.4,294200,173.75
2006-04-21,184.5,186.7,179.15,180.6,116600,170.17
2006-04-24,182.0,183.95,178.5,182.15,175100,171.63
2006-04-25,183.5,183.5,176.55,179.85,125100,169.46
2006-04-26,182.0,196.0,179.05,190.8,381800,179.78
2006-04-27,194.3,208.95,186.0,195.8,1433900,184.49
2006-04-28,190.0,205.9,180.0,200.85,542600,189.25
2006-05-02,208.9,219.0,198.0,208.85,949900,196.79
2006-05-03,211.4,218.8,203.3,213.55,483500,201.21
2006-05-04,215.0,227.0,210.1,214.0,305900,201.64
2006-05-05,213.7,218.8,209.0,215.25,212900,202.82
2006-05-08,215.0,227.9,215.0,223.55,502500,210.64
2006-05-09,221.0,223.5,213.2,215.95,112400,203.48
2006-05-10,217.0,227.5,211.7,224.7,1441200,211.72
2006-05-11,212.1,237.4,212.1,221.95,455500,209.13
2006-05-12,220.0,222.85,213.1,214.95,102500,202.53
2006-05-15,216.0,219.25,205.1,208.65,112700,196.6
2006-05-16,209.95,213.7,192.5,203.5,190000,191.74
2006-05-17,206.0,231.0,206.0,221.3,338000,208.52
2006-05-18,220.0,220.0,195.3,197.45,86400,186.04
2006-05-19,205.0,212.0,172.0,177.2,232300,166.96
2006-05-22,180.0,188.0,160.25,168.65,75900,158.91
2006-05-23,164.0,179.0,155.0,175.95,39200,165.79
2006-05-24,182.0,185.5,168.05,170.35,50000,160.51
2006-05-25,152.25,179.4,141.25,175.4,99300,165.27
2006-05-26,181.9,182.9,176.0,177.55,32400,167.29
2006-05-29,179.9,207.8,179.9,203.0,365600,191.27
2006-05-30,208.0,209.0,190.25,193.35,197000,182.18
2006-05-31,190.0,190.0,177.0,181.8,63800,171.3
2006-06-01,187.3,188.7,175.1,178.05,52600,167.76
2006-06-02,178.95,182.0,168.0,169.25,63100,159.47
2006-06-05,172.7,172.7,161.15,169.05,95600,159.28
2006-06-06,162.0,172.0,162.0,166.05,45800,156.46
2006-06-07,163.0,168.0,145.0,153.95,113600,145.06
2006-06-08,152.5,152.5,123.2,127.05,125200,119.71
2006-06-09,126.1,141.95,112.0,134.05,96800,126.31
2006-06-12,141.2,141.2,127.0,128.8,47300,121.36
2006-06-13,128.0,128.0,121.0,122.8,15800,115.71
2006-06-14,127.0,129.9,112.0,116.0,24900,109.3
2006-06-15,123.0,128.9,120.0,126.2,75000,118.91
2006-06-16,132.4,151.45,129.0,151.45,120800,142.7
2006-06-19,152.5,174.9,145.0,167.6,148700,157.92
2006-06-20,165.6,175.0,159.0,168.85,105000,159.1
2006-06-21,169.0,177.0,166.0,170.1,84300,160.27
2006-06-22,178.0,184.9,173.0,179.85,97500,169.46
2006-06-23,173.0,179.8,168.25,170.8,50200,160.93
2006-06-26,173.7,175.0,157.55,161.05,28700,151.75
2006-06-27,157.0,162.0,149.0,154.1,26800,145.2
2006-06-28,150.0,152.6,145.0,150.9,13900,142.18
2006-06-29,154.7,158.0,146.05,152.55,53200,143.74
2006-06-30,154.0,166.9,154.0,162.55,229500,153.16
2006-07-03,169.7,169.7,159.05,162.65,39600,153.25
2006-07-04,163.0,166.5,160.0,162.3,39000,152.92
2006-07-05,160.0,164.9,160.0,163.2,36200,153.77
2006-07-06,163.5,165.0,160.15,164.85,49500,155.33
2006-07-07,163.15,168.05,156.0,159.75,41600,150.52
2006-07-10,160.0,163.0,154.5,159.45,27200,150.24
2006-07-11,157.1,160.0,152.5,153.9,13000,145.01
2006-07-12,152.0,154.0,145.0,153.05,21000,144.21
2006-07-13,153.85,155.9,150.8,152.65,7900,143.83
2006-07-14,152.6,152.6,146.0,148.0,11500,139.45
2006-07-17,148.0,151.95,138.5,140.7,16400,132.57
2006-07-18,142.5,145.0,134.1,135.45,14900,127.63
2006-07-19,139.9,144.0,132.2,136.25,11700,128.38
2006-07-20,138.2,141.95,136.8,138.3,10100,130.31
2006-07-21,136.25,138.95,131.15,133.7,6700,125.98
2006-07-24,127.1,136.0,125.5,132.25,11100,124.61
2006-07-25,136.0,140.0,133.1,134.5,4300,126.73
2006-07-26,132.25,146.8,130.25,144.45,16300,136.11
2006-07-27,146.0,157.5,143.0,144.25,92600,135.92
2006-07-28,144.0,150.0,138.0,141.15,256900,133.0
2006-07-31,144.5,144.5,138.0,138.6,11300,130.59
2006-08-01,140.0,141.5,135.05,136.8,23900,128.9
2006-08-02,138.0,139.6,132.0,133.8,23300,126.07
2006-08-03,135.0,139.0,134.5,135.5,48100,127.67
2006-08-04,136.95,138.1,132.5,133.35,15000,125.65
2006-08-07,134.95,134.95,125.0,131.95,11700,124.33
2006-08-08,134.5,138.75,130.05,137.6,30700,129.65
2006-08-09,144.4,144.4,133.5,141.85,30800,133.66
2006-08-10,142.0,147.35,141.7,143.45,27200,135.16
2006-08-11,143.45,147.0,142.15,143.95,26500,136.59
2006-08-14,146.0,149.1,143.5,145.85,26600,138.39
2006-08-16,149.9,160.45,146.1,160.0,155300,151.82
2006-08-17,166.0,166.45,152.3,157.5,46100,149.44
2006-08-18,153.5,158.0,153.15,156.05,12700,148.07
2006-08-21,161.9,161.9,153.1,157.7,25300,149.63
2006-08-22,160.0,164.9,158.0,160.1,31200,151.91
2006-08-23,160.25,164.0,155.1,162.3,31500,154.0
2006-08-24,160.0,162.0,156.5,161.45,45900,153.19
2006-08-25,162.6,176.0,160.15,169.1,86800,160.45
2006-08-28,169.0,178.0,166.0,172.7,30100,163.87
2006-08-29,174.5,175.0,168.2,170.7,17700,161.97
2006-08-30,169.5,184.5,166.3,182.65,98600,173.31
2006-08-31,185.0,200.95,185.0,200.95,533900,190.67
2006-09-01,203.95,208.0,197.3,204.35,425000,193.9
2006-09-04,204.35,214.6,197.25,214.1,429300,203.15
2006-09-05,213.0,217.5,203.45,203.9,223100,193.47
2006-09-06,205.0,214.1,199.4,212.95,217300,202.06
2006-09-07,214.0,215.0,205.0,207.05,74500,196.46
2006-09-08,207.6,214.7,205.5,213.45,80000,202.53
2006-09-11,210.1,217.4,202.8,203.1,90200,192.71
2006-09-12,205.85,205.85,195.0,197.1,34800,187.02
2006-09-13,199.85,207.0,199.85,207.0,40400,196.41
2006-09-14,206.0,212.0,203.1,206.05,32800,195.51
2006-09-15,209.0,213.9,203.0,208.25,75700,197.6
2006-09-18,210.65,210.65,203.0,205.4,17400,194.89
2006-09-19,204.8,207.75,199.1,200.95,15200,190.67
2006-09-20,202.0,203.75,195.0,196.1,40900,186.07
2006-09-21,202.0,204.0,196.0,198.9,44700,188.73
2006-09-22,200.15,208.8,200.15,204.5,100900,194.04
2006-09-25,205.0,206.95,199.0,199.9,15200,189.67
2006-09-26,203.0,209.0,198.0,205.0,61600,194.51
2006-09-27,208.5,215.25,206.5,215.25,81100,204.24
2006-09-28,217.0,220.8,209.05,210.5,54200,199.73
2006-09-29,212.5,221.0,210.0,218.0,52200,206.85
2006-10-03,223.0,223.0,214.15,215.4,38700,204.38
2006-10-04,220.4,220.4,208.05,214.05,96900,203.1
2006-10-05,216.05,218.0,212.0,212.7,33200,201.82
2006-10-06,210.1,216.9,209.0,211.55,29100,200.73
2006-10-09,214.0,214.0,205.9,206.15,18700,195.61
2006-10-10,207.0,210.0,199.1,200.65,25500,190.39
2006-10-11,204.9,217.0,203.9,206.65,67600,196.08
2006-10-12,206.0,211.5,204.25,206.9,18600,196.32
2006-10-13,210.0,210.0,187.0,203.55,20600,193.14
2006-10-16,205.0,206.95,201.0,201.95,13000,191.62
2006-10-17,202.9,202.9,197.0,198.05,10700,187.92
2006-10-18,201.0,201.0,194.0,195.65,21700,185.64
2006-10-19,199.0,201.0,190.0,192.25,151600,182.42
2006-10-20,194.95,197.0,188.1,190.5,17100,180.76
2006-10-23,194.65,194.65,185.35,185.85,20500,176.34
2006-10-26,185.1,190.85,185.05,189.35,11700,179.66
2006-10-27,189.5,189.95,182.0,183.45,18300,174.07
2006-10-30,184.0,186.0,181.1,181.65,24800,172.36
2006-10-31,182.85,183.5,176.5,177.9,17800,168.8
2006-11-01,178.95,192.4,175.1,185.25,247300,175.77
2006-11-02,184.0,185.0,180.0,182.3,77000,172.98
2006-11-03,184.95,191.0,183.25,184.55,86600,175.11
2006-11-06,185.95,191.5,184.4,188.35,66800,178.72
2006-11-07,190.0,207.2,184.15,205.75,269300,195.23
2006-11-08,205.0,210.0,194.0,203.55,279700,193.14
2006-11-09,204.0,214.75,200.0,201.9,145000,191.57
2006-11-10,203.05,218.4,202.5,210.85,242300,200.06
2006-11-13,212.95,231.95,212.95,230.95,675900,219.14
2006-11-14,234.85,237.4,219.4,219.85,413800,208.6
2006-11-15,222.7,228.0,209.7,217.85,202100,206.71
2006-11-16,219.65,221.7,207.0,208.05,79100,197.41
2006-11-17,208.7,210.8,199.1,200.4,99200,190.15
2006-11-20,202.0,207.9,192.05,201.8,90400,191.48
2006-11-21,207.0,209.5,198.55,202.75,128300,192.38
2006-11-22,205.0,212.9,201.5,212.9,663200,202.01
2006-11-23,217.55,223.0,210.1,211.45,227500,200.63
2006-11-24,215.0,219.75,210.15,211.75,73500,200.92
2006-11-27,214.7,221.2,212.15,216.1,224400,205.05
2006-11-28,210.1,226.5,210.05,220.05,285600,208.79
2006-11-29,223.4,231.05,217.5,229.95,241800,218.19
2006-11-30,231.0,236.7,225.3,227.6,131500,215.96
2006-12-01,229.75,239.0,225.1,235.1,343100,223.07
2006-12-04,237.8,245.0,231.15,243.6,316000,231.14
2006-12-05,243.0,249.9,241.0,245.7,412700,233.13
2006-12-06,246.95,258.0,238.5,253.25,258500,240.3
2006-12-07,257.8,263.0,251.5,256.65,306100,243.52
2006-12-08,259.45,262.9,243.85,244.65,103900,232.14
2006-12-11,245.95,249.0,220.2,235.35,201500,223.31
2006-12-12,237.0,245.0,222.0,233.2,365800,221.27
2006-12-13,231.95,233.0,217.0,230.95,46300,219.14
2006-12-14,237.0,237.5,227.0,230.0,49700,218.24
2006-12-15,234.95,242.75,232.0,235.45,42800,223.41
2006-12-18,237.95,244.9,231.5,240.75,22600,228.44
2006-12-19,243.0,256.7,238.5,246.85,391200,234.22
2006-12-20,248.4,249.8,231.5,243.95,71100,231.47
2006-12-21,248.0,249.7,232.0,246.8,193600,234.18
2006-12-22,250.0,258.0,239.0,247.6,158100,234.93
2006-12-26,254.25,264.0,250.0,261.2,114100,247.84
2006-12-27,263.7,265.0,253.0,255.05,206400,242.0
2006-12-28,257.0,257.0,246.1,255.05,112200,242.0
2006-12-29,251.0,257.45,248.4,253.05,70100,240.11
2007-01-02,255.2,260.0,253.0,254.9,22200,241.86
2007-01-03,258.9,258.9,252.65,255.05,14500,242.0
2007-01-04,256.0,256.0,245.5,248.25,13200,235.55
2007-01-05,248.1,251.9,240.0,243.65,20700,231.19
2007-01-08,241.0,254.0,237.1,245.45,37000,232.89
2007-01-09,246.4,248.7,236.05,238.7,15500,226.49
2007-01-10,237.0,239.9,227.05,230.7,10900,218.9
2007-01-11,225.25,242.9,225.25,240.3,27700,228.01
2007-01-12,247.0,247.0,240.0,241.3,14800,228.96
2007-01-15,245.0,256.0,239.05,243.55,349200,231.09
2007-01-16,250.0,255.0,247.2,250.4,74300,237.59
2007-01-17,253.85,258.0,246.0,247.9,152700,235.22
2007-01-18,252.0,256.45,250.0,251.9,116500,239.02
2007-01-19,255.0,255.0,248.2,250.35,95500,237.54
2007-01-22,250.0,254.9,241.2,245.8,36700,233.23
2007-01-23,252.0,255.0,242.0,244.7,154500,232.18
2007-01-24,245.1,253.0,244.0,249.95,63600,237.16
2007-01-25,254.0,255.0,243.0,246.0,142500,233.42
2007-01-29,249.85,250.0,235.0,237.7,28400,225.54
2007-01-31,238.1,251.0,238.0,239.15,50500,226.92
2007-02-01,239.95,247.7,236.2,239.15,142200,226.92
2007-02-02,245.0,246.0,231.1,234.0,48700,222.03
2007-02-05,232.5,244.0,232.5,238.9,30600,226.68
2007-02-06,239.0,262.8,239.0,260.8,467500,247.46
2007-02-07,262.0,272.4,254.0,259.95,279200,246.65
2007-02-08,269.0,269.0,251.0,251.65,64100,238.78
2007-02-09,253.0,255.0,247.0,251.1,55200,238.26
2007-02-12,248.0,252.9,226.0,238.45,44500,226.25
2007-02-13,242.25,242.25,227.0,228.15,42300,216.48
2007-02-14,226.05,235.95,220.0,232.05,27600,220.18
2007-02-15,244.0,244.0,233.0,239.85,114200,227.58
2007-02-19,242.0,247.5,232.0,233.1,19500,221.18
2007-02-20,236.15,238.4,227.2,230.3,24600,218.52
2007-02-21,232.8,232.8,228.0,228.5,7200,216.81
2007-02-22,231.65,234.85,229.0,229.75,40700,218.0
2007-02-23,230.0,230.3,224.1,225.05,220400,213.54
2007-02-26,230.0,230.0,206.6,215.8,41200,204.76
2007-02-27,216.0,216.0,205.0,207.25,23400,196.65
2007-02-28,201.0,215.0,195.0,200.15,49000,189.91
2007-03-01,210.0,210.0,198.0,209.3,26600,198.59
2007-03-02,208.15,217.0,205.0,207.45,19300,196.84
2007-03-05,193.0,203.0,192.0,198.25,51000,188.11
2007-03-06,199.0,209.9,186.0,194.45,95500,184.5
2007-03-07,196.1,196.5,175.0,179.35,88600,170.18
2007-03-08,177.0,195.9,174.0,193.05,29600,183.18
2007-03-09,188.0,201.95,186.0,199.4,11100,189.2
2007-03-12,199.4,204.65,180.05,194.1,30300,184.17
2007-03-13,196.75,199.0,193.05,197.65,5000,187.54
2007-03-14,192.0,197.0,187.0,194.25,24600,184.31
2007-03-15,199.8,208.95,195.05,196.7,9800,186.64
2007-03-16,198.5,204.9,184.55,188.15,143100,178.53
2007-03-19,190.05,192.7,183.0,191.6,10000,181.8
2007-03-20,193.75,193.75,185.55,187.35,14300,177.77
2007-03-21,186.05,195.9,185.05,191.8,112900,181.99
2007-03-22,190.3,199.0,172.65,179.25,294700,170.08
2007-03-23,176.4,180.0,173.0,175.25,67600,166.29
2007-03-26,176.7,191.0,176.7,184.55,164400,175.11
2007-03-28,185.0,186.9,183.0,183.95,278600,174.54
2007-03-29,179.0,191.9,178.05,180.3,98600,171.08
2007-03-30,183.8,197.35,180.55,192.0,86500,182.18
2007-04-02,188.0,188.0,182.0,184.45,40200,175.02
