,Stock_Name,Stock_Symbol
0,8K Miles Soft,8KMILES
1,Almondz Global,ALMONDZ
2,Bajaj Finserv,BAJAJFINSV
3,Bajaj Holdings,BAJAJHLDNG
4,BF Investment,BFINVEST
5,BLB,BLBLIMITED
6,Blue Chip,BLUECHIP
7,Future Consumer,FCONSUMER
8,Hexa Tradex,HEXATRADEX
9,ILandFS,IVC
10,Indiabulls Vent,IBVENTURES
11,Industrial Inv,IITL
12,Inventure Grow,INVENTURE
13,JM Financial,JMFINANCIL
14,JSW Holdings,JSWHL
15,Kalyani Invest,KICL
16,Kanani Ind,KANANIIND
17,L&T Finance,L&TFH
18,McDowell Hold,MCDHOLDING
19,Muthoot Cap,MUTHOOTCAP
20,Muthoot Finance,MUTHOOTFIN
21,Nagreeka Cap,NAGREEKCAP
22,Nahar Capital,NAHARCAP
23,Onelife Capital,ONELIFECAP
24,PNB Gilts,PNBGILTS
25,Prime Sec,PRIMESECU
26,Rel Capital,RELCAPITAL
27,Religare Enterp,RELIGARE
28,SE Investments,SEINV
29,Signet Ind,SIGNET
30,Stampede Cap,STAMPEDE
31,STEL Holdings,STEL
32,Summit Sec,SUMMITSEC
33,Tata Inv Corp,TATAINVEST
34,TCI Finance,TCIFINANCE
35,Vikas Ecotech,VIKASECO
36,Visagar Polytex,VIVIDHA
37,Weizmann Forex,WEIZFOREX
38,Welspun Invest,WELINV
39,Williamson Mago,WILLAMAGOR
