,Stock_Name,Stock_Symbol
0,AMD Industries,AMDIND
1,Ausom Enterp,AUSOMENT
2,Balmer Lawrie,BALMLAWRIE
3,Emmbi Ind,EMMBI
4,ESS DEE,ESSDEE
5,Essel Propack,ESSELPACK
6,Ester Ind,ESTER
7,Everest Kanto,EKC
8,Flexituff Intl,FLEXITUFF
9,Huhtamaki PPL,PAPERPROD
10,Jindal PolyFilm,JINDALPOLY
11,Max Financial,MFSL
12,Max Ventures an,MAXVIL
13,Mold Tek Tech,MOLDTECH
14,Oricon Ent,ORICONENT
15,Polyplex Corp,POLYPLEX
16,Radha Madhav,RMCL
17,Shri Rama Multi,SHREERAMA
18,Time Techno,TIMETECHNO
19,Uflex,UFLEX
20,Xpro India,XPROINDIA
