,Stock_Name,Stock_Symbol
0,Arrow Greentech,ARROWGREEN
1,Astral Poly Tec,ASTRAL
2,Cosmo Films,COSMOFILMS
3,Hitech Plast,HITECHPLAS
4,Jain Irrig (D),JISLDVREQS
5,Jain Irrigation,JISLJALEQS
6,Kingfa Science,KINGFA
7,Mayur Uniquoter,MAYURUNIQ
8,Mold-Tek Pack,MOLDTKPAC
9,Nilkamal,NILKAMAL
10,Pearl Polymers,PEARLPOLY
11,Pil Italica,PILITA
12,Plastiblends,PLASTIBLEN
13,Premier Polyfil,PREMIERPOL
14,Responsive Ind,RESPONIND
15,Supreme Ind,SUPREMEIND
16,Tainwala,TPLPLASTEH
17,Tainwala Chem,TAINWALCHM
18,Texmo Pipes,TEXMOPIPES
19,Tijaria Polypip,TIJARIA
20,Tokyo Plast,TOKYOPLAST
21,Tulsi Extrusion,TULSI
22,VIP Industries,VIPIND
