,Stock_Name,Stock_Symbol
0,Ambika Cotton,AMBIKCO
1,Amit Spinning,ASIL
2,Ashima,ASHIMASYN
3,DCM,DCM
4,Eurotex,EUROTEXIND
5,Gangotri Textil,GANGOTRI
6,Ginni Filaments,GINNIFILA
7,GTN Industries,GTNIND
8,Indo Count,ICIL
9,Jindal Cotex,
10,Lambodhara Text,LAMBODHARA
11,Malwa Cotton,MALWACOTT
12,Maral Overseas,MARALOVER
13,Morarjee Text,MORARJEE
14,Nagreeka Export,NAGREEKEXP
15,Nahar Poly Film,NAHARPOLY
16,Nitin Spinners,NITINSPIN
17,Patspin India,PATSPINLTD
18,Precot Meridian,PRECOT
19,Salona Cotspin,SALONA
20,Shiva Texyarn,SHIVTEX
21,SIL Invest,SILINV
22,Spentex Ind,SPENTEX
23,STI India,STINDIA
24,Super Spinning,SUPERSPIN
25,Supreme Tex,SUPREMETEX
26,Suryalakshmi Co,SURYALAXMI
27,Trident,TRIDENT
28,Vardhman Poly,VARDMNPOLY
29,Vardhman Text,VTL
30,Winsome Yarns,WINSOME
