Date,Open,High,Low,Close,Volume,Adj Close
2002-07-01,315.0,315.0,310.0,315.0,4600,28.2
2002-07-02,320.0,325.0,316.11,319.12,3600,28.57
2002-07-03,316.0,316.0,312.5,315.02,500,28.2
2002-07-04,318.0,318.0,310.0,310.0,2200,27.75
2002-07-05,310.0,317.5,310.0,315.88,6000,28.28
2002-07-08,317.5,325.0,317.0,320.78,4100,28.72
2002-07-09,327.9,329.0,310.0,316.18,2800,28.31
2002-07-10,324.9,325.0,312.5,312.5,1900,27.98
2002-07-11,311.5,317.5,310.0,311.0,400,27.84
2002-07-12,315.0,320.0,314.0,315.03,8900,28.2
2002-07-15,317.4,317.5,314.7,315.0,15300,28.2
2002-07-16,319.9,320.0,315.0,315.0,4000,28.2
2002-07-17,311.01,315.0,300.0,308.66,2500,27.63
2002-07-18,312.3,312.3,300.0,303.28,500,27.15
2002-07-19,315.0,315.0,303.0,313.0,100,28.02
2002-07-22,310.03,310.03,305.0,305.0,5200,27.3
2002-07-23,306.1,306.1,305.61,305.61,0,27.36
2002-07-24,306.0,306.0,305.0,306.0,300,27.39
2002-07-26,300.0,305.0,300.0,301.3,3500,26.97
2002-07-29,300.1,302.0,300.05,300.09,1600,26.87
2002-07-30,300.0,313.0,300.0,307.44,4000,27.52
2002-07-31,300.5,306.0,300.01,300.01,5500,26.86
2002-08-01,301.5,301.9,297.6,297.6,3300,26.64
2002-08-02,304.8,304.8,297.9,299.3,200,26.79
2002-08-05,300.0,300.5,300.0,300.0,900,26.86
2002-08-06,301.0,301.0,301.0,301.0,100,26.95
2002-08-07,298.0,302.0,293.1,300.0,700,26.86
2002-08-08,300.0,300.0,300.0,300.0,200,26.86
2002-08-09,295.5,298.0,295.5,296.8,400,26.57
2002-08-12,297.5,301.9,297.5,299.9,200,26.85
2002-08-13,295.5,295.5,295.5,295.5,0,26.45
2002-08-14,297.5,297.8,297.5,297.8,700,26.66
2002-08-16,298.0,302.0,298.0,302.0,200,27.04
2002-08-19,301.5,302.5,301.5,302.5,0,27.08
2002-08-20,304.95,305.0,302.5,305.0,600,27.3
2002-08-21,308.9,310.78,303.0,307.7,400,27.55
2002-08-22,301.1,302.5,300.5,302.3,100,27.06
2002-08-23,305.0,305.0,305.0,305.0,0,27.3
2002-08-26,305.0,305.0,290.0,300.0,1200,26.86
2002-08-27,300.0,302.0,299.9,302.0,1100,27.04
2002-08-28,301.0,301.0,300.0,301.0,1400,26.95
2002-08-29,300.0,301.0,300.0,301.0,0,26.95
2002-08-30,298.01,300.01,298.01,299.46,200,26.81
2002-09-02,301.5,301.5,301.0,301.5,200,26.99
2002-09-03,291.0,303.39,290.0,300.01,3000,26.86
2002-09-04,300.0,303.0,300.0,303.0,200,27.13
2002-09-05,302.0,303.0,300.6,303.0,500,27.13
2002-09-06,300.0,303.5,300.0,301.6,100,27.0
2002-09-11,301.6,302.1,301.6,302.0,100,27.04
2002-09-12,301.5,301.5,300.6,301.32,400,26.98
2002-09-13,300.8,300.8,300.5,300.6,100,26.91
2002-09-17,300.0,300.0,300.0,300.0,200,26.86
2002-09-18,298.0,298.0,298.0,298.0,0,26.68
2002-09-19,299.1,299.1,295.51,298.3,2000,26.71
2002-09-23,295.5,295.5,294.0,294.0,200,26.32
2002-09-25,291.01,291.01,290.5,290.96,200,26.05
2002-09-27,295.0,295.0,295.0,295.0,0,26.41
2002-09-30,295.0,295.0,287.5,293.0,1800,26.23
2002-10-01,294.9,295.0,294.9,295.0,0,26.41
2002-10-03,290.51,290.51,290.0,290.0,100,25.96
2002-10-04,281.01,288.5,280.1,288.5,100,25.83
2002-10-07,282.0,293.9,282.0,285.3,900,25.54
2002-10-08,280.2,285.0,280.11,281.0,200,25.16
2002-10-09,283.0,285.0,283.0,285.0,300,25.51
2002-10-10,285.0,292.5,285.0,285.0,100,25.51
2002-10-11,285.0,285.5,285.0,285.5,0,25.56
2002-10-14,285.0,289.0,285.0,289.0,300,25.87
2002-10-16,294.9,300.0,294.9,296.0,400,26.5
2002-10-17,300.0,305.0,300.0,300.0,600,26.86
2002-10-18,300.0,314.5,300.0,305.5,200,27.35
