Date,Open,High,Low,Close,Volume,Adj Close
2008-11-05,30.05,53.8,30.05,47.62,35700,5.95
2008-11-06,42.0,47.97,42.0,43.86,200,5.48
2008-11-07,45.8,52.34,36.01,48.2,1200,6.02
2008-11-10,55.0,57.2,42.1,47.68,2500,5.95
2008-11-11,53.4,56.0,45.11,51.72,400,6.46
2008-11-12,44.0,55.8,44.0,55.68,300,6.95
2008-11-17,53.8,53.98,45.24,45.24,100,5.65
2008-11-18,38.08,40.02,36.65,36.65,300,4.58
2008-11-19,32.44,33.8,32.0,32.48,100,4.06
2008-11-21,30.8,32.0,30.8,31.51,100,3.94
2008-11-26,32.0,32.8,28.4,32.8,200,4.1
2008-11-28,30.0,30.0,30.0,30.0,0,3.75
2008-12-01,32.8,32.8,32.8,32.8,0,4.1
2008-12-02,32.8,32.8,32.8,32.8,0,4.1
2008-12-04,36.0,36.0,29.6,29.6,0,3.7
2008-12-12,28.2,32.55,28.2,32.55,0,4.06
2008-12-16,34.0,34.0,29.5,29.5,100,3.68
2008-12-17,26.62,28.1,26.62,28.1,0,3.51
2008-12-18,28.1,28.1,28.1,28.1,0,3.51
2008-12-26,29.61,29.61,29.61,29.61,0,3.7
2008-12-31,26.87,26.87,26.87,26.87,0,3.36
2009-01-06,26.77,26.77,26.77,26.77,0,3.34
2009-01-12,24.59,24.59,24.59,24.59,0,3.07
2009-01-15,24.81,24.81,24.81,24.81,0,3.1
2009-01-16,22.67,22.67,22.67,22.67,0,2.83
2009-01-19,21.6,24.94,21.6,24.94,100,3.11
2009-01-20,27.44,27.44,27.44,27.44,0,3.43
2009-01-21,30.19,30.19,30.19,30.19,0,3.77
2009-01-22,33.2,33.2,33.2,33.2,200,4.15
2009-01-23,31.8,34.86,31.6,34.86,100,4.35
2009-01-27,33.2,36.6,33.12,36.4,300,4.55
2009-02-03,38.22,38.22,34.58,34.58,0,4.32
2009-02-19,34.58,34.58,34.58,34.58,0,4.32
2009-02-24,33.0,33.0,33.0,33.0,0,4.12
2009-02-25,31.6,31.6,31.6,31.6,0,3.95
2009-02-27,31.6,31.6,31.6,31.6,0,3.95
2009-03-02,31.6,31.6,31.6,31.6,0,3.95
2009-03-16,33.18,33.18,33.18,33.18,0,4.14
2009-03-18,33.18,34.0,33.18,34.0,100,4.25
2009-03-19,32.4,32.4,32.4,32.4,0,4.05
2009-03-20,34.0,34.0,34.0,34.0,0,4.25
2009-03-23,35.0,35.0,35.0,35.0,0,4.37
2009-03-24,35.05,35.05,35.05,35.05,0,4.38
2009-03-25,33.4,33.4,33.4,33.4,0,4.17
2009-03-26,33.4,33.4,33.4,33.4,0,4.17
2009-03-27,33.4,33.4,33.4,33.4,0,4.17
2009-04-09,35.07,35.07,35.07,35.07,0,4.38
2009-04-13,36.83,36.83,36.83,36.83,500,4.6
2009-04-15,38.68,38.68,38.68,38.68,0,4.83
2009-04-16,40.62,40.62,40.62,40.62,0,5.07
