Date,Open,High,Low,Close,Volume,Adj Close
1996-01-01,42.4999,42.6874,42.2501,42.3,7200,0.1929
1996-01-02,42.3,43.3751,42.4001,42.95,18000,0.1958
1996-01-03,43.5,43.5,42.4999,42.4999,7200,0.1938
1996-01-04,42.4999,42.525,41.625,42.5125,27600,0.1938
1996-01-05,42.5125,42.5374,42.0,42.525,31200,0.1939
1996-01-08,42.0,42.75,42.0,42.45,36000,0.1935
1996-01-09,42.45,42.4999,41.775,42.4999,27600,0.1938
1996-01-10,42.4999,42.4999,42.0251,42.2501,12600,0.1926
1996-01-11,42.2501,42.7375,42.0,42.2501,25800,0.1926
1996-01-12,42.2501,42.4376,42.0,42.0,1200,0.1915
1996-01-15,42.0,42.4376,42.2625,42.2625,6600,0.1927
1996-01-16,42.2625,42.4999,42.0,42.1249,27600,0.1921
1996-01-17,41.6501,43.3625,41.6501,42.4999,14400,0.1938
1996-01-18,42.4999,42.4999,42.0125,42.0375,21600,0.1917
1996-01-19,42.0,42.525,42.0,42.4999,23400,0.1938
1996-01-22,42.15,42.3124,42.15,42.3,28200,0.1929
1996-01-23,42.3,42.375,42.0,42.0,36600,0.1915
1996-01-24,41.25,42.375,40.4749,42.225,33000,0.1925
1996-01-25,42.225,41.5001,41.25,41.5001,19200,0.1892
1996-01-29,41.5001,41.8,40.6249,41.8,19200,0.1906
1996-01-30,41.8,42.3124,41.25,42.275,52200,0.1927
1996-01-31,41.5001,42.3,41.5001,42.2625,20400,0.1927
1996-02-01,42.2625,42.4376,41.7499,42.425,16800,0.1934
1996-02-02,42.425,42.6251,42.0125,42.2875,33000,0.1928
1996-02-05,42.0,42.2875,41.5624,42.2875,20400,0.1928
1996-02-06,42.2875,43.4374,42.0,43.0375,45000,0.1962
1996-02-07,43.0375,43.0001,42.0,43.0001,10200,0.196
1996-02-08,42.75,46.2499,42.4999,43.7126,51000,0.1993
1996-02-09,43.7126,48.0,46.2499,48.0,43200,0.2188
1996-02-12,48.5,52.5,48.5,51.9,46800,0.2366
1996-02-13,51.9,53.0,51.625,52.7625,25800,0.2406
1996-02-14,55.0,58.0,54.0125,54.0375,54600,0.2464
1996-02-15,54.0375,55.9875,52.5,54.1376,24600,0.2468
1996-02-16,54.1376,53.0,49.5625,50.25,22200,0.2291
1996-02-19,50.25,50.5,48.8125,50.425,30600,0.2299
1996-02-20,51.0,52.25,50.0,51.25,69000,0.2337
1996-02-22,51.25,51.5,51.25,51.25,33600,0.2337
1996-02-23,51.25,53.75,51.5,53.2249,67800,0.2427
1996-02-26,53.2249,57.0,53.75,56.525,90000,0.2577
1996-02-27,56.525,62.0,55.625,60.125,75000,0.2741
1996-02-28,60.125,61.0,59.5,59.85,112200,0.2729
1996-02-29,59.85,59.75,59.0,59.05,121800,0.2692
1996-03-01,59.05,59.25,57.5,59.1625,87600,0.2697
1996-03-04,59.1625,60.0,59.25,59.55,84000,0.2715
1996-03-06,58.7625,60.0,58.7625,59.75,58200,0.2724
1996-03-07,59.75,59.625,59.0126,59.5,94200,0.2713
