Date,Open,High,Low,Close,Volume,Adj Close
1996-01-01,8.325,8.4,8.29999,8.375,985500,3e-05
1996-01-02,8.20001,8.35,7.93333,8.05833,7470000,3e-05
1996-01-03,7.69999,7.88166,7.65166,7.8,15160500,3e-05
1996-01-04,7.8,7.99833,7.71666,7.94667,12397500,3e-05
1996-01-05,7.94667,7.91667,7.78333,7.80333,5008500,3e-05
1996-01-08,7.80333,7.85834,7.51666,7.56333,12645000,3e-05
1996-01-09,7.56333,7.66334,7.47499,7.54334,8968500,3e-05
1996-01-10,7.54334,7.66667,7.46667,7.51833,2988000,3e-05
1996-01-11,7.51833,7.565,7.48334,7.55833,2227500,3e-05
1996-01-12,7.55833,7.69999,7.53333,7.63334,4806000,3e-05
1996-01-15,7.63334,7.66667,7.54167,7.55166,2020500,3e-05
1996-01-16,7.55166,7.60167,7.5,7.52833,3082500,3e-05
1996-01-17,7.52833,7.56666,7.50333,7.52667,3078000,3e-05
1996-01-18,7.52667,7.49667,7.33333,7.43334,5148000,3e-05
1996-01-19,7.43334,7.45001,6.94167,7.11166,16128000,2e-05
1996-01-22,7.11166,7.16334,6.96834,7.06167,3946500,2e-05
1996-01-23,7.06167,7.12167,6.56667,6.625,7947000,2e-05
1996-01-24,6.625,6.71667,6.225,6.33834,15763500,2e-05
1996-01-25,6.33834,6.33333,6.21666,6.27333,8140500,2e-05
1996-01-29,6.27333,6.75834,6.25167,6.625,9639000,2e-05
1996-01-30,6.625,7.23166,6.66,7.03833,15669000,2e-05
1996-01-31,7.03833,6.975,6.69,6.77501,9598500,2e-05
1996-02-01,6.77501,7.30001,6.78333,7.19667,12573000,3e-05
1996-02-02,7.33167,8.16666,7.26666,8.02167,28179000,3e-05
1996-02-05,8.02167,8.83333,8.03334,8.43166,18873000,3e-05
1996-02-06,8.59999,8.665,8.11833,8.35167,14112000,3e-05
1996-02-07,8.23334,8.4,8.00334,8.22834,13968000,3e-05
1996-02-08,8.33334,9.09333,8.23334,9.09333,21955500,3e-05
1996-02-09,9.09333,9.595,9.10334,9.39333,12181500,3e-05
1996-02-12,9.51666,9.51666,9.0,9.09834,14436000,3e-05
1996-02-13,9.09834,9.43333,9.0,9.315,11718000,3e-05
1996-02-14,9.46667,9.88334,9.46667,9.60499,9598500,3e-05
1996-02-15,9.60499,9.96666,9.5,9.70001,16924500,3e-05
1996-02-16,9.46667,9.73334,9.23334,9.41166,12861000,3e-05
1996-02-19,9.41334,9.58333,9.40001,9.40833,5913000,3e-05
1996-02-20,9.5,9.5,8.80001,8.995,9823500,3e-05
1996-02-22,8.995,9.33166,9.19167,9.215,3231000,3e-05
1996-02-23,9.215,9.23334,8.97,9.09666,3168000,3e-05
1996-02-26,9.09666,9.33333,9.00333,9.11833,4230000,3e-05
1996-02-27,9.11833,9.21666,9.03333,9.09,4432500,3e-05
1996-02-28,9.09,9.32834,9.0,9.03834,3217500,3e-05
1996-02-29,9.03834,9.0,8.33501,8.46834,8167500,3e-05
1996-03-01,8.46834,8.7,8.405,8.61333,6880500,3e-05
1996-03-04,8.61333,8.75,8.53333,8.64834,6084000,3e-05
1996-03-06,8.64834,8.67,8.46666,8.63834,3960000,3e-05
1996-03-07,8.63834,8.73333,8.48501,8.53,4450500,3e-05
1996-03-08,8.53,8.43333,8.26666,8.405,5472000,3e-05
1996-03-11,8.405,8.36166,8.10167,8.175,4653000,3e-05
1996-03-12,8.175,8.16666,7.90167,7.93833,4117500,3e-05
1996-03-13,7.93833,8.59999,7.97,8.56833,8941500,3e-05
1996-03-14,8.59999,8.80001,8.435,8.51166,12537000,3e-05
1996-03-15,8.51166,8.56667,8.38334,8.41,13815000,3e-05
1996-03-18,7.96667,8.06,7.75,7.82166,17239500,3e-05
1996-03-19,7.73334,7.96667,7.50666,7.63334,15408000,3e-05
1996-03-21,7.69999,8.01666,7.69999,7.84833,10872000,3e-05
1996-03-22,7.84833,7.8,7.2,7.40334,21861000,3e-05
1996-03-25,7.16667,7.16667,6.70001,6.90333,55692000,2e-05
1996-03-26,6.77501,7.30001,6.76833,7.12667,34699500,2e-05
