Date,Open,High,Low,Close,Volume,Adj Close
2002-07-01,12.904,13.0,12.72,12.7992,406600,0.5688
2002-07-02,12.8,13.04,12.75,12.802,338000,0.569
2002-07-03,12.558,12.56,12.3,12.3412,69800,0.5485
2002-07-04,12.4,12.7,12.4,12.532,64500,0.557
2002-07-05,12.68,13.0,12.6,12.8932,313900,0.573
2002-07-08,12.5212,12.966,12.5212,12.886,91000,0.5727
2002-07-09,12.8,12.8,12.5,12.5592,25000,0.5582
2002-07-10,12.698,12.7392,12.44,12.4892,14500,0.5551
2002-07-11,12.5992,12.6,12.38,12.4212,285400,0.552
2002-07-12,12.57,12.58,12.364,12.388,70000,0.5506
2002-07-15,12.4,12.6,12.226,12.356,182200,0.5491
2002-07-16,12.5,12.592,12.396,12.502,41200,0.5556
2002-07-17,12.4032,12.48,12.2,12.2752,72400,0.5456
2002-07-18,12.58,12.58,12.22,12.3052,131900,0.5469
2002-07-19,12.29,12.4972,12.28,12.3972,159800,0.551
2002-07-22,12.42,12.42,12.2,12.3032,151400,0.5468
2002-07-23,12.4792,12.4792,12.2,12.2292,72900,0.5435
2002-07-24,12.2,12.278,12.12,12.1492,64700,0.54
2002-07-25,12.1,12.47,12.1,12.3312,265700,0.548
2002-07-26,12.438,12.438,12.0,12.03,239600,0.5347
2002-07-29,12.1,12.398,12.1,12.212,252400,0.5427
2002-07-30,12.3,12.37,12.2032,12.3172,119800,0.5474
2002-07-31,11.2,12.74,11.2,12.646,370800,0.562
2002-08-01,12.798,12.93,12.44,12.808,610500,0.5692
2002-08-02,11.622,12.798,11.622,12.5972,212400,0.5599
2002-08-05,12.442,12.53,12.3012,12.346,38600,0.5487
2002-08-06,12.38,12.48,12.3,12.364,56100,0.5495
2002-08-07,12.46,12.46,12.25,12.364,130700,0.5495
2002-08-08,12.2232,12.3,12.222,12.276,33500,0.5456
2002-08-09,12.24,12.6972,12.166,12.6072,340800,0.5603
2002-08-12,126.0,126.072,123.6,125.1,117900,5.5599
2002-08-13,126.0,126.6,122.452,123.792,64600,5.5018
2002-08-14,122.4,125.0,121.0,122.04,74800,5.4239
2002-08-16,123.44,124.332,122.06,123.312,118500,5.4804
2002-08-19,122.62,124.0,121.852,122.672,77800,5.452
2002-08-20,123.752,123.752,120.2,120.832,143200,5.3702
2002-08-21,121.0,122.6,119.42,120.0,200500,5.3332
2002-08-22,120.6,120.6,118.64,119.38,197000,5.3057
2002-08-23,119.0,119.712,117.04,117.572,200900,5.2253
2002-08-26,117.8,117.8,111.0,112.612,662100,5.0049
2002-08-27,112.2,117.0,112.2,114.112,565900,5.0716
2002-08-28,113.0,115.6,112.412,114.992,312500,5.1107
2002-08-29,115.48,115.48,114.012,114.952,418900,5.1089
2002-08-30,114.972,118.0,113.6,116.56,910400,5.1804
2002-09-02,117.4,120.18,117.4,119.212,172400,5.2982
2002-09-03,119.8,120.0,118.452,119.332,106800,5.3036
2002-09-04,118.6,119.56,117.612,119.092,66700,5.2929
2002-09-05,119.6,119.6,108.372,115.56,89900,5.1359
2002-09-06,115.5,118.012,115.44,117.74,368600,5.2328
2002-09-09,115.4,119.292,115.4,118.752,339800,5.2778
2002-09-11,119.98,119.98,116.3,116.972,242300,5.1987
2002-09-12,116.8,117.88,115.0,115.752,183800,5.1445
2002-09-13,116.0,117.78,116.0,117.092,58100,5.204
2002-09-16,116.4,119.0,116.4,118.932,320400,5.2858
2002-09-17,118.2,119.192,117.6,118.7,187400,5.2755
2002-09-18,117.412,119.46,117.4,118.96,187800,5.287
2002-09-19,118.12,119.2,117.812,118.76,307600,5.2781
2002-09-20,117.8,119.452,117.8,118.86,175200,5.2826
2002-09-23,118.6,118.8,113.0,118.02,388000,5.2452
2002-09-24,118.592,119.0,117.1,118.732,513800,5.2769
2002-09-25,116.0,118.2,115.6,117.732,330800,5.2324
2002-09-26,118.0,119.5,115.6,118.712,299300,5.276
2002-09-27,118.8,120.4,118.22,119.96,238900,5.3315
2002-09-30,119.6,120.3,118.452,119.78,303700,5.3235
2002-10-01,120.0,121.3,119.452,121.12,148200,5.383
2002-10-03,120.0,120.02,117.8,119.9,292600,5.3288
2002-10-04,119.98,123.0,119.98,121.952,363900,5.42
2002-10-07,120.132,122.6,120.132,122.332,87900,5.4369
2002-10-08,121.652,122.94,120.42,122.012,170700,5.4227
2002-10-09,121.6,123.02,121.6,122.492,256700,5.444
2002-10-10,121.64,122.38,121.592,121.68,225900,5.4079
2002-10-11,127.0,134.8,122.012,122.872,543200,5.4609
2002-10-14,124.0,125.82,122.5,123.44,107400,5.4861
2002-10-16,124.0,127.8,123.86,126.06,702500,5.6026
2002-10-17,126.4,127.752,122.22,123.84,1123500,5.5039
2002-10-18,125.58,126.0,123.0,123.532,267300,5.4902
2002-10-21,123.8,124.192,123.012,123.452,139500,5.4867
2002-10-22,125.0,127.4,123.42,126.82,468000,5.6364
2002-10-23,126.0,128.3,125.452,127.76,447000,5.6781
2002-10-24,125.8,128.0,121.8,126.24,471500,5.6106
2002-10-25,126.4,127.8,125.6,126.82,188000,5.6364
2002-10-28,127.0,127.1,125.6,126.192,164500,5.6084
2002-10-29,125.6,126.9,125.2,125.84,314500,5.5928
