Date,Open,High,Low,Close,Volume,Adj Close
2006-02-22,60.166,65.334,44.184,45.15,85711000,6.236
2006-02-23,46.284,46.284,42.25,43.6,31518000,6.022
2006-02-24,43.834,45.634,43.034,44.916,19464600,6.203
2006-02-27,45.084,45.084,43.434,43.634,5181700,6.026
2006-02-28,43.5,43.834,42.042,42.392,2499600,5.855
2006-03-01,42.45,43.116,41.666,42.558,3071600,5.878
2006-03-02,42.966,44.166,41.924,42.224,2268600,5.832
2006-03-03,42.334,42.484,41.508,42.108,1489700,5.816
2006-03-06,42.166,43.608,41.684,42.958,1961700,5.933
2006-03-07,43.166,43.216,41.916,42.616,1105700,5.886
2006-03-08,42.75,43.966,41.5,43.058,2570900,5.947
2006-03-09,43.334,48.274,43.15,47.534,12336700,6.565
2006-03-10,48.334,48.834,45.608,45.958,2794100,6.347
2006-03-13,45.834,46.0,44.208,44.384,893400,6.13
2006-03-14,44.584,44.874,43.5,43.716,469500,6.038
2006-03-16,43.834,44.75,43.166,43.416,737400,5.996
2006-03-17,43.342,44.0,43.166,43.234,405800,5.971
2006-03-20,42.5,45.234,42.442,43.784,1638300,6.047
2006-03-21,43.5,45.15,43.5,44.574,797200,6.156
2006-03-22,44.0,49.116,44.0,48.516,7442100,6.701
2006-03-23,48.716,50.716,47.166,50.042,9210200,6.911
2006-03-24,50.0,50.766,47.784,50.016,3557000,6.908
2006-03-27,50.084,53.5,49.008,52.392,2971000,7.236
2006-03-28,53.166,53.166,47.55,48.7,1677600,6.726
2006-03-29,48.566,50.834,48.1,49.058,1472600,6.775
2006-03-30,49.234,49.584,48.016,48.474,760300,6.695
2006-03-31,48.834,50.0,48.334,49.074,703000,6.778
2006-04-03,49.166,49.616,48.116,48.616,583200,6.714
2006-04-04,48.834,48.942,48.0,48.25,269000,6.664
2006-04-05,48.166,49.166,48.166,48.824,171900,6.743
2006-04-07,49.0,49.666,47.442,47.974,238300,6.626
2006-04-10,48.484,48.484,47.334,47.524,127900,6.564
2006-04-12,47.666,48.334,47.0,47.834,235700,6.606
2006-04-13,47.334,47.834,45.0,45.708,289600,6.313
2006-04-17,45.834,46.966,45.5,46.408,92100,6.409
2006-04-18,47.5,48.666,45.874,46.574,353500,6.432
2006-04-19,46.566,48.666,46.566,47.516,435700,6.562
2006-04-20,47.5,52.484,47.5,51.466,2794100,7.108
2006-04-21,51.666,51.666,49.7,50.516,613800,6.977
2006-04-24,50.484,50.484,49.174,49.916,273100,6.894
2006-04-25,50.0,51.908,48.75,49.708,408500,6.865
2006-04-26,50.0,50.75,49.5,49.824,180400,6.881
2006-04-27,50.334,51.834,50.0,50.35,490300,6.954
2006-04-28,41.666,49.666,41.666,49.234,345500,6.8
2006-05-02,48.25,49.5,47.666,49.158,1878200,6.789
2006-05-03,48.334,50.8,48.334,49.192,549000,6.794
2006-05-04,50.666,50.666,48.834,49.184,158900,6.793
2006-05-05,49.666,50.0,49.166,49.366,236900,6.818
2006-05-08,49.334,53.066,49.334,49.666,170900,6.859
2006-05-09,49.334,49.916,49.174,49.35,160400,6.816
2006-05-10,49.624,49.834,49.334,49.508,248200,6.838
2006-05-11,49.816,50.0,49.166,49.5,110000,6.836
2006-05-12,48.334,49.834,48.334,49.174,169700,6.791
2006-05-15,48.666,49.666,48.666,49.2,173500,6.795
2006-05-16,47.834,50.166,47.834,49.708,659600,6.865
2006-05-17,49.416,50.416,49.166,49.342,433500,6.815
2006-05-18,49.184,49.666,49.008,49.174,156000,6.791
2006-05-19,49.834,50.0,41.666,45.358,235000,6.264
2006-05-22,44.166,45.75,42.5,43.408,103600,5.995
2006-05-23,40.5,44.166,40.5,43.708,33100,6.036
2006-05-24,48.666,49.0,43.35,44.084,29400,6.088
2006-05-25,43.666,44.124,42.734,43.1,29200,5.953
2006-05-26,44.834,44.834,42.342,43.424,32800,5.997
2006-05-29,44.166,44.334,43.0,43.284,21700,5.978
2006-05-30,43.5,43.966,42.5,42.916,23100,5.927
2006-05-31,42.0,42.5,41.666,42.108,20300,5.816
2006-06-01,41.666,42.666,40.0,40.292,28500,5.565
2006-06-02,37.916,40.834,37.834,39.466,60400,5.451
2006-06-05,39.25,42.5,39.25,39.992,267600,5.523
2006-06-06,37.334,38.834,37.25,38.024,170500,5.251
2006-06-07,38.016,38.016,32.5,33.892,212400,4.681
2006-06-08,32.5,32.5,29.0,30.392,95000,4.197
2006-06-09,30.0,32.934,28.834,32.208,190800,4.448
2006-06-12,30.834,35.334,30.0,32.516,39100,4.491
2006-06-13,30.0,32.542,30.0,30.184,29300,4.169
2006-06-14,31.224,32.242,28.666,28.942,30600,3.997
2006-06-15,27.5,31.958,26.4,30.574,119000,4.223
2006-06-16,31.65,33.0,31.542,31.974,334900,4.416
2006-06-19,32.0,32.166,31.166,31.566,11300,4.36
2006-06-20,31.666,31.666,30.834,31.274,29300,4.319
2006-06-21,31.374,32.5,31.184,32.234,89300,4.452
2006-06-22,32.466,34.466,32.466,33.534,982000,4.631
2006-06-23,33.666,34.5,32.666,34.25,31100,4.73
2006-06-26,33.558,34.258,32.774,33.0,40000,4.558
2006-06-27,33.334,33.334,31.834,32.624,23600,4.506
2006-06-28,30.166,33.666,30.166,33.384,14200,4.611
2006-06-29,34.084,34.084,33.334,34.008,21300,4.697
2006-06-30,34.166,34.666,33.908,34.442,33400,4.757
2006-07-03,34.166,34.666,33.334,33.658,31200,4.648
2006-07-04,33.5,34.166,32.35,32.666,22700,4.511
2006-07-05,32.416,33.0,32.416,32.75,11800,4.523
2006-07-06,32.516,33.658,32.516,33.208,30200,4.586
2006-07-07,33.666,33.834,32.916,33.266,46800,4.594
2006-07-10,31.642,33.334,31.35,32.95,12300,4.551
2006-07-11,32.65,33.75,32.65,33.6,34600,4.64
2006-07-12,33.316,33.708,32.334,33.558,34800,4.635
2006-07-13,33.0,33.666,33.0,33.474,9400,4.623
2006-07-14,32.834,35.916,31.95,34.934,35900,4.825
2006-07-17,33.834,34.934,33.75,34.508,29700,4.766
2006-07-18,33.55,34.484,33.542,34.174,39600,4.72
2006-07-19,37.5,40.666,37.174,39.392,809000,5.44
2006-07-20,40.784,40.784,36.192,37.234,654200,5.142
2006-07-21,37.666,37.666,35.108,35.45,126500,4.896
2006-07-24,34.334,36.834,33.966,36.184,74000,4.997
2006-07-25,35.834,36.974,35.834,36.384,43500,5.025
2006-07-26,35.534,38.0,35.334,37.392,73200,5.164
2006-07-27,38.642,39.334,36.75,38.842,175700,5.364
2006-07-28,38.5,39.834,37.766,38.866,108200,5.368
2006-07-31,40.0,46.642,39.166,46.642,1652500,6.442
2006-08-01,46.666,49.816,45.174,48.708,5093900,6.727
2006-08-02,47.834,54.666,47.334,51.984,8486200,7.179
2006-08-03,52.166,53.166,45.85,46.574,4695300,6.432
2006-08-04,46.666,53.084,45.334,51.55,19228100,7.12
2006-08-07,52.642,54.334,50.716,51.758,9799900,7.148
2006-08-08,51.558,52.166,50.05,50.774,4484000,7.012
2006-08-09,51.334,51.65,50.084,50.608,2244400,6.989
2006-08-10,50.716,51.916,50.166,50.466,1169200,6.97
2006-08-11,49.666,51.5,49.034,49.324,908000,6.812
2006-08-14,49.966,50.25,47.5,48.558,785500,6.706
2006-08-16,49.134,51.334,48.608,49.858,1706200,6.886
2006-08-17,50.084,52.334,49.508,51.142,3307300,7.063
2006-08-18,51.666,52.95,51.184,52.066,1994100,7.191
2006-08-21,52.166,54.108,51.25,53.142,2037400,7.339
2006-08-22,53.334,54.074,51.034,51.85,2121400,7.161
2006-08-23,51.65,52.75,50.5,50.9,986100,7.03
2006-08-24,50.816,51.658,50.608,51.234,564500,7.076
2006-08-25,51.334,52.5,51.0,51.158,663900,7.065
2006-08-28,51.366,52.15,50.758,50.984,355100,7.041
2006-08-29,51.334,51.866,50.334,50.584,339100,6.986
2006-08-30,51.092,51.258,49.366,49.884,292800,6.889
2006-08-31,50.5,50.734,47.858,48.324,314400,6.674
2006-09-01,48.616,49.3,48.024,48.192,203000,6.656
2006-09-04,48.424,49.9,48.424,49.116,371000,6.783
2006-09-05,49.334,50.484,49.334,49.758,335800,6.872
2006-09-06,50.166,50.784,49.55,49.684,169700,6.862
2006-09-07,49.5,50.058,48.5,48.7,107300,6.726
2006-09-08,48.834,49.142,48.316,48.45,93900,6.691
2006-09-11,48.508,48.958,45.85,46.766,78200,6.459
2006-09-12,47.774,47.774,46.0,46.874,88600,6.474
2006-09-13,47.774,51.308,47.5,50.624,678600,6.992
2006-09-14,51.666,52.0,49.224,49.466,227100,6.832
2006-09-15,50.116,51.6,49.334,50.842,530900,7.022
