Date,Open,High,Low,Close,Volume,Adj Close
2006-01-04,270.0,309.4,270.0,294.95,13493300,279.08
2006-01-05,297.0,299.5,280.25,282.6,2561700,267.39
2006-01-06,282.9,283.85,271.05,275.45,1458600,260.63
2006-01-09,275.2,282.4,272.55,280.0,768100,264.93
2006-01-10,281.1,290.0,278.25,280.1,703700,265.03
2006-01-12,274.0,285.5,274.0,279.0,314800,263.99
2006-01-13,280.0,285.1,272.0,274.3,243500,259.54
2006-01-16,273.6,280.8,271.05,273.35,215200,258.64
2006-01-17,274.9,276.9,264.15,265.3,145000,251.02
2006-01-18,262.0,270.0,256.0,264.65,124600,250.41
2006-01-19,269.8,272.8,265.15,271.2,107300,256.61
2006-01-20,274.9,283.9,270.0,272.55,289100,257.88
2006-01-23,272.0,288.95,270.15,284.45,398100,269.14
2006-01-24,283.8,303.0,282.25,291.35,916600,275.67
2006-01-25,294.8,299.9,289.0,297.25,355000,281.25
2006-01-27,301.0,307.9,289.0,291.95,617500,276.24
2006-01-30,295.0,296.0,282.0,287.25,108900,271.79
2006-01-31,289.4,293.95,275.45,280.75,330400,265.64
2006-02-01,282.0,284.0,265.0,266.9,117300,252.54
2006-02-02,269.8,273.3,251.25,255.95,216000,242.18
2006-02-03,260.9,260.9,252.5,255.2,79200,241.47
2006-02-06,252.1,265.0,252.1,258.65,84200,244.73
2006-02-07,259.25,263.1,257.0,261.2,48300,247.14
2006-02-08,260.1,267.9,255.5,266.0,146100,251.69
2006-02-10,270.0,278.0,266.5,270.05,84800,255.52
2006-02-13,275.5,294.4,267.5,288.45,340600,272.93
2006-02-14,293.0,299.9,266.8,292.15,306900,276.43
2006-02-15,295.0,295.0,282.1,289.3,88100,273.73
2006-02-16,273.1,291.5,273.1,286.45,59200,271.04
2006-02-17,289.0,306.25,280.1,300.0,743500,283.86
2006-02-20,303.0,303.8,284.05,292.6,297500,276.85
2006-02-21,293.0,296.0,288.0,292.3,112000,276.57
2006-02-22,294.8,299.85,280.45,284.7,217200,269.38
2006-02-23,287.45,288.0,275.15,281.05,104300,265.93
2006-02-24,283.75,289.0,280.0,285.25,80900,269.9
2006-02-27,280.1,291.0,280.1,288.95,35900,273.4
2006-02-28,289.9,289.9,278.0,279.45,71300,264.41
2006-03-01,283.75,284.45,281.0,282.55,43100,267.34
2006-03-02,286.9,288.0,282.0,285.15,72200,269.81
2006-03-03,289.7,289.7,282.0,283.7,20300,268.43
2006-03-06,287.95,287.95,280.0,284.95,61700,269.62
2006-03-07,286.8,296.8,283.25,290.05,58700,274.44
2006-03-08,289.0,292.0,280.25,284.4,36200,269.1
2006-03-09,286.8,287.0,277.15,284.6,32200,269.28
2006-03-10,286.0,288.9,284.2,287.15,19400,271.7
2006-03-13,288.0,288.8,280.0,281.1,7800,265.97
2006-03-14,280.0,301.9,280.0,290.45,82400,274.82
2006-03-16,295.0,295.0,285.6,289.1,17400,273.54
2006-03-17,295.0,295.0,286.0,290.5,24800,274.87
2006-03-20,294.9,294.9,287.2,290.5,25700,274.87
2006-03-21,294.9,298.4,289.0,290.85,34100,275.2
2006-03-22,290.0,296.9,288.1,291.9,28500,276.19
2006-03-23,290.5,294.0,288.05,290.0,10100,274.39
2006-03-24,290.0,293.0,289.0,290.0,13800,274.39
2006-03-27,286.2,299.0,286.2,291.8,22200,276.1
2006-03-28,292.95,295.0,280.0,284.05,23100,268.76
2006-03-29,286.0,295.0,283.05,288.25,18200,272.74
2006-03-30,290.9,295.0,286.1,293.15,15600,277.37
2006-03-31,298.0,344.4,293.0,308.1,304000,291.52
2006-04-03,312.0,333.9,309.0,328.1,250900,310.44
2006-04-04,332.0,335.3,311.2,314.9,103200,297.95
2006-04-05,317.7,326.0,314.3,316.95,48600,299.89
2006-04-07,316.6,331.85,316.5,325.7,108000,308.17
2006-04-10,325.0,331.0,313.0,314.95,65100,298.0
2006-04-12,318.8,335.0,306.3,309.6,88100,292.94
2006-04-13,309.0,318.0,303.0,314.25,60600,297.34
2006-04-17,318.95,325.0,308.0,314.0,98300,297.1
2006-04-18,313.95,318.7,313.0,315.2,29500,298.24
2006-04-19,317.9,318.0,303.0,306.0,31200,289.53
2006-04-20,306.0,317.0,305.2,314.9,25300,297.95
2006-04-21,322.0,322.0,309.0,310.6,8600,293.89
2006-04-24,323.5,329.95,307.0,310.05,17800,293.37
2006-04-25,319.0,320.0,308.5,310.0,31500,293.32
2006-04-26,314.9,314.9,305.0,308.85,10700,292.23
