Date,Open,High,Low,Close,Volume,Adj Close
2007-01-10,100.2,139.4,100.2,120.45,8740600,120.45
2007-01-11,122.0,139.75,121.05,127.2,6078100,127.2
2007-01-12,129.0,130.0,120.4,123.4,3983200,123.4
2007-01-15,122.25,124.3,119.35,120.75,2427200,120.75
2007-01-16,120.9,121.9,117.0,118.65,2496400,118.65
2007-01-17,118.7,118.7,111.05,112.75,1331500,112.75
2007-01-18,112.5,130.0,112.4,125.1,4661200,125.1
2007-01-19,126.3,131.25,120.15,123.1,3900900,123.1
2007-01-22,123.6,125.0,120.0,120.85,878700,120.85
2007-01-23,120.5,128.8,120.5,125.05,1289700,125.05
2007-01-24,126.25,126.75,120.65,121.9,602000,121.9
2007-01-25,122.2,124.9,115.0,117.45,1880500,117.45
2007-01-29,119.7,121.25,116.7,117.35,827900,117.35
2007-01-31,117.8,126.45,114.0,123.05,2732500,123.05
2007-02-01,123.35,127.4,118.3,119.5,1645400,119.5
2007-02-02,120.4,121.2,115.1,115.8,1529800,115.8
2007-02-05,116.4,119.35,114.0,114.25,848500,114.25
2007-02-06,114.7,117.65,114.5,115.55,877600,115.55
2007-02-07,116.15,118.5,114.9,116.9,1770900,116.9
2007-02-08,117.3,121.85,114.9,120.4,2454800,120.4
2007-02-09,121.8,121.8,114.75,116.05,1399500,116.05
2007-02-12,115.1,118.0,112.15,115.65,1725500,115.65
2007-02-13,113.05,123.8,113.05,114.55,2975600,114.55
2007-02-14,114.0,114.4,109.0,109.65,981400,109.65
2007-02-15,111.5,113.9,111.0,113.0,422400,113.0
2007-02-19,113.55,117.8,113.0,115.35,722800,115.35
2007-02-20,116.7,117.8,110.0,110.55,784900,110.55
2007-02-21,110.5,112.65,110.0,111.45,929900,111.45
2007-02-22,112.6,112.6,103.25,104.85,669800,104.85
2007-02-23,105.45,108.9,104.5,107.1,808100,107.1
2007-02-26,108.0,109.5,105.5,108.85,369300,108.85
2007-02-27,110.0,110.25,107.5,109.55,283900,109.55
2007-02-28,104.0,106.0,92.5,103.0,620900,103.0
2007-03-01,102.05,104.7,98.3,99.95,507300,99.95
2007-03-02,100.0,100.5,95.0,95.75,509100,95.75
2007-03-05,94.0,94.0,85.25,86.8,571300,86.8
2007-03-06,92.0,100.0,88.5,94.6,843300,94.6
2007-03-07,95.6,99.7,93.25,95.15,1170400,95.15
2007-03-08,96.0,96.0,90.0,93.8,203600,93.8
2007-03-09,94.0,96.2,92.5,93.65,122900,93.65
2007-03-12,93.0,94.9,92.95,94.0,98400,94.0
2007-03-13,94.7,98.4,93.5,95.9,303600,95.9
2007-03-14,93.5,95.0,90.0,92.0,346800,92.0
2007-03-15,94.1,109.9,92.75,94.95,1476100,94.95
2007-03-16,95.8,96.0,88.3,90.0,1638000,90.0
