Date,Open,High,Low,Close,Volume,Adj Close
2006-12-28,531.845,542.74,501.825,508.77,5854300,101.754
2006-12-29,497.534,518.12,493.2445,494.7885,1584200,98.9577
2007-01-02,506.11,506.11,487.24,497.7485,1356900,99.5497
2007-01-03,497.5765,544.715,497.5765,532.79,4962500,106.558
2007-01-04,532.705,538.71,521.34,531.59,2596700,106.318
2007-01-05,531.89,549.005,527.555,531.375,1851200,106.275
2007-01-08,530.13,532.62,518.98,523.91,607900,104.782
2007-01-09,531.845,534.335,501.91,516.105,658000,103.221
2007-01-10,526.7,526.7,508.0,514.09,438300,102.818
2007-01-11,512.975,527.555,511.26,521.68,382300,104.336
2007-01-12,526.915,531.845,524.985,527.945,429500,105.589
2007-01-15,539.44,570.45,536.565,558.14,2248700,111.628
2007-01-16,587.605,587.605,540.425,562.3,758300,112.46
2007-01-17,566.16,585.03,534.075,542.14,1583000,108.428
2007-01-18,536.995,557.365,536.135,545.4,655700,109.08
2007-01-19,536.135,553.29,531.93,538.45,301300,107.69
2007-01-22,535.28,543.855,527.555,533.22,172500,106.644
2007-01-23,534.035,557.58,533.56,548.36,496600,109.672
2007-01-24,597.9,597.9,543.085,546.945,218500,109.389
2007-01-25,553.68,570.45,548.145,557.71,468000,111.542
2007-01-29,553.38,568.56,523.27,554.835,507600,110.967
2007-01-31,560.155,560.155,495.3895,531.845,468000,106.369
2007-02-01,540.425,549.86,534.42,546.985,264000,109.397
2007-02-02,542.14,551.575,530.13,533.735,751900,106.747
2007-02-05,555.865,555.865,528.415,533.95,266900,106.79
2007-02-06,555.01,557.58,533.56,548.83,884200,109.766
2007-02-07,537.85,553.25,535.28,540.98,292000,108.196
2007-02-08,364.572,445.0355,364.572,433.9695,107126900,86.7939
2007-02-09,441.7755,458.0315,413.039,421.0165,25335400,84.2033
2007-02-12,416.041,447.609,365.9445,423.3325,35991400,84.6665
2007-02-13,428.9085,450.354,403.2595,435.5565,18963300,87.1113
2007-02-14,443.4915,445.893,423.933,429.6375,8168100,85.9275
2007-02-15,421.317,515.59,350.118,515.59,20743000,103.118
2007-02-19,552.435,612.825,536.605,551.105,35819800,110.221
2007-02-20,561.87,586.62,537.42,569.12,27787900,113.824
2007-02-21,583.315,617.845,564.445,601.975,35831700,120.395
2007-02-22,615.915,620.89,583.445,595.41,21893000,119.082
2007-02-23,596.185,596.185,535.88,540.34,12286800,108.068
2007-02-26,540.425,540.425,487.4975,516.235,13918000,103.247
2007-02-27,519.28,537.765,503.54,521.725,15187100,104.345
2007-02-28,473.515,522.37,470.0405,498.8205,9435100,99.7641
2007-03-01,501.825,516.405,453.013,493.545,10838400,98.709
2007-03-02,488.9985,501.825,460.09,471.2845,9880300,94.2569
2007-03-05,462.3635,462.3635,424.1905,428.8655,5505600,85.7731
2007-03-06,434.0555,467.51,418.1855,438.7735,10236500,87.7547
2007-03-07,450.354,454.643,413.9395,424.4905,4134100,84.8981
2007-03-08,429.766,449.496,405.576,442.848,4921900,88.5696
2007-03-09,451.812,451.812,422.9035,435.256,3092600,87.0512
2007-03-12,435.342,478.7905,426.335,475.2305,8442300,95.0461
2007-03-13,487.154,520.01,473.6865,511.385,12092100,102.277
2007-03-14,497.2765,501.65,466.9095,475.831,7669500,95.1662
2007-03-15,482.908,510.23,476.217,483.337,6692000,96.6674
2007-03-16,485.5245,498.177,461.334,471.928,4495700,94.3856
2007-03-19,477.375,490.2425,476.0885,481.021,2121400,96.2042
2007-03-20,486.1675,493.073,476.7315,478.7905,1516900,95.7581
2007-03-21,482.7365,482.7365,463.8215,467.982,1083800,93.5964
