Date,Open,High,Low,Close,Volume,Adj Close
1996-01-01,10.7625,11.0,10.7625,10.925,44000,0.00011
1996-01-02,10.925,11.0262,10.825,10.9012,34000,0.00011
1996-01-03,10.9012,11.0,10.9,11.0,16000,0.00012
1996-01-04,10.75,10.875,10.75,10.75,24000,0.00011
1996-01-05,10.5,10.75,10.5,10.6875,10000,0.00011
1996-01-08,10.625,10.625,10.4,10.4,10000,0.00011
1996-01-09,10.4288,10.4375,10.4012,10.4012,24000,0.00011
1996-01-10,10.425,10.425,10.425,10.425,2000,0.00011
1996-01-11,10.275,10.2825,10.275,10.2825,4000,0.00011
1996-01-12,10.2825,10.3275,10.25,10.2513,38000,0.00011
1996-01-15,10.2513,10.3438,10.2875,10.2887,12000,0.00011
1996-01-16,10.1287,10.1538,10.1287,10.1538,6000,0.00011
1996-01-17,10.0638,10.0763,10.0638,10.0763,10000,0.00011
1996-01-18,9.875,9.95,9.6375,9.6375,10000,0.0001
1996-01-22,9.6375,9.875,9.625,9.8325,16000,0.0001
1996-01-23,9.8325,9.85,9.77625,9.77625,8000,0.0001
1996-01-24,9.75,9.875,9.75,9.825,12000,0.0001
1996-01-25,9.75,9.825,9.75,9.775,16000,0.0001
1996-01-29,9.775,9.675,9.55,9.55,14000,0.0001
1996-01-30,9.55,9.875,9.62625,9.62625,6000,0.0001
1996-02-01,9.875,9.875,9.625,9.625,4000,0.0001
1996-02-02,9.625,9.7,9.625,9.7,14000,0.0001
1996-02-05,9.8125,9.8125,9.75,9.75,4000,0.0001
1996-02-06,9.75,9.8125,9.675,9.8125,12000,0.0001
1996-02-07,9.75125,9.75125,9.75,9.75,8000,0.0001
1996-02-09,9.75,10.125,9.7,9.7,46000,0.0001
1996-02-12,9.7,9.75,9.75,9.75,2000,0.0001
1996-02-13,9.75,9.75,9.625,9.625,12000,0.0001
1996-02-14,9.5,10.0,9.5,10.0,12000,0.00011
1996-02-15,10.0,10.125,10.0,10.0,34000,0.00011
1996-02-16,10.0,10.15,10.05,10.05,46000,0.00011
1996-02-19,10.05,9.875,9.8,9.85,14000,0.0001
1996-02-20,9.85,9.975,9.625,9.6875,24000,0.0001
1996-02-22,9.75,9.875,9.75,9.875,18000,0.0001
1996-02-26,9.875,10.0,9.875,10.0,22000,0.00011
1996-02-27,10.0,10.125,10.0,10.1,14000,0.00011
1996-02-28,9.875,9.875,9.75,9.78875,78000,0.0001
1996-02-29,9.75,9.75,9.625,9.625,4000,0.0001
1996-03-04,9.625,9.775,9.775,9.775,4000,0.0001
1996-03-07,9.775,9.75,9.6,9.675,10000,0.0001
1996-03-08,9.675,9.75,9.73125,9.75,8000,0.0001
1996-03-11,9.675,9.675,9.625,9.625,20000,0.0001
1996-03-12,9.625,9.625,9.25,9.375,20000,0.0001
1996-03-14,9.375,9.5,9.375,9.425,18000,0.0001
1996-03-18,9.25,9.25,9.125,9.125,4000,0.0001
1996-03-19,9.0425,9.1325,9.0425,9.125,30000,0.0001
1996-03-21,9.25,9.25,9.225,9.225,6000,0.0001
1996-03-22,9.27875,9.625,9.2775,9.5,54000,0.0001
1996-03-25,9.5,9.875,9.62625,9.78125,12000,0.0001
1996-03-26,9.78125,9.9,9.8,9.83,22000,0.0001
1996-03-27,9.75,9.75,9.75,9.75,2000,0.0001
1996-03-28,9.75,9.75,9.75,9.75,4000,0.0001
1996-03-29,9.8375,10.0,9.8375,9.925,14000,0.0001
1996-04-01,9.925,10.125,9.925,10.125,30000,0.00011
1996-04-02,10.125,10.05,9.99875,10.035,20000,0.00011
1996-04-03,9.9,10.0,9.9,9.93375,8000,0.0001
1996-04-08,9.93375,9.90625,9.625,9.85,20000,0.0001
1996-04-09,9.85,9.875,9.775,9.8,46000,0.0001
1996-04-10,9.8,9.8725,9.7,9.83625,8000,0.0001
1996-04-11,9.83625,9.85,9.85,9.85,2000,0.0001
1996-04-12,9.775,10.05,9.725,9.88875,22000,0.0001
1996-04-15,9.88875,10.05,9.95,10.05,22000,0.00011
1996-04-16,10.05,10.025,9.99875,10.0,14000,0.00011
1996-04-17,10.15,10.75,10.15,10.75,264000,0.00011
1996-04-18,10.75,10.775,10.625,10.675,18000,0.00011
1996-04-19,10.675,11.125,10.5763,10.625,40000,0.00011
1996-04-22,10.625,10.6125,10.45,10.6125,42000,0.00011
1996-04-23,10.425,10.45,10.325,10.3638,54000,0.00011
1996-04-24,10.5,10.5,10.5,10.5,4000,0.00011
1996-04-25,10.5,10.575,10.125,10.1375,32000,0.00011
1996-04-26,10.1375,10.25,10.075,10.1938,24000,0.00011
1996-04-30,10.1938,10.1438,10.0,10.095,40000,0.00011
1996-05-01,10.095,10.05,10.0,10.025,20000,0.00011
1996-05-02,10.025,10.025,9.99875,10.0,14000,0.00011
1996-05-03,10.0,10.0,9.8875,9.90625,12000,0.0001
1996-05-06,9.90625,10.0,9.87625,9.9025,22000,0.0001
1996-05-07,9.9025,10.0,9.775,9.85125,32000,0.0001
1996-05-08,9.85125,9.8125,9.8125,9.8125,2000,0.0001
1996-05-09,9.8125,9.95,9.875,9.95,6000,0.0001
1996-05-10,9.65,9.875,9.65,9.8475,24000,0.0001
1996-05-13,9.925,9.9625,9.925,9.95,24000,0.0001
1996-05-14,9.95,9.975,9.93875,9.96375,22000,0.0001
1996-05-16,10.125,10.125,9.9625,9.9625,12000,0.0001
1996-05-17,9.95,9.95,9.95,9.95,4000,0.0001
1996-05-20,9.95,9.69375,9.625,9.625,6000,0.0001
1996-05-21,9.5625,9.575,9.5,9.5,22000,0.0001
1996-05-23,9.625,9.625,9.625,9.625,4000,0.0001
1996-05-27,9.5,9.625,9.5,9.60625,18000,0.0001
1996-05-28,9.60625,9.5,9.25,9.5,14000,0.0001
1996-05-31,9.5,9.5,9.5,9.5,16000,0.0001
1996-06-04,9.5,9.5,9.5,9.5,2000,0.0001
1996-06-05,9.3375,9.4875,9.3375,9.34,10000,0.0001
1996-06-06,9.525,9.55,9.525,9.55,6000,0.0001
1996-06-07,9.475,9.475,9.475,9.475,4000,0.0001
1996-06-10,9.2525,9.2525,9.2525,9.2525,2000,0.0001
1996-06-11,9.225,9.225,9.225,9.225,4000,0.0001
1996-06-12,9.0,9.0,9.0,9.0,2000,9e-05
1996-06-13,9.875,9.875,8.125,8.125,142000,9e-05
1996-06-14,8.375,8.7,8.375,8.575,96000,9e-05
1996-06-17,8.5,8.8,8.375,8.74125,78000,9e-05
1996-06-18,8.75,8.9725,8.625,8.89125,72000,9e-05
1996-06-19,8.875,9.35,8.75,9.215,58000,0.0001
1996-06-20,9.35,9.62125,9.0,9.23625,134000,0.0001
1996-06-21,9.625,9.95,9.625,9.84,48000,0.0001
1996-06-24,9.92375,10.225,9.425,10.17,114000,0.00011
1996-06-25,10.475,10.475,10.1263,10.385,148000,0.00011
1996-06-26,9.525,10.125,9.525,9.93625,20000,0.0001
1996-06-27,9.63125,9.9975,9.63125,9.90125,42000,0.0001
1996-06-28,10.0,10.0475,9.92375,10.0475,14000,0.00011
1996-07-01,10.025,10.125,9.95,10.0162,62000,0.00011
1996-07-02,10.1,10.175,9.95,10.0625,108000,0.00011
1996-07-03,9.8775,9.8775,9.8775,9.8775,2000,0.0001
1996-07-04,9.75,10.0,9.75,9.925,20000,0.0001
1996-07-05,9.925,10.375,9.925,10.355,82000,0.00011
1996-07-08,10.2,10.5,10.2,10.415,50000,0.00011
1996-07-09,10.375,10.525,10.15,10.25,56000,0.00011
1996-07-10,9.525,9.875,9.49375,9.875,32000,0.0001
1996-07-11,9.87625,9.87625,9.87625,9.87625,4000,0.0001
1996-07-12,9.8,9.8,9.8,9.8,4000,0.0001
1996-07-15,9.825,9.925,9.825,9.8375,18000,0.0001
1996-07-16,9.75625,10.0,9.75625,10.0,14000,0.00011
1996-07-17,9.95,9.95,9.95,9.95,2000,0.0001
1996-07-18,9.875,9.875,9.85,9.875,14000,0.0001
1996-07-19,9.8,10.175,9.8,10.0688,46000,0.00011
1996-07-22,10.025,10.175,10.025,10.0975,16000,0.00011
1996-07-23,10.175,10.1875,10.0,10.0487,58000,0.00011
1996-07-24,10.0,10.0,9.55,9.55,6000,0.0001
1996-07-25,9.625,9.75,9.55125,9.56875,22000,0.0001
1996-07-26,9.375,9.375,8.75,8.8,18000,9e-05
1996-07-29,8.7,8.7,8.0,8.0425,30000,8e-05
1996-07-30,8.0625,8.0625,7.75,7.7825,34000,8e-05
1996-07-31,7.925,8.5,7.925,8.5,20000,9e-05
1996-08-01,8.475,8.8,8.475,8.525,32000,9e-05
