Date,Open,High,Low,Close,Volume,Adj Close
2002-11-29,11.0,11.0,9.0,10.15,2061000,5.97
2002-12-02,10.3,11.0,10.3,10.95,1110100,6.44
2002-12-03,11.0,11.15,10.8,10.8,527000,6.35
2002-12-04,10.8,11.0,10.6,10.95,233500,6.44
2002-12-05,11.0,11.0,10.85,11.0,291200,6.47
2002-12-06,11.1,11.3,10.9,11.2,487400,6.58
2002-12-09,11.45,11.75,11.35,11.45,535000,6.73
2002-12-10,11.4,11.6,11.4,11.5,301700,6.76
2002-12-11,11.6,11.75,11.55,11.7,382200,6.88
2002-12-12,12.0,12.25,11.85,12.0,546700,7.05
2002-12-13,12.25,12.4,12.05,12.3,635400,7.23
2002-12-16,12.55,13.1,12.5,12.65,1052300,7.44
2002-12-17,12.8,12.9,12.2,12.4,541300,7.29
2002-12-18,12.85,13.1,12.7,12.85,657000,7.55
2002-12-19,12.9,13.2,12.6,12.75,991600,7.5
2002-12-20,12.5,13.1,12.3,12.85,334700,7.55
2002-12-23,13.05,13.05,12.65,12.75,272400,7.5
2002-12-24,12.9,12.9,12.6,12.75,418700,7.5
2002-12-26,12.9,13.0,12.75,12.8,265100,7.52
2002-12-27,12.95,13.0,12.75,12.8,471800,7.52
2002-12-30,12.5,12.95,12.5,12.7,235300,7.47
2002-12-31,12.7,12.75,12.55,12.6,225600,7.41
2003-01-01,12.8,12.8,12.45,12.5,183900,7.35
2003-01-02,12.75,12.75,12.5,12.55,159500,7.38
2003-01-03,12.55,12.6,12.4,12.4,205000,7.29
2003-01-06,12.4,12.5,12.05,12.05,219600,7.08
2003-01-07,12.15,12.2,11.95,12.05,245200,7.08
2003-01-08,12.2,12.2,12.05,12.05,137600,7.08
2003-01-09,12.05,12.45,12.0,12.35,355500,7.26
2003-01-10,12.45,12.8,12.3,12.45,518400,7.32
2003-01-13,12.5,12.65,12.3,12.55,438700,7.38
2003-01-14,12.7,13.0,12.5,12.9,640800,7.58
2003-01-15,13.1,13.45,13.1,13.3,891600,7.82
2003-01-16,13.75,14.55,13.5,14.35,2389300,8.44
2003-01-17,14.55,14.7,13.9,14.45,1201600,8.49
2003-01-20,14.35,15.4,14.15,15.2,1702700,8.94
2003-01-21,15.85,16.9,15.75,16.7,2945400,9.82
2003-01-22,17.8,18.75,16.85,17.0,3027700,9.99
2003-01-23,17.3,17.5,16.25,16.7,1522100,9.82
2003-01-24,16.85,16.9,15.25,15.45,1152400,9.08
2003-01-27,14.5,15.25,13.8,14.15,1141500,8.32
2003-01-28,14.5,15.35,14.2,15.2,1015600,8.94
2003-01-29,15.5,15.9,15.05,15.3,728400,8.99
2003-01-30,15.5,17.4,15.5,15.85,1275200,9.32
2003-01-31,15.6,16.0,15.45,15.55,644700,9.14
2003-02-03,15.85,16.05,15.6,15.85,564700,9.32
2003-02-04,16.0,16.25,15.75,15.85,627700,9.32
2003-02-05,15.7,15.8,15.15,15.2,437500,8.94
2003-02-06,15.7,15.7,14.95,15.55,511200,9.14
2003-02-07,15.6,15.6,15.1,15.15,285900,8.91
2003-02-10,15.5,15.5,14.5,14.55,319300,8.55
2003-02-11,14.6,14.85,14.25,14.3,258000,8.41
2003-02-12,14.25,14.65,14.1,14.2,245600,8.35
2003-02-14,14.5,14.5,13.4,13.5,372100,7.94
2003-02-17,14.6,14.9,14.15,14.75,442600,8.67
2003-02-18,15.0,15.45,14.9,15.0,543300,8.82
2003-02-19,15.35,15.7,15.05,15.35,757600,9.02
2003-02-20,15.6,16.25,15.25,15.35,682300,9.02
2003-02-21,15.35,15.55,15.15,15.25,312700,8.97
2003-02-24,15.5,15.65,15.2,15.3,415600,8.99
2003-02-25,15.2,15.3,14.65,14.75,297800,8.67
2003-02-26,14.4,14.85,14.15,14.3,375400,8.41
2003-02-27,14.3,14.9,14.2,14.7,244300,8.64
2003-02-28,14.9,15.15,14.0,14.1,617600,8.29
2003-03-03,14.5,14.8,14.25,14.4,274200,8.47
2003-03-04,14.35,14.35,14.05,14.05,153600,8.26
2003-03-05,14.0,14.15,13.5,13.95,253400,8.2
2003-03-06,13.85,14.1,13.65,13.8,208000,8.11
2003-03-07,13.8,13.8,13.4,13.5,226400,7.94
2003-03-10,13.1,13.7,13.0,13.05,187400,7.67
2003-03-11,13.0,13.25,12.7,13.2,304900,7.76
2003-03-12,13.8,13.8,13.1,13.25,286800,7.79
2003-03-13,13.2,13.4,13.05,13.2,163800,7.76
2003-03-17,13.3,13.3,12.8,12.95,201600,7.61
2003-03-19,13.3,13.3,12.85,12.9,164700,7.58
2003-03-20,12.8,13.4,12.8,13.3,369100,7.82
2003-03-21,13.3,13.55,13.25,13.3,203200,7.82
2003-03-24,13.5,13.6,13.15,13.2,146200,7.76
2003-03-25,12.85,13.15,12.85,13.05,171300,7.67
2003-03-26,13.2,13.4,13.0,13.0,185000,7.64
2003-03-27,13.0,13.25,13.0,13.1,145800,7.7
2003-03-28,13.05,13.7,13.05,13.55,324500,7.97
2003-03-31,13.4,13.6,13.05,13.1,244900,7.7
2003-04-01,13.35,13.45,13.15,13.25,168000,7.79
2003-04-02,13.55,13.85,13.45,13.75,312500,8.08
2003-04-03,13.85,14.35,13.85,14.25,434600,8.38
2003-04-04,14.2,15.1,14.2,14.95,776400,8.79
2003-04-07,15.5,15.7,15.1,15.4,894400,9.05
2003-04-08,15.5,15.75,14.85,15.5,1014100,9.11
2003-04-09,15.5,16.2,15.4,15.45,1129300,9.08
2003-04-10,14.9,15.55,14.85,14.95,676600,8.79
2003-04-11,15.5,15.55,14.9,14.95,396000,8.79
2003-04-15,15.3,15.35,14.8,15.05,316000,8.85
2003-04-16,15.0,15.25,14.9,15.1,231100,8.88
2003-04-17,15.0,15.35,14.85,14.9,357200,8.76
2003-04-21,15.0,15.1,14.7,14.8,152900,8.7
2003-04-22,14.9,14.9,14.25,14.55,219800,8.55
2003-04-23,14.7,14.9,14.2,14.4,261800,8.47
2003-04-24,14.45,14.95,14.3,14.6,203600,8.58
2003-04-25,14.8,14.85,14.4,14.45,141100,8.49
2003-04-28,14.4,15.0,14.4,14.85,391200,8.73
2003-04-29,14.8,15.05,14.55,14.6,334100,8.58
2003-04-30,14.45,15.1,14.45,15.0,468800,8.82
2003-05-02,15.0,15.85,15.0,15.7,907500,9.23
2003-05-05,15.8,16.8,15.8,16.3,1468400,9.58
2003-05-06,16.6,17.25,16.35,16.45,1427500,9.67
2003-05-07,16.75,16.8,16.0,16.05,510400,9.44
2003-05-08,16.3,16.3,15.85,15.95,394500,9.38
2003-05-09,16.0,16.4,15.7,16.05,428300,9.44
2003-05-12,16.3,16.85,16.0,16.65,1048500,9.79
2003-05-13,16.75,17.3,16.75,16.9,1773200,9.94
2003-05-14,17.0,17.75,17.0,17.65,1686400,10.38
2003-05-15,17.8,18.4,17.65,18.1,1736300,10.64
2003-05-16,18.3,18.5,17.15,17.65,1592800,10.38
2003-05-19,17.7,17.9,16.65,16.8,1518900,9.88
2003-05-20,16.5,16.95,16.25,16.6,888300,9.76
2003-05-21,17.0,17.2,16.6,16.8,792800,9.88
2003-05-22,16.9,17.2,16.6,16.7,509100,9.82
2003-05-23,17.0,17.5,16.8,17.2,952500,10.11
2003-05-26,17.25,18.0,17.0,17.9,1380200,10.52
2003-05-27,18.25,18.4,17.75,17.9,1566200,10.52
2003-05-28,18.0,18.6,17.95,18.5,2078400,10.88
2003-05-29,19.0,22.2,18.75,21.25,7664700,12.49
2003-05-30,21.7,22.4,20.4,20.65,3734100,12.14
2003-06-02,20.0,20.0,17.6,18.35,2489500,10.79
2003-06-03,17.55,19.6,17.55,19.3,1785800,11.35
2003-06-04,19.85,20.3,19.7,19.85,1801900,11.67
2003-06-05,20.0,21.0,19.0,19.2,1652600,11.29
2003-06-06,18.5,19.25,18.5,18.85,810300,11.08
2003-06-09,18.95,19.45,18.3,18.5,568300,10.88
2003-06-10,17.9,18.2,17.1,17.25,895500,10.14
2003-06-11,17.05,18.3,17.05,18.1,900400,10.64
2003-06-12,18.7,18.7,18.05,18.1,736800,10.64
2003-06-13,18.45,18.5,17.8,17.9,630900,10.52
2003-06-16,17.9,17.9,17.3,17.45,567600,10.26
