Date,Open,High,Low,Close,Volume,Adj Close
1996-01-15,10.3,10.3,10.3,10.3,2000,0.015
1996-01-16,10.3,10.3,10.3,10.3,2000,0.015
1996-01-17,10.2,10.2,10.2,10.2,2000,0.0149
1996-01-30,10.2,10.2,9.5,9.5,4000,0.0139
1996-02-05,8.81,8.81,8.8,8.8,8000,0.0129
1996-02-06,8.8,9.5,9.45,9.45,26000,0.0138
1996-02-07,9.3,9.3,9.3,9.3,2000,0.0136
1996-02-09,9.5,9.5,9.5,9.5,4000,0.0139
1996-02-12,9.5,9.5,9.5,9.5,2000,0.0139
1996-02-14,9.5,10.0,9.0,10.0,4000,0.0146
1996-02-15,10.5,10.5,10.5,10.5,2000,0.0153
1996-02-16,10.5,10.5,10.35,10.35,6000,0.0151
1996-02-19,10.5,10.5,10.4,10.4,16000,0.0152
1996-02-20,10.4,11.2,10.4,10.55,14000,0.0154
1996-02-22,10.495,10.5,10.495,10.5,4000,0.0153
1996-02-23,10.2,10.6,10.2,10.6,4000,0.0155
1996-02-27,10.6,10.6,10.2,10.2,4000,0.0149
1996-02-29,10.0,10.0,10.0,10.0,2000,0.0146
1996-03-04,10.0,10.005,10.005,10.005,2000,0.0146
1996-03-14,9.05,9.05,9.05,9.05,2000,0.0132
1996-03-22,9.0,9.0,9.0,9.0,4000,0.0131
1996-03-27,9.0,8.4,8.4,8.4,2000,0.0123
1996-03-28,8.5,8.5,8.5,8.5,4000,0.0124
1996-03-29,8.3,8.5,8.3,8.425,12000,0.0123
1996-04-02,8.5,8.5,8.5,8.5,2000,0.0124
1996-04-10,9.3,9.3,9.3,9.3,2000,0.0136
1996-04-15,9.5,9.5,9.125,9.125,4000,0.0133
1996-04-16,9.1,9.1,8.75,8.755,12000,0.0128
1996-04-17,8.9,8.9,8.75,8.85,36000,0.0129
1996-04-18,9.1,9.1,9.0,9.0,16000,0.0131
1996-04-19,8.925,9.0,8.9,9.0,42000,0.0131
1996-04-22,9.0,9.0,8.8,8.8,20000,0.0129
1996-04-23,8.8,8.79,7.905,8.035,12000,0.0117
1996-04-24,8.8,8.8,8.8,8.8,2000,0.0129
1996-04-25,9.0,9.0,8.6,8.6,6000,0.0126
1996-04-26,8.5,8.5,8.2,8.2,6000,0.012
1996-04-29,8.0,8.0,8.0,8.0,2000,0.0117
1996-04-30,8.205,8.205,7.8,8.0,34000,0.0117
1996-05-02,8.5,8.5,8.5,8.5,4000,0.0124
1996-05-03,8.65,8.65,8.6,8.6,6000,0.0126
1996-05-07,8.5,8.5,8.5,8.5,2000,0.0124
1996-05-10,8.5,8.55,8.2,8.55,6000,0.0125
1996-05-14,8.1,8.1,8.05,8.05,4000,0.0118
1996-05-16,8.5,8.5,8.5,8.5,2000,0.0124
1996-05-17,8.45,8.45,8.45,8.45,2000,0.0123
1996-05-21,8.2,8.2,8.2,8.2,2000,0.012
1996-05-22,7.605,7.605,7.605,7.605,2000,0.0111
1996-05-23,7.605,7.4,7.105,7.3,22000,0.0107
1996-05-24,7.3,6.905,6.85,6.9,8000,0.0101
1996-05-27,6.9,6.95,6.95,6.95,2000,0.0102
1996-05-28,7.0,7.3,7.0,7.3,10000,0.0107
1996-05-29,7.5,7.5,7.5,7.5,2000,0.011
1996-05-30,7.5,7.5,7.5,7.5,6000,0.011
1996-05-31,7.5,7.5,7.5,7.5,10000,0.011
1996-06-03,8.225,8.225,8.225,8.225,2000,0.012
1996-06-10,7.5,7.5,7.5,7.5,2000,0.011
1996-06-11,7.5,7.55,7.5,7.51,6000,0.011
1996-06-13,7.4,8.25,7.4,8.085,16000,0.0118
1996-06-14,8.0,8.35,8.0,8.0,16000,0.0117
1996-06-17,8.0,8.1,7.85,7.85,10000,0.0115
1996-06-18,7.65,7.65,7.65,7.65,2000,0.0112
1996-06-21,7.5,7.7,7.5,7.7,4000,0.0112
1996-06-24,7.5,7.6,7.3,7.6,10000,0.0111
1996-06-25,7.0,7.7,7.0,7.5,16000,0.011
1996-06-26,7.6,7.69,7.6,7.69,12000,0.0112
1996-06-27,7.5,7.5,7.5,7.5,2000,0.011
1996-07-01,7.7,7.7,7.7,7.7,2000,0.0112
1996-07-02,7.7,7.7,7.5,7.5,8000,0.011
1996-07-03,7.0,7.0,7.0,7.0,6000,0.0102
1996-07-04,6.8,6.8,6.6,6.775,12000,0.0099
1996-07-05,7.0,7.0,6.5,6.5,16000,0.0095
1996-07-08,6.795,6.795,6.795,6.795,2000,0.0099
1996-07-09,6.75,6.75,6.45,6.5,56000,0.0095
1996-07-10,6.5,6.675,6.4,6.4,18000,0.0093
1996-07-11,6.6,6.8,6.6,6.8,6000,0.0099
1996-07-15,6.6,6.6,6.5,6.5,14000,0.0095
1996-07-16,6.5,6.5,6.3,6.3,6000,0.0092
1996-07-17,6.325,6.325,6.3,6.3,6000,0.0092
1996-07-18,6.5,6.5,6.5,6.5,8000,0.0095
1996-07-19,6.6,6.65,6.4,6.65,6000,0.0097
1996-07-22,6.6,6.6,6.6,6.6,2000,0.0096
1996-07-23,7.15,7.15,6.8,6.8,8000,0.0099
1996-07-24,6.75,7.47,6.75,7.47,8000,0.0109
1996-07-25,7.0,7.15,7.0,7.15,4000,0.0104
1996-07-26,7.1,7.1,6.85,6.925,20000,0.0101
1996-07-29,6.91,7.405,6.4,6.41,1936000,0.0094
1996-07-30,6.6,6.6,6.405,6.5,120000,0.0095
1996-07-31,6.4,6.4,6.225,6.225,4000,0.0091
1996-08-01,6.3,6.825,6.03,6.045,144000,0.0088
1996-08-02,6.05,6.45,6.0,6.19,360000,0.009
1996-08-05,6.095,6.2,6.0,6.0,54000,0.0088
1996-08-06,6.0,6.15,6.0,6.02,116000,0.0088
1996-08-07,6.195,6.195,5.9,6.09,60000,0.0089
1996-08-08,5.925,6.0,5.5,5.925,170000,0.0087
1996-08-09,5.94,5.945,5.4,5.6,92000,0.0082
1996-08-12,5.575,5.6,5.4,5.5,54000,0.008
1996-08-13,5.575,5.575,5.3,5.3,58000,0.0077
1996-08-14,5.4,5.4,4.775,4.925,226000,0.0072
1996-08-16,5.195,5.425,4.8,5.405,666000,0.0079
1996-08-19,5.25,5.55,5.245,5.45,188000,0.008
1996-08-20,5.4,5.525,5.4,5.525,122000,0.0081
1996-08-21,5.5,5.68,5.5,5.68,16000,0.0083
1996-08-22,5.625,5.995,5.625,5.85,22000,0.0085
1996-08-23,5.3,5.695,5.3,5.5,12000,0.008
1996-08-26,5.405,6.045,5.405,5.935,92000,0.0087
1996-08-27,5.9,6.15,5.5,5.92,128000,0.0086
1996-08-28,5.7,6.5,5.7,6.265,42000,0.0092
1996-08-29,6.3,6.4,6.2,6.2,26000,0.0091
1996-08-30,6.4,6.4,6.2,6.25,30000,0.0091
1996-09-02,6.325,6.325,6.325,6.325,6000,0.0092
1996-09-03,5.7,6.4,5.7,6.0,38000,0.0088
1996-09-04,6.15,6.2,6.05,6.19,534000,0.009
1996-09-05,6.25,6.37,6.0,6.09,54000,0.0089
1996-09-06,6.25,6.25,5.75,5.83,26000,0.0085
1996-09-09,5.85,5.9,5.85,5.85,10000,0.0085
1996-09-10,5.75,5.75,5.5,5.5,22000,0.008
1996-09-11,5.45,5.45,5.45,5.45,2000,0.008
1996-09-12,5.5,5.5,5.5,5.5,4000,0.008
1996-09-13,5.525,5.525,5.525,5.525,2000,0.0081
1996-09-16,5.5,5.5,5.5,5.5,4000,0.008
1996-09-17,5.3,5.3,5.15,5.2,10000,0.0076
1996-09-18,5.25,5.4,5.25,5.4,6000,0.0079
1996-09-19,5.25,5.25,5.11,5.11,12000,0.0075
1996-09-20,5.465,5.465,5.005,5.005,464000,0.0073
1996-09-23,4.9,4.9,4.895,4.895,6000,0.0071
1996-09-24,4.95,4.95,4.7,4.745,34000,0.0069
1996-09-25,4.8,4.975,4.8,4.975,8000,0.0073
1996-09-26,4.9,5.3,4.9,4.95,12000,0.0072
1996-09-27,4.855,4.855,4.855,4.855,2000,0.0071
1996-09-30,4.9,5.09,4.9,5.09,6000,0.0074
1996-10-01,5.0,5.0,4.95,4.95,8000,0.0072
1996-10-03,5.3,5.3,5.2,5.3,20000,0.0077
1996-10-04,5.1,5.595,5.1,5.59,46000,0.0082
1996-10-07,5.4,5.9,5.32,5.9,46000,0.0086
1996-10-08,5.8,5.8,5.55,5.555,52000,0.0081
1996-10-09,5.75,5.94,5.565,5.875,528000,0.0086
1996-10-10,6.1,6.28,6.0,6.08,162000,0.0089
1996-10-11,6.15,6.15,6.0,6.0,94000,0.0088
1996-10-14,6.0,6.0,5.9,5.9,72000,0.0086
1996-10-15,6.0,6.0,5.8,5.925,78000,0.0087
1996-10-16,6.0,6.0,5.95,6.0,20000,0.0088
1996-10-17,5.8,6.05,5.8,6.0,14000,0.0088
1996-10-18,6.0,6.1,6.0,6.0,14000,0.0088
1996-10-22,6.2,6.2,6.2,6.2,4000,0.0091
1996-10-23,6.325,6.325,6.325,6.325,2000,0.0092
1996-10-25,5.9,5.9,5.9,5.9,2000,0.0086
1996-10-28,6.0,6.0,5.9,6.0,8000,0.0088
1996-10-29,5.8,6.0,5.8,5.9,8000,0.0086
1996-10-31,5.7,5.795,5.7,5.795,6000,0.0085
1996-11-01,5.7,5.7,5.7,5.7,4000,0.0083
1996-11-04,5.695,5.795,5.695,5.7,12000,0.0083
1996-11-05,5.6,6.095,5.6,6.095,8000,0.0089
1996-11-06,6.0,6.2,5.95,6.2,6000,0.0091
1996-11-08,6.2,6.2,6.2,6.2,2000,0.0091
1996-11-11,6.2,6.29,6.2,6.29,4000,0.0092
1996-11-13,6.2,6.2,6.2,6.2,2000,0.0091
1996-11-15,6.0,6.2,6.0,6.2,8000,0.0091
1996-11-18,6.2,6.2,6.0,6.0,6000,0.0088
1996-11-19,6.0,6.2,6.0,6.2,6000,0.0091
1996-11-20,6.2,6.3,6.2,6.3,6000,0.0092
1996-11-21,5.86,6.2,5.86,6.2,94000,0.0091
1996-11-22,6.02,6.1,6.0,6.1,16000,0.0089
1996-11-25,5.9,6.15,5.9,6.0,12000,0.0088
1996-11-26,6.0,6.39,6.0,6.335,16000,0.0093
1996-11-27,6.0,6.19,5.93,5.965,14000,0.0087
1996-11-28,5.925,6.15,5.81,5.845,54000,0.0085
1996-11-29,5.85,6.0,5.775,6.0,16000,0.0088
1996-12-02,6.0,6.0,6.0,6.0,2000,0.0088
1996-12-03,6.0,6.15,6.0,6.15,10000,0.009
1996-12-04,6.1,6.1,6.0,6.0,6000,0.0088
1996-12-05,6.0,6.0,5.725,5.725,4000,0.0084
1996-12-06,5.9,5.9,5.9,5.9,6000,0.0086
1996-12-09,6.01,6.19,6.0,6.19,16000,0.009
1996-12-10,6.1,6.1,6.0,6.0,8000,0.0088
1996-12-11,6.075,6.1,6.075,6.1,8000,0.0089
1996-12-12,6.2,6.2,6.2,6.2,4000,0.0091
1996-12-13,6.2,6.2,6.2,6.2,6000,0.0091
1996-12-16,6.39,6.4,6.38,6.4,10000,0.0093
1996-12-17,6.5,6.51,6.5,6.505,6000,0.0095
1996-12-18,6.41,6.5,6.41,6.415,10000,0.0094
1996-12-19,6.305,6.305,6.305,6.305,2000,0.0092
1996-12-20,6.5,6.5,6.5,6.5,4000,0.0095
1996-12-23,6.51,6.56,6.5,6.5,10000,0.0095
1996-12-24,6.405,6.5,6.275,6.275,16000,0.0092
1996-12-26,6.5,6.65,6.5,6.65,4000,0.0097
1996-12-31,6.875,6.9,6.7,6.7,6000,0.0098
1997-01-01,6.8,6.8,6.75,6.75,6000,0.0099
1997-01-02,7.0,7.1,6.825,7.005,14000,0.0102
1997-01-03,6.8,7.2,6.8,7.2,22000,0.0105
1997-01-06,7.2,7.3,7.2,7.3,20000,0.0107
1997-01-07,7.1,7.2,7.08,7.08,8000,0.0103
1997-01-08,7.1,7.3,7.1,7.2,34000,0.0105
1997-01-09,7.45,7.7,7.4,7.59,26000,0.0111
1997-01-10,7.4,7.6,7.1,7.1,62000,0.0104
1997-01-13,7.2,7.2,6.835,6.835,16000,0.01
1997-01-14,6.9,6.95,6.5,6.5,24000,0.0095
1997-01-15,6.9,6.9,6.9,6.9,2000,0.0101
1997-01-16,7.0,7.0,6.9,7.0,20000,0.0102
1997-01-17,6.8,6.85,6.8,6.825,6000,0.01
1997-01-20,6.8,7.0,6.72,6.785,40000,0.0099
1997-01-21,6.69,6.78,6.605,6.66,34000,0.0097
1997-01-22,6.7,6.885,6.7,6.885,4000,0.0101
1997-01-24,6.635,6.635,6.635,6.635,2000,0.0097
1997-01-27,6.675,6.7,6.675,6.7,4000,0.0098
1997-01-28,6.825,6.825,6.425,6.575,10000,0.0096
1997-01-29,6.55,6.55,6.46,6.46,12000,0.0094
1997-01-30,6.65,6.65,6.65,6.65,2000,0.0097
1997-01-31,6.5,6.5,6.5,6.5,6000,0.0095
1997-02-04,6.33,6.49,6.325,6.49,6000,0.0095
1997-02-05,6.5,6.5,6.5,6.5,2000,0.0095
1997-02-06,6.5,6.5,6.5,6.5,2000,0.0095
1997-02-07,6.5,6.69,6.5,6.505,20000,0.0095
1997-02-10,6.625,6.625,6.505,6.505,14000,0.0095
1997-02-11,6.55,6.775,6.525,6.775,12000,0.0099
1997-02-12,6.8,6.85,6.8,6.85,8000,0.01
1997-02-13,6.825,6.995,6.8,6.995,16000,0.0102
