Date,Open,High,Low,Close,Volume,Adj Close
2015-11-06,70.5,73.4,67.0,70.4,22781500,70.06
2015-11-09,67.75,68.0,66.9,66.95,10010200,66.63
2015-11-10,66.5,66.5,64.1,64.55,10736900,64.24
2015-11-11,64.55,64.55,64.55,64.55,0,64.24
2015-11-12,64.55,64.55,64.55,64.55,0,64.24
2015-11-13,65.85,65.85,63.0,63.5,6771600,63.2
2015-11-16,63.45,65.5,62.0,65.0,5640600,64.69
2015-11-17,65.0,65.9,64.1,64.7,4900400,64.39
2015-11-18,65.0,66.05,64.1,65.2,2689500,64.89
2015-11-19,65.95,66.0,63.55,63.85,1688300,63.54
2015-11-20,63.55,66.0,63.5,65.2,2689800,64.89
2015-11-23,66.4,66.9,63.5,63.8,5389900,63.49
2015-11-24,63.5,64.4,62.5,62.95,3965900,62.65
2015-11-25,62.95,62.95,62.95,62.95,0,62.65
2015-11-26,62.9,63.4,61.5,61.65,3270300,61.35
2015-11-27,62.25,62.5,60.6,61.0,11891800,60.71
2015-11-30,61.0,61.3,58.8,59.1,14279700,58.82
2015-12-01,59.5,61.0,59.25,60.0,8080400,59.71
2015-12-02,60.2,61.75,59.9,60.3,3469100,60.01
2015-12-03,60.25,61.0,60.0,60.55,1759700,60.26
2015-12-04,60.4,60.95,60.1,60.5,2315500,60.21
2015-12-07,60.15,60.9,59.2,59.45,2506700,59.16
2015-12-08,59.5,59.7,57.5,57.7,5021100,57.42
2015-12-09,57.5,57.75,54.9,56.85,3845500,56.58
2015-12-10,56.85,57.45,54.9,56.85,4065800,56.58
2015-12-11,57.5,57.9,55.1,55.3,2150500,55.03
2015-12-14,55.1,56.0,54.05,55.75,2469900,55.48
2015-12-15,56.4,56.4,55.05,55.5,1200900,55.23
2015-12-16,56.3,56.7,55.5,56.05,2565800,55.78
2015-12-17,56.75,59.8,56.35,58.05,4120500,57.77
2015-12-18,57.9,58.8,56.8,58.4,1948000,58.12
2015-12-21,58.1,58.5,57.05,57.45,2030400,57.17
2015-12-22,58.35,59.5,57.3,59.3,3471300,59.02
2015-12-23,59.95,61.45,59.0,59.3,3113300,59.02
2015-12-24,59.9,61.2,59.0,60.9,1203800,60.61
2015-12-25,60.9,60.9,60.9,60.9,0,60.61
2015-12-28,61.0,61.35,59.75,59.95,1371100,59.66
2015-12-29,59.5,62.25,59.5,61.85,3266400,61.55
2015-12-30,62.0,62.4,61.25,61.5,1081800,61.2
2015-12-31,62.4,62.4,60.25,60.85,1207600,60.56
2016-01-01,61.4,61.4,60.4,60.7,559700,60.41
2016-01-04,61.2,61.2,58.75,58.95,1386400,58.67
2016-01-05,58.9,59.9,58.6,59.0,719300,58.72
2016-01-06,59.0,59.35,57.45,57.75,6064700,57.47
2016-01-07,57.45,57.45,55.4,55.9,1830100,55.63
2016-01-08,56.3,56.7,54.9,55.1,1605300,54.84
2016-01-11,54.45,54.95,53.75,53.9,2036100,53.64
2016-01-12,54.45,54.45,52.0,52.35,2404300,52.1
2016-01-13,53.35,53.35,48.6,51.3,3746000,51.05
2016-01-14,50.2,50.95,48.4,48.7,3748300,48.47
2016-01-15,50.0,50.0,46.0,46.85,3724200,46.62
2016-01-18,46.0,47.2,44.65,45.05,4818600,44.83
2016-01-19,45.55,46.5,44.35,45.55,2307600,45.33
2016-01-20,45.9,46.35,43.1,43.45,4740700,43.24
2016-01-21,44.5,45.4,43.1,43.45,5008700,43.24
2016-01-22,44.3,47.05,43.95,46.05,14500900,45.83
2016-01-25,47.1,48.0,46.65,47.3,1868900,47.07
2016-01-26,47.3,47.3,47.3,47.3,0,47.07
2016-01-27,48.6,51.0,47.75,50.6,2366600,50.36
2016-01-28,52.2,52.5,49.55,50.75,3585000,50.51
2016-01-29,50.95,53.0,49.5,52.55,3022200,52.3
2016-02-01,52.95,57.4,52.0,56.75,4700000,56.48
2016-02-02,58.4,58.75,53.75,54.35,4109800,54.09
2016-02-03,54.35,54.35,51.2,52.1,4385800,51.85
2016-02-04,52.65,54.1,52.65,53.45,1789200,53.19
2016-02-05,53.8,55.35,53.6,54.95,8000000,54.69
2016-02-08,55.4,56.4,54.0,54.4,1943200,54.14
2016-02-09,45.0,54.0,45.0,53.6,2228800,53.34
2016-02-10,52.6,54.0,52.5,53.05,2213300,52.8
2016-02-11,52.85,53.0,50.4,50.75,2303800,50.51
2016-02-12,51.3,52.0,48.5,50.4,7720600,50.16
2016-02-15,51.25,54.3,51.2,54.0,1855700,53.74
2016-02-16,54.15,55.1,50.0,50.45,1310600,50.21
2016-02-17,50.75,51.8,49.8,51.4,917900,51.15
2016-02-18,52.9,53.2,50.1,50.7,1242200,50.46
2016-02-19,50.6,52.2,50.25,50.8,1429800,50.56
2016-02-22,51.0,51.7,49.2,49.55,2208200,49.31
2016-02-23,49.85,50.0,48.0,48.05,1628600,47.82
2016-02-24,48.05,48.2,46.55,46.75,1957500,46.53
2016-02-25,47.45,47.65,46.25,46.75,946600,46.53
2016-02-26,47.4,47.95,46.75,47.1,1085600,46.87
2016-02-29,47.65,47.65,45.35,45.55,2690000,45.33
2016-03-01,46.0,47.2,45.4,46.85,2197600,46.62
2016-03-02,47.95,49.55,47.8,48.95,2760100,48.71
2016-03-03,49.7,51.05,48.0,49.0,3992200,48.76
2016-03-04,49.4,50.5,49.0,49.65,1761900,49.41
2016-03-07,49.65,49.65,49.65,49.65,0,49.41
2016-03-08,49.55,50.1,48.9,49.1,2853600,48.86
2016-03-09,48.4,48.8,47.1,47.6,2098900,47.37
2016-03-10,48.0,48.2,47.0,47.3,1729200,47.07
2016-03-11,47.35,47.85,47.0,47.55,1789200,47.32
2016-03-14,48.0,48.3,46.65,46.9,2246700,46.67
2016-03-15,47.35,47.35,46.15,46.3,1939600,46.08
2016-03-16,46.75,46.75,45.35,45.55,2364700,45.33
2016-03-17,46.2,46.35,43.9,44.7,7085500,44.49
2016-03-18,44.6,45.9,44.6,45.2,5586300,44.98
2016-03-21,45.85,47.25,45.55,47.0,2675900,46.77
2016-03-22,47.3,47.35,46.5,46.75,2021600,46.53
2016-03-23,47.65,48.3,46.9,47.35,5048100,47.12
2016-03-24,47.35,47.35,47.35,47.35,0,47.12
2016-03-25,47.35,47.35,47.35,47.35,0,47.12
2016-03-28,47.6,48.8,46.1,46.35,3095700,46.13
2016-03-29,46.65,47.3,45.0,46.35,25751300,46.13
2016-03-30,47.5,47.8,46.45,47.3,1771800,47.07
2016-03-31,47.1,48.45,46.75,48.2,2753500,47.97
2016-04-01,48.2,49.7,47.5,48.85,2443800,48.62
2016-04-04,49.4,50.7,48.95,50.45,5132000,50.21
2016-04-05,50.45,50.7,49.55,50.3,4306500,50.06
2016-04-06,50.9,51.2,49.5,50.8,1398800,50.56
2016-04-07,51.0,51.5,50.0,50.35,1481300,50.11
2016-04-08,50.05,52.4,49.6,52.15,1794700,51.9
2016-04-11,52.3,53.25,51.55,53.0,2619600,52.75
2016-04-12,53.0,54.0,52.85,53.6,2198500,53.34
2016-04-13,53.85,54.9,53.5,54.0,3069000,53.74
2016-04-14,54.0,54.0,54.0,54.0,0,53.74
2016-04-15,54.0,54.0,54.0,54.0,0,53.74
2016-04-18,54.4,54.95,53.6,53.95,7697400,53.69
2016-04-19,53.95,53.95,53.95,53.95,0,53.69
2016-04-20,54.1,55.0,53.25,53.8,3003400,53.54
2016-04-21,54.2,55.1,53.9,54.4,3798000,54.14
2016-04-22,54.4,54.65,53.4,53.8,1561000,53.54
2016-04-25,54.0,54.4,51.7,51.9,2043600,51.65
2016-04-26,52.0,53.5,52.0,52.95,2000000,52.7
2016-04-27,49.7,50.8,49.5,49.85,7457300,49.61
2016-04-28,50.1,50.1,46.8,47.4,10868200,47.17
2016-04-29,47.2,48.55,47.2,47.85,5555800,47.62
2016-05-02,47.9,48.45,47.3,47.8,1121200,47.57
2016-05-03,47.8,48.45,46.5,47.15,4490200,46.92
2016-05-04,47.4,47.4,46.5,46.9,3609500,46.67
2016-05-05,47.7,47.7,46.5,46.6,742200,46.38
2016-05-06,46.6,50.4,46.3,47.6,5940600,47.37
2016-05-09,47.8,48.15,47.0,47.85,1763600,47.62
2016-05-10,47.95,48.2,47.0,47.3,1062500,47.07
2016-05-11,46.65,47.2,46.0,46.4,1646700,46.18
2016-05-12,46.9,47.15,46.15,46.35,1430800,46.13
2016-05-13,46.5,48.55,46.2,46.55,16976500,46.33
2016-05-16,46.9,47.2,46.4,46.8,1992800,46.58
2016-05-17,47.0,47.3,46.8,47.0,2305800,46.77
2016-05-18,46.9,47.25,46.8,47.05,1522400,46.82
2016-05-19,47.15,47.9,46.95,47.2,2617200,46.97
2016-05-20,47.2,47.8,47.1,47.2,1233600,46.97
2016-05-23,47.2,47.5,47.0,47.1,811800,46.87
2016-05-24,47.15,47.9,46.65,46.95,25970300,46.72
2016-05-25,47.25,47.4,46.9,47.0,13469300,46.77
2016-05-26,47.1,47.7,46.95,47.05,4593700,46.82
2016-05-27,47.3,48.7,47.05,47.7,2475500,47.47
2016-05-30,47.7,48.7,47.7,48.05,2507100,47.82
2016-05-31,48.1,48.6,48.0,48.15,1762800,47.92
2016-06-01,48.1,48.45,47.9,48.05,1539100,47.82
2016-06-02,48.05,48.2,47.4,47.55,2473500,47.32
2016-06-03,47.75,47.95,47.25,47.35,1221700,47.12
2016-06-06,47.5,47.75,45.95,46.1,2850900,45.88
2016-06-07,46.2,46.7,45.85,46.05,3127600,45.83
2016-06-08,46.15,47.75,46.15,47.25,2948000,47.02
2016-06-09,47.5,48.15,47.1,47.35,1708000,47.12
2016-06-10,47.45,47.95,47.25,47.35,1703500,47.12
2016-06-13,47.2,47.3,46.8,47.0,735400,46.77
2016-06-14,47.25,47.65,47.0,47.2,1127000,46.97
2016-06-15,47.35,47.7,46.8,47.2,1469800,46.97
2016-06-16,47.05,47.5,46.65,47.0,1713500,46.77
2016-06-17,47.4,47.4,46.8,46.9,876800,46.67
2016-06-20,46.9,47.4,46.4,46.8,1408300,46.58
2016-06-21,46.85,47.2,46.1,46.2,2720200,45.98
2016-06-22,46.5,46.5,45.9,45.95,1486300,45.73
2016-06-23,46.0,46.25,45.0,45.4,1583300,45.18
2016-06-24,45.0,45.1,44.0,44.9,3627000,44.68
2016-06-27,45.35,45.7,44.95,45.05,1146200,44.83
2016-06-28,45.25,45.45,44.45,44.6,1943900,44.39
2016-06-29,45.0,45.25,44.8,44.85,2242100,44.63
2016-06-30,45.15,45.6,45.05,45.2,2176100,44.98
2016-07-01,45.55,46.15,45.15,45.35,2780900,45.13
2016-07-04,45.55,46.9,45.55,46.35,4868800,46.13
2016-07-05,46.45,47.2,45.8,45.95,4477600,45.73
2016-07-06,45.95,45.95,45.95,45.95,0,45.73
2016-07-07,46.35,48.0,46.25,47.4,4826100,47.17
2016-07-08,47.75,47.9,46.65,47.5,2333500,47.27
2016-07-11,48.2,48.6,47.6,48.05,4678100,47.82
2016-07-12,48.15,53.9,48.15,52.0,28787400,51.75
2016-07-13,52.3,52.3,50.4,50.8,4861500,50.56
2016-07-14,50.85,52.45,50.55,51.8,3794600,51.55
2016-07-15,52.2,52.2,51.05,51.6,2640500,51.35
2016-07-18,51.95,53.05,51.6,52.05,4806600,51.8
2016-07-19,52.05,52.3,50.55,50.65,2990300,50.65
2016-07-20,50.9,52.2,50.7,51.25,6019000,51.25
2016-07-21,51.6,51.6,50.2,50.35,2046400,50.35
2016-07-22,50.8,50.8,49.75,50.3,1760800,50.3
2016-07-25,50.3,51.5,50.3,50.85,4455300,50.85
2016-07-26,51.4,55.4,51.0,52.45,30818400,52.45
2016-07-27,53.0,53.6,50.8,51.05,9547800,51.05
2016-07-28,51.45,51.75,50.3,50.4,10587600,50.4
2016-07-29,50.5,52.5,50.5,51.6,8386000,51.6
2016-08-01,52.4,52.4,50.25,50.6,5113800,50.6
2016-08-02,50.15,51.45,49.55,50.45,13194000,50.45
2016-08-03,50.7,50.75,48.05,48.25,12088800,48.25
2016-08-04,48.65,49.25,48.4,49.0,5402300,49.0
2016-08-05,49.4,50.6,49.0,50.25,7437400,50.25
2016-08-08,50.4,51.3,50.4,51.0,3675700,51.0
2016-08-09,51.0,52.7,50.85,52.3,4752700,52.3
2016-08-10,52.5,52.6,51.4,52.0,4335800,52.0
2016-08-11,51.85,52.5,51.4,52.3,3054400,52.3
2016-08-12,52.7,53.85,52.0,52.8,5832100,52.8
2016-08-15,52.8,52.8,52.8,52.8,0,52.8
2016-08-16,53.0,53.25,52.25,52.55,3681300,52.55
2016-08-17,52.9,52.9,52.2,52.7,1438200,52.7
2016-08-18,53.0,53.45,52.65,53.0,4449600,53.0
2016-08-19,53.3,53.7,52.95,53.4,3172100,53.4
2016-08-22,53.85,53.9,52.9,53.3,2028200,53.3
2016-08-23,53.45,54.15,53.15,53.6,3514900,53.6
2016-08-24,53.7,54.4,53.35,53.65,3356800,53.65
2016-08-25,53.65,55.3,53.65,54.7,4765100,54.7
