Date,Open,High,Low,Close,Volume,Adj Close
2007-01-02,198.0,347.0,198.0,305.45,9570000,269.06
2007-01-03,307.0,316.5,306.2,309.4,3333900,272.54
2007-01-04,311.0,313.6,305.1,306.85,1579500,270.29
2007-01-05,306.0,308.0,299.0,301.85,1316500,265.88
2007-01-08,301.0,302.9,276.15,278.75,3040200,245.54
2007-01-09,280.7,286.8,266.1,272.6,3924600,240.12
2007-01-10,272.8,279.0,256.7,265.9,7615200,234.22
2007-01-11,264.8,274.75,264.1,269.1,1827100,237.04
2007-01-12,271.0,284.7,271.0,277.9,3557900,244.79
2007-01-15,281.55,299.9,278.3,298.3,4402500,262.76
2007-01-16,301.0,308.9,293.05,300.95,3461200,265.09
2007-01-17,303.0,310.0,299.4,307.1,2322200,270.51
2007-01-18,306.1,312.8,293.0,299.35,4891500,263.68
2007-01-19,302.0,306.85,290.0,294.25,2789200,259.19
2007-01-22,298.8,304.9,293.05,302.3,2261900,266.28
2007-01-23,301.95,309.4,298.1,305.95,2313000,269.5
2007-01-24,306.1,332.6,305.0,329.55,7112800,290.28
2007-01-25,333.55,347.0,333.0,341.15,4024000,300.5
2007-01-29,345.0,388.0,342.15,379.55,10117700,334.33
2007-01-31,380.95,386.0,362.5,366.05,4373300,322.44
2007-02-01,371.0,391.7,366.3,386.65,5004700,340.58
2007-02-02,391.85,425.8,390.15,419.95,7191500,369.91
2007-02-05,429.0,464.8,429.0,450.85,8461800,397.13
2007-02-06,458.35,472.0,430.15,441.3,7688100,388.72
2007-02-07,448.1,456.9,442.0,448.4,3245600,394.97
2007-02-08,454.0,456.5,441.8,449.0,2278200,395.5
2007-02-09,442.1,449.7,420.05,424.1,3364100,373.57
2007-02-12,428.25,428.25,385.3,397.15,3820900,349.83
2007-02-13,395.0,417.95,380.15,408.5,4074000,359.83
2007-02-14,406.9,406.9,385.7,390.6,3278500,344.06
2007-02-15,400.0,423.7,396.7,420.3,3144600,370.22
2007-02-19,424.0,435.0,417.25,425.75,2064900,375.02
2007-02-20,428.8,461.4,423.0,457.15,8916200,402.68
2007-02-21,462.0,467.35,443.5,447.05,3720400,393.78
2007-02-22,450.0,453.8,435.0,441.65,3195500,389.03
2007-02-23,442.0,445.9,427.8,436.8,3423200,384.76
2007-02-26,440.05,453.0,429.0,439.75,2863300,387.35
2007-02-27,439.0,443.1,432.2,434.45,1651800,382.69
2007-02-28,352.25,420.0,350.6,394.75,3285700,347.72
2007-03-01,389.4,402.65,365.15,397.5,3572700,350.14
2007-03-02,395.0,422.2,395.0,404.85,3426400,356.61
2007-03-05,395.0,398.0,370.0,384.95,3192200,339.08
2007-03-06,392.0,409.85,391.0,402.1,2282700,354.19
2007-03-07,408.0,415.0,391.2,403.55,2410600,355.47
2007-03-08,405.0,425.0,405.0,422.95,2006600,372.56
2007-03-09,427.1,432.6,424.75,425.7,1665200,374.98
2007-03-12,429.0,433.4,420.5,424.8,808500,374.19
2007-03-13,426.0,442.0,425.0,437.35,1749100,385.24
2007-03-14,422.3,428.8,406.0,417.45,983100,367.71
2007-03-15,422.0,428.75,402.0,406.9,3070700,358.42
2007-03-16,409.0,410.0,377.15,391.8,4561400,345.12
2007-03-19,393.25,405.0,383.25,398.85,2885500,351.33
2007-03-20,406.1,410.9,397.0,399.7,1584700,352.08
2007-03-21,402.1,407.25,395.6,403.15,2384500,355.12
2007-03-22,405.0,421.0,405.0,416.95,2235900,367.27
2007-03-23,419.0,419.75,400.1,413.55,2353700,364.28
2007-03-26,319.0,328.8,294.0,297.2,12865900,261.79
2007-03-28,268.35,318.9,242.1,293.25,26257500,258.31
2007-03-29,297.0,322.7,295.15,310.4,10581800,273.42
2007-03-30,319.6,323.8,295.0,298.65,7183300,263.07
2007-04-02,289.0,289.0,266.1,275.2,5638600,242.41
2007-04-03,279.0,287.0,270.0,272.1,2960400,239.68
2007-04-04,279.0,281.8,254.0,257.7,5163000,227.0
2007-04-05,260.0,277.3,250.25,261.05,8905500,229.95
2007-04-09,269.9,280.85,267.3,273.7,5173000,241.09
2007-04-10,277.25,287.35,272.1,279.8,9840900,246.46
2007-04-11,280.1,310.0,280.1,294.85,10081300,259.72
2007-04-12,295.0,302.0,286.3,287.9,6847100,253.6
2007-04-13,289.9,301.6,289.9,294.85,3285100,259.72
2007-04-16,298.95,311.0,298.15,302.45,3857500,266.41
2007-04-17,305.0,306.8,294.65,296.15,3217000,260.86
2007-04-18,309.0,309.0,283.5,285.25,2110900,251.26
2007-04-19,280.0,289.25,272.25,286.3,2194200,252.19
2007-04-20,290.95,306.5,290.95,303.25,4993800,267.12
2007-04-23,307.0,315.75,302.1,303.55,4664400,267.38
2007-04-24,301.0,331.8,301.0,323.15,10431100,284.65
2007-04-25,327.0,360.7,325.15,355.8,8589600,313.41
2007-04-26,360.0,367.7,331.1,357.15,9935500,314.6
2007-04-27,353.8,358.45,336.65,340.8,4831600,300.19
2007-04-30,336.9,344.2,332.15,340.85,3013500,300.24
2007-05-03,346.1,351.7,339.55,341.85,2284100,301.12
2007-05-04,344.35,366.6,339.5,359.35,6521500,316.53
2007-05-07,364.05,379.0,363.55,365.55,7634500,322.0
2007-05-08,369.7,385.0,348.15,351.4,5677400,309.53
2007-05-09,355.5,367.0,354.5,360.1,4275500,317.19
2007-05-10,369.45,381.95,362.15,367.35,7153300,323.58
2007-05-11,342.0,369.9,342.0,365.0,2735100,321.51
2007-05-14,372.0,393.95,370.1,390.7,5509100,344.15
2007-05-15,395.9,399.0,385.1,388.7,5485100,342.39
2007-05-16,385.0,394.8,382.1,392.05,3125200,345.34
2007-05-17,396.45,403.9,386.1,389.1,2986700,342.74
2007-05-18,388.05,389.0,376.2,384.8,2560600,338.95
2007-05-21,386.0,393.5,380.0,386.85,1756000,340.76
2007-05-22,388.05,391.0,377.35,379.1,1369700,333.93
2007-05-23,382.4,388.9,367.1,369.15,2280800,325.17
2007-05-24,370.0,373.8,363.55,368.0,1336900,324.15
2007-05-25,365.0,370.75,358.0,364.8,1189800,321.33
2007-05-28,368.45,379.0,367.15,373.9,1672400,329.35
2007-05-29,376.1,389.3,374.7,384.5,2497000,338.69
2007-05-30,383.1,392.5,375.1,377.75,2010000,332.74
2007-05-31,381.0,387.4,378.65,384.45,1398600,338.64
2007-06-01,388.1,420.0,386.1,402.2,9227100,354.28
2007-06-04,408.0,415.7,395.6,400.45,4724600,352.74
2007-06-05,400.0,403.9,387.15,391.35,2897700,344.72
2007-06-06,392.5,398.5,375.7,378.1,2975600,333.05
2007-06-07,373.8,391.0,372.15,384.4,2424000,338.6
2007-06-08,380.1,383.0,373.1,376.35,2427600,331.51
2007-06-11,384.1,386.0,368.05,370.2,2114200,326.09
2007-06-12,371.4,371.4,340.0,347.7,3284600,306.27
2007-06-13,350.0,369.9,341.2,350.55,4576700,308.78
2007-06-14,357.0,364.9,349.55,358.35,4624400,315.65
2007-06-15,365.1,386.7,363.6,368.2,6068100,324.33
2007-06-18,373.7,379.9,370.0,374.8,3210800,330.14
2007-06-19,374.0,389.8,371.0,387.45,2389300,341.29
2007-06-20,392.3,405.65,385.9,403.8,4061000,355.69
2007-06-21,408.0,411.05,393.3,401.3,2484300,353.49
2007-06-22,403.5,411.0,397.5,408.95,3734500,360.22
2007-06-25,409.0,428.6,405.25,426.25,5903100,375.46
2007-06-26,429.0,440.0,420.05,436.95,4967000,384.89
2007-06-27,436.95,445.0,420.1,437.6,4052500,385.46
2007-06-28,442.8,445.0,430.0,432.65,2402000,381.1
2007-06-29,435.0,438.0,412.4,418.3,4110500,368.46
2007-07-02,419.1,431.0,415.3,417.45,3586800,367.71
2007-07-03,419.0,444.0,419.0,436.0,6249600,384.05
2007-07-04,437.0,455.75,428.0,452.0,6067500,398.14
2007-07-05,455.0,459.9,415.0,451.2,6970300,397.44
2007-07-06,450.0,464.0,440.0,453.15,2811900,399.16
2007-07-09,450.0,457.85,444.1,449.85,2020500,396.25
2007-07-10,450.0,472.9,442.0,468.45,3172200,412.63
2007-07-11,472.0,509.65,461.25,501.7,5094200,441.92
2007-07-12,510.0,524.0,500.0,504.25,3355100,444.17
2007-07-13,509.1,519.3,505.35,511.4,1803600,450.47
2007-07-16,514.6,574.75,509.0,559.55,5321800,492.88
2007-07-17,565.75,654.9,555.0,592.65,11471100,522.04
2007-07-18,594.7,609.85,573.6,583.0,7132900,513.54
2007-07-19,583.0,590.9,570.25,576.25,2432700,507.59
2007-07-20,576.05,607.0,576.05,581.45,4547800,512.17
2007-07-23,581.5,588.8,574.0,582.4,1626800,513.01
2007-07-24,586.6,605.0,584.5,598.3,4451800,527.01
2007-07-25,593.9,616.0,559.0,584.3,5369000,514.68
2007-07-26,590.0,600.0,586.0,597.9,1661600,526.66
2007-07-27,592.95,592.95,550.0,564.95,4507000,497.64
2007-07-30,571.0,571.0,530.1,535.05,3954200,471.3
2007-07-31,540.9,560.0,536.2,550.4,2712400,484.82
2007-08-01,546.0,546.0,499.0,500.55,3897800,440.91
2007-08-02,507.85,524.0,485.55,514.95,1748500,453.59
2007-08-03,518.95,554.95,515.2,538.6,2952200,474.43
2007-08-06,529.2,529.9,503.25,519.15,2031700,457.29
2007-08-07,530.0,537.8,510.25,513.75,1155600,452.54
2007-08-08,520.0,528.5,518.05,520.55,775300,458.53
2007-08-09,525.1,530.75,501.1,506.5,1286900,446.15
2007-08-10,483.0,491.2,468.3,478.75,2885000,421.71
2007-08-13,483.5,504.4,483.0,490.8,1870500,432.32
2007-08-14,493.0,495.0,477.15,490.15,1233500,431.75
2007-08-16,460.0,466.8,450.0,459.3,1814600,404.57
2007-08-17,449.8,490.0,403.0,456.6,3361800,402.2
2007-08-20,480.0,495.0,476.0,487.9,1480600,429.77
2007-08-21,495.0,503.0,435.6,449.35,1416000,395.81
2007-08-22,444.0,465.5,420.15,460.7,1706300,405.81
2007-08-23,466.0,483.0,445.1,456.95,1866100,402.5
2007-08-24,452.0,470.0,435.0,445.6,3361300,392.51
2007-08-27,455.0,497.7,450.8,491.85,1807300,433.25
2007-08-28,491.85,497.0,476.6,479.15,1385700,422.06
2007-08-29,461.3,480.95,452.0,472.6,1879000,416.29
2007-08-30,488.75,488.75,463.0,468.95,1322200,413.08
2007-08-31,472.1,498.9,472.1,494.25,2061100,435.36
2007-09-03,499.2,499.2,483.1,493.0,1807400,434.26
2007-09-04,497.4,508.0,486.0,490.2,2194500,431.79
2007-09-05,494.7,499.2,480.35,490.0,1592200,431.62
2007-09-06,500.0,500.0,483.25,495.15,1065300,436.15
2007-09-07,498.0,514.8,498.0,506.3,2401100,445.97
2007-09-10,498.0,520.0,494.0,512.45,1865400,451.39
2007-09-11,518.65,520.8,507.6,510.3,2278200,449.5
2007-09-12,515.4,517.0,495.05,500.65,1193100,441.0
2007-09-13,504.9,506.6,494.0,500.65,2060700,441.0
2007-09-14,505.0,521.7,502.1,504.95,2757300,444.79
2007-09-17,509.4,510.4,491.2,495.85,849200,436.77
2007-09-18,495.0,498.7,481.6,491.15,1513900,432.63
2007-09-19,503.45,526.75,503.45,524.55,3393600,462.05
2007-09-20,527.0,587.7,526.0,573.65,4924800,505.3
2007-09-21,578.0,627.0,572.1,614.2,3678100,541.02
2007-09-24,622.0,622.4,589.0,593.95,2815500,523.18
2007-09-25,594.45,594.45,565.25,573.1,2418300,504.82
2007-09-26,585.0,649.7,585.0,615.05,7955400,541.77
2007-09-27,648.0,667.45,618.0,650.85,4932500,573.3
2007-09-28,654.9,697.0,572.0,685.1,2980500,603.47
2007-10-01,695.6,695.6,628.0,639.1,2180200,562.95
2007-10-03,649.0,661.95,605.0,626.3,2149400,551.68
2007-10-04,630.0,650.0,611.0,645.1,1591100,568.24
2007-10-05,640.15,654.75,625.0,631.45,787700,556.21
2007-10-08,625.0,639.5,589.0,601.3,1428500,529.66
2007-10-09,576.3,657.9,508.7,648.5,3188300,571.23
2007-10-10,650.0,658.25,635.0,649.55,1700300,572.16
2007-10-11,641.0,666.95,640.0,650.35,1209700,572.86
2007-10-12,649.4,675.0,619.0,633.9,2045800,558.37
2007-10-15,640.05,644.3,614.15,622.8,1770100,548.59
2007-10-16,624.1,628.8,592.0,602.8,1251100,530.98
2007-10-17,500.0,590.25,500.0,580.1,3248200,510.98
2007-10-18,575.15,609.0,505.0,536.3,2916500,472.4
2007-10-19,534.8,599.5,488.1,541.4,1781000,476.89
2007-10-22,520.0,582.0,510.05,556.85,3522200,490.5
2007-10-23,560.0,582.7,540.0,559.95,4264100,493.23
