Date,Open,High,Low,Close,Volume,Adj Close
2010-10-20,271.1,299.0,271.1,282.9,41372500,270.21
2010-10-21,281.7,304.9,275.8,298.75,8078600,285.35
2010-10-22,300.0,301.5,288.5,295.0,2887200,281.77
2010-10-25,295.55,306.35,292.7,302.15,2361100,288.6
2010-10-26,302.15,302.15,283.15,285.2,815100,272.41
2010-10-27,287.0,293.0,280.0,290.15,692400,277.14
2010-10-28,292.8,294.0,285.05,289.15,305900,276.18
2010-10-29,290.0,290.0,275.0,279.05,437900,266.54
2010-11-01,280.0,283.8,274.1,275.8,340600,263.43
2010-11-02,276.0,282.0,275.0,276.5,228600,264.1
2010-11-03,277.0,283.8,276.5,281.5,237500,268.88
2010-11-04,283.5,291.8,279.0,284.95,288600,272.17
2010-11-05,286.0,289.0,282.5,283.8,32900,271.07
2010-11-08,285.0,294.4,283.1,289.6,265400,276.61
2010-11-09,284.0,291.5,272.4,289.15,206900,276.18
2010-11-10,289.0,292.3,285.1,286.75,140600,273.89
2010-11-11,286.0,290.0,281.0,283.85,200600,271.12
2010-11-12,283.0,285.0,265.05,280.2,350500,267.63
2010-11-15,270.25,280.2,270.25,275.9,63000,263.53
2010-11-16,283.4,283.4,268.05,270.25,88300,258.13
2010-11-18,272.0,274.65,260.55,266.0,104900,254.07
2010-11-19,263.0,268.0,256.8,262.35,100200,250.58
2010-11-22,263.2,279.7,263.2,276.4,135900,264.0
2010-11-23,274.9,274.9,265.55,271.2,77600,259.04
2010-11-24,269.95,273.5,257.05,262.4,161400,250.63
2010-11-25,255.4,271.0,216.0,262.85,1320500,251.06
2010-11-26,262.5,288.7,256.1,266.85,1179700,254.88
2010-11-29,267.0,275.0,265.5,271.25,116900,259.09
2010-11-30,265.6,276.0,265.6,269.6,490700,257.51
2010-12-01,271.9,277.0,267.0,275.25,98300,262.91
2010-12-02,277.1,279.0,274.1,276.95,48800,264.53
2010-12-03,273.4,280.0,273.2,276.75,175500,264.34
2010-12-06,278.0,279.5,274.35,277.0,26200,264.58
2010-12-07,272.35,276.35,270.5,273.2,116300,260.95
2010-12-08,272.0,276.0,269.0,272.35,49400,260.14
2010-12-09,255.6,273.0,255.6,265.1,298500,253.21
2010-12-10,265.0,267.0,260.0,265.1,63500,253.21
2010-12-13,268.0,271.5,219.9,265.55,463100,253.64
2010-12-14,266.5,270.0,264.7,267.95,971800,255.93
2010-12-15,261.1,269.65,260.0,261.8,134800,250.06
2010-12-16,264.75,264.9,260.0,260.65,54000,248.96
2010-12-20,260.0,264.85,260.0,261.2,26600,249.49
2010-12-21,262.0,272.0,262.0,264.55,28700,252.69
2010-12-22,265.0,267.45,261.9,264.5,144800,252.64
2010-12-23,264.65,266.0,262.0,264.1,4300,252.26
2010-12-24,262.05,265.0,260.1,261.45,15400,249.73
2010-12-27,261.45,265.9,260.45,261.85,9500,250.11
2010-12-28,262.0,265.2,260.1,263.55,76600,251.73
2010-12-29,262.1,264.5,258.0,261.6,460400,249.87
2010-12-30,264.0,265.0,258.5,262.05,224600,250.3
2010-12-31,263.7,264.4,254.0,255.65,24600,244.19
2011-01-03,259.0,264.0,256.1,257.9,17500,246.33
2011-01-04,261.0,261.45,251.1,252.95,14300,241.61
2011-01-05,252.95,262.0,252.0,260.0,529000,248.34
2011-01-06,261.3,261.3,252.15,253.95,4800,242.56
2011-01-07,254.25,254.25,245.05,246.5,20800,235.45
2011-01-10,242.0,248.0,242.0,245.05,11600,234.06
2011-01-11,247.95,247.95,240.05,241.9,10500,231.05
2011-01-12,239.0,247.0,239.0,245.5,61800,234.49
2011-01-13,246.8,255.0,245.0,248.5,9600,237.36
2011-01-14,234.0,249.5,234.0,245.1,49700,234.11
2011-01-17,245.5,246.85,245.0,245.05,5100,234.06
2011-01-18,245.0,246.5,245.0,245.0,9700,234.01
2011-01-19,256.0,256.0,245.0,249.0,11400,237.83
2011-01-20,249.1,250.0,244.5,246.5,66500,235.45
2011-01-21,247.0,249.65,246.05,248.25,7000,237.12
2011-01-24,253.0,253.0,245.1,248.25,16100,237.12
2011-01-25,248.25,251.95,246.0,247.0,32600,235.92
2011-01-27,249.2,250.95,246.25,248.1,15200,236.97
2011-01-28,240.55,251.95,240.55,245.75,95100,234.73
2011-01-31,247.0,250.95,245.0,247.55,27300,236.45
2011-02-01,247.0,251.9,244.8,246.4,45700,235.35
2011-02-02,250.0,250.0,233.1,238.5,321200,227.8
2011-02-03,237.0,249.0,222.05,243.7,113800,232.77
2011-02-04,241.15,244.85,233.25,239.7,11000,228.95
2011-02-07,236.0,241.45,230.55,232.65,10500,222.22
2011-02-08,229.0,237.95,225.0,230.2,72200,219.88
2011-02-09,230.0,237.1,211.4,227.4,25600,217.2
2011-02-10,231.9,232.0,218.0,227.6,66400,217.39
2011-02-11,232.75,232.75,224.8,227.4,161400,217.2
2011-02-14,228.6,233.25,220.5,231.9,128100,221.5
2011-02-15,233.1,237.8,224.8,227.75,113600,217.54
2011-02-16,223.0,236.0,223.0,234.05,21100,223.55
2011-02-17,235.35,268.5,234.0,247.6,159800,236.5
2011-02-18,248.0,252.5,241.0,241.55,15600,230.72
2011-02-21,240.0,245.0,233.55,237.35,8600,226.71
2011-02-22,232.0,242.0,225.65,230.2,7700,219.88
2011-02-23,230.2,238.0,212.25,220.5,241500,210.61
2011-02-24,220.2,221.4,214.0,216.4,9600,206.7
2011-02-25,215.0,223.95,212.6,218.2,16200,208.41
2011-02-28,218.0,223.45,215.05,218.55,59000,208.75
2011-03-01,220.35,240.0,220.0,233.4,19700,222.93
2011-03-03,225.0,251.0,225.0,248.95,41300,237.79
2011-03-04,251.0,254.65,240.05,247.85,35500,236.73
2011-03-07,233.05,248.85,233.05,239.75,9300,229.0
2011-03-08,231.35,245.85,231.35,236.9,12300,226.28
2011-03-09,244.0,244.0,236.0,240.2,31000,229.43
2011-03-10,243.0,245.0,238.0,239.7,56700,228.95
2011-03-11,236.2,244.95,232.5,241.4,18300,230.57
2011-03-14,243.9,251.85,239.0,246.75,78000,235.68
2011-03-15,238.0,246.15,238.0,239.0,172800,228.28
2011-03-16,250.9,269.9,235.15,237.0,22300,226.37
2011-03-17,240.0,240.0,232.0,234.75,10900,224.22
2011-03-18,230.35,235.0,225.0,227.05,27200,216.87
2011-03-21,215.35,234.95,215.35,229.2,4500,218.92
2011-03-22,228.0,232.55,228.0,228.2,4900,217.97
