Date,Open,High,Low,Close,Volume,Adj Close
2010-10-27,190.0,208.8,188.35,193.15,24480600,183.4
2010-10-28,195.0,205.5,191.0,199.85,4969900,189.76
2010-10-29,200.0,205.7,195.1,199.35,2677900,189.28
2010-11-01,199.85,232.4,198.0,216.0,4316600,205.09
2010-11-02,216.0,217.95,202.5,203.75,1404200,193.46
2010-11-03,205.9,208.4,204.5,205.2,809700,194.84
2010-11-04,206.5,215.0,202.1,205.95,667500,195.55
2010-11-05,207.7,207.9,205.0,205.9,43400,195.5
2010-11-08,207.0,210.0,198.55,202.5,309000,192.28
2010-11-09,202.05,205.0,200.05,200.7,120900,190.57
2010-11-10,202.0,204.5,200.1,201.05,426100,190.9
2010-11-11,201.9,201.9,192.0,194.7,126800,184.87
2010-11-12,195.75,200.9,185.0,194.85,174700,185.01
2010-11-15,198.8,198.8,191.1,197.1,114100,187.15
2010-11-16,197.5,198.0,186.0,187.85,143300,178.37
2010-11-18,190.8,190.8,172.55,184.15,141100,174.85
2010-11-19,191.9,191.9,175.2,180.05,461500,170.96
2010-11-22,180.05,180.9,173.0,174.45,748700,165.64
2010-11-23,175.0,182.8,160.55,165.75,113700,157.38
2010-11-24,175.0,175.0,158.4,160.45,94400,152.35
2010-11-25,158.0,168.9,154.5,162.95,554500,154.72
2010-11-26,156.4,164.5,148.05,160.15,248600,152.06
2010-11-29,156.8,166.8,156.8,162.4,386300,154.2
2010-11-30,166.0,175.35,160.2,170.85,402300,162.22
2010-12-01,174.7,177.0,169.0,174.1,281400,165.31
2010-12-02,176.0,190.35,175.0,186.75,332400,177.32
2010-12-03,188.85,196.0,185.5,191.1,607200,181.45
2010-12-06,201.25,201.25,185.05,186.45,299900,177.04
2010-12-07,182.0,186.65,175.0,179.5,58600,170.44
2010-12-08,183.0,183.0,175.25,176.95,19800,168.02
2010-12-09,180.9,182.0,161.0,167.8,22700,159.33
2010-12-10,167.0,180.0,151.25,171.0,43400,162.37
2010-12-13,174.0,176.0,170.0,171.6,323100,162.94
2010-12-14,170.0,180.0,138.1,171.55,378600,162.89
2010-12-15,171.0,171.5,142.85,165.25,353400,156.91
2010-12-16,164.95,167.0,162.0,163.2,33800,154.96
2010-12-20,157.2,172.95,157.2,170.65,71900,162.03
2010-12-21,172.0,173.0,165.5,169.2,47500,160.66
2010-12-22,170.0,170.0,165.5,166.5,51900,158.09
2010-12-23,169.9,171.05,164.5,169.25,34700,160.7
2010-12-24,169.25,169.35,165.2,168.2,18800,159.71
2010-12-27,170.85,171.0,162.0,163.55,169800,155.29
2010-12-28,165.95,165.95,162.75,165.0,121800,156.67
2010-12-29,165.0,168.9,164.05,167.5,22100,159.04
2010-12-30,168.5,170.8,165.25,169.45,108800,160.89
2010-12-31,169.5,173.5,165.3,172.0,171200,163.32
2011-01-03,173.0,173.0,165.0,166.55,36700,158.14
2011-01-04,166.05,170.0,160.0,160.95,59100,152.82
2011-01-05,161.4,161.4,156.25,158.7,51300,150.69
2011-01-06,158.7,161.25,157.2,158.75,115800,150.73
2011-01-07,157.15,159.6,150.0,153.3,23000,145.56
2011-01-10,153.9,153.9,131.4,147.7,47200,140.24
2011-01-11,147.8,149.8,140.2,143.15,29400,135.92
2011-01-12,143.15,148.9,141.0,144.0,47600,136.73
2011-01-13,143.0,145.0,140.2,141.4,370600,134.26
2011-01-14,148.8,148.8,140.2,141.25,33200,134.12
2011-01-17,140.2,144.0,135.0,135.35,20900,128.52
2011-01-18,136.0,138.95,136.0,136.35,5000,129.47
2011-01-19,138.4,140.4,136.6,139.3,1625400,132.27
2011-01-20,140.0,146.45,136.55,143.95,81600,136.68
2011-01-21,140.5,147.35,140.5,145.35,38200,138.01
2011-01-24,142.6,164.0,142.6,157.95,158300,149.97
2011-01-25,157.95,157.95,151.1,155.0,108900,147.17
2011-01-27,155.0,161.65,150.2,153.6,115100,145.84
2011-01-28,159.0,159.0,148.0,155.25,86300,147.41
2011-01-31,150.3,155.0,142.5,150.35,72000,142.76
2011-02-01,148.3,152.4,142.1,145.95,37800,138.58
2011-02-02,145.6,147.35,138.2,139.8,13600,132.74
2011-02-03,138.2,140.0,134.0,136.3,30600,129.42
2011-02-04,135.15,140.0,128.0,130.5,29600,123.91
2011-02-07,127.3,130.5,125.05,126.8,158700,120.4
2011-02-08,129.7,133.75,125.3,128.0,143800,121.54
2011-02-09,130.0,131.05,115.2,119.7,96100,113.66
2011-02-10,128.0,129.5,117.2,125.5,90700,119.16
2011-02-11,125.55,130.0,120.5,126.8,43200,120.4
