Date,Open,High,Low,Close,Volume,Adj Close
1996-01-01,6.06,6.06,5.85,5.96,175000,0.55
1996-01-02,5.96,6.05,5.9,5.95,206000,0.55
1996-01-03,5.95,5.99,5.9,5.97,142000,0.55
1996-01-04,5.97,5.96,5.88,5.93,141000,0.55
1996-01-05,5.93,5.96,5.9,5.92,94500,0.55
1996-01-08,5.92,5.9,5.82,5.85,118500,0.54
1996-01-09,5.85,5.85,5.6,5.66,241500,0.52
1996-01-10,5.66,5.73,5.62,5.68,113000,0.52
1996-01-11,5.68,5.76,5.6,5.66,159000,0.52
1996-01-12,5.66,5.67,5.6,5.65,215500,0.52
1996-01-15,5.65,5.63,5.55,5.58,90500,0.52
1996-01-16,5.58,5.6,5.48,5.48,179000,0.51
1996-01-17,5.48,5.59,5.26,5.31,214500,0.49
1996-01-18,5.31,5.31,5.2,5.28,165000,0.49
1996-01-19,5.28,5.26,5.07,5.11,213000,0.47
1996-01-22,5.11,5.18,5.04,5.09,179500,0.47
1996-01-23,5.09,5.2,5.02,5.06,199500,0.47
1996-01-24,5.06,5.06,4.9,4.93,224500,0.46
1996-01-25,4.93,4.9,4.82,4.87,195000,0.45
1996-01-29,4.87,4.99,4.79,4.97,155500,0.46
1996-01-30,4.97,5.1,4.97,5.04,226000,0.47
1996-01-31,5.04,5.27,5.1,5.18,172000,0.48
1996-02-01,5.18,5.6,5.2,5.56,212000,0.51
1996-02-02,5.56,5.99,5.6,5.83,409500,0.54
1996-02-05,5.83,6.2,5.9,5.99,453000,0.55
1996-02-06,5.99,6.1,5.9,5.95,444000,0.55
1996-02-07,5.95,5.85,5.65,5.73,293000,0.53
1996-02-08,5.73,6.3,5.77,6.09,333500,0.56
1996-02-09,6.09,7.31,6.7,7.3,860000,0.67
1996-02-12,7.3,7.59,6.9,7.02,1425500,0.65
1996-02-13,7.2,7.2,6.65,6.9,725500,0.64
1996-02-14,6.9,7.6,7.18,7.42,1232000,0.69
1996-02-15,7.42,7.54,7.34,7.37,595500,0.68
1996-02-16,7.37,7.35,7.02,7.12,698000,0.66
1996-02-19,7.12,7.3,7.0,7.03,648500,0.65
1996-02-20,7.03,7.03,6.61,6.73,680500,0.62
1996-02-22,6.73,6.95,6.8,6.85,424000,0.63
1996-02-23,6.85,7.0,6.8,6.84,343500,0.63
1996-02-26,6.84,6.95,6.75,6.77,323500,0.63
1996-02-27,6.78,6.85,6.6,6.79,420500,0.63
1996-02-28,6.79,6.89,6.61,6.65,211000,0.61
1996-02-29,6.6,6.6,6.0,6.13,637500,0.57
1996-03-01,6.13,6.3,6.0,6.22,366000,0.57
1996-03-04,6.22,6.2,6.1,6.13,323500,0.57
1996-03-06,6.13,6.3,6.16,6.2,180000,0.57
1996-03-07,6.2,6.3,6.05,6.12,243000,0.57
1996-03-08,6.12,6.14,6.0,6.1,193500,0.56
1996-03-11,6.1,6.09,5.95,5.99,162000,0.55
1996-03-12,5.99,5.99,5.86,5.91,200000,0.55
1996-03-13,5.91,6.2,6.0,6.16,243000,0.57
1996-03-14,6.16,6.3,6.09,6.14,264500,0.57
1996-03-15,6.2,6.2,6.0,6.0,403500,0.55
1996-03-18,6.0,6.05,5.86,5.97,194000,0.55
1996-03-19,5.97,6.0,5.8,5.91,308500,0.55
1996-03-21,5.91,6.03,5.9,6.01,321500,0.56
1996-03-22,6.01,6.04,5.87,5.99,97000,0.55
1996-03-25,5.99,6.1,5.96,6.05,206500,0.56
1996-03-26,6.05,6.16,5.96,6.09,321500,0.56
1996-03-27,6.09,6.22,6.06,6.2,397500,0.57
1996-03-28,6.2,6.55,6.26,6.42,562000,0.59
1996-03-29,6.42,6.62,6.4,6.49,678000,0.6
1996-04-01,6.49,6.6,6.48,6.58,481500,0.61
1996-04-02,6.58,6.9,6.56,6.8,917500,0.63
1996-04-03,6.8,7.2,6.8,6.98,1041000,0.65
1996-04-04,6.98,6.91,6.7,6.81,567000,0.63
1996-04-08,6.81,6.94,6.82,6.9,462500,0.64
1996-04-09,6.9,6.92,6.71,6.77,609500,0.63
1996-04-10,6.77,6.92,6.48,6.57,452000,0.61
1996-04-11,6.5,6.68,6.5,6.67,315500,0.62
1996-04-12,6.67,6.77,6.56,6.7,282000,0.62
1996-04-15,6.82,6.91,6.75,6.85,494000,0.63
1996-04-16,6.84,6.87,6.72,6.75,391500,0.62
1996-04-17,6.75,7.05,6.85,7.01,773000,0.65
1996-04-18,7.1,7.39,7.01,7.31,1353000,0.68
1996-04-19,7.4,8.05,7.25,7.69,3175000,0.71
1996-04-22,8.0,8.2,7.41,7.54,2821500,0.7
1996-04-23,7.54,7.58,7.26,7.42,1607000,0.69
1996-04-24,7.79,8.1,7.6,7.69,2671500,0.71
1996-04-25,7.8,7.8,7.22,7.37,1666500,0.68
1996-04-26,7.37,7.59,7.25,7.4,1019500,0.68
