Date,Open,High,Low,Close,Volume,Adj Close
2002-07-01,34.1,35.6,34.0,35.25,352300,22.64
2002-07-02,35.05,35.75,34.5,35.05,330200,22.51
2002-07-03,34.85,35.5,34.6,34.9,222400,22.42
2002-07-04,33.4,33.4,32.5,32.65,154200,22.59
2002-07-05,33.0,33.0,31.75,31.85,166600,22.04
2002-07-08,32.25,33.0,31.5,31.75,407800,21.97
2002-07-09,31.8,32.5,31.8,32.25,195000,22.31
2002-07-10,32.7,32.7,31.3,31.5,191600,21.79
2002-07-11,31.5,31.95,31.1,31.45,161200,21.76
2002-07-12,31.1,32.25,31.1,31.6,146400,21.86
2002-07-15,31.75,32.05,30.7,31.65,328500,21.9
2002-07-16,32.5,32.5,31.0,31.1,198700,21.52
2002-07-17,31.1,31.4,29.55,29.75,222800,20.58
2002-07-18,30.25,31.0,30.0,30.5,118900,21.1
2002-07-19,30.65,30.65,30.0,30.15,67100,20.86
2002-07-22,29.7,30.0,28.2,28.3,177400,19.58
2002-07-23,27.7,30.05,27.7,29.85,152300,20.65
2002-07-24,29.5,30.45,29.05,29.75,114000,20.58
2002-07-25,30.8,30.9,29.3,29.45,76000,20.37
2002-07-26,29.0,29.5,28.6,28.85,120400,19.96
2002-07-29,28.4,29.05,26.5,27.7,271700,19.16
2002-07-30,28.1,28.4,27.05,27.15,161700,18.78
2002-07-31,27.15,27.55,25.7,27.25,168000,18.85
2002-08-01,27.65,28.35,27.0,27.35,135800,18.92
2002-08-02,26.9,28.2,26.9,27.9,126900,19.3
2002-08-05,28.0,29.0,27.95,28.6,118600,19.79
2002-08-06,28.75,29.0,28.0,28.7,151800,19.86
2002-08-07,29.0,29.1,28.55,28.6,112300,19.79
2002-08-08,28.1,28.9,28.0,28.15,86400,19.48
2002-08-09,28.2,28.65,28.0,28.45,72100,19.68
2002-08-12,28.0,28.85,28.0,28.55,73400,19.75
2002-08-13,28.75,28.85,28.45,28.5,65600,19.72
2002-08-14,28.25,28.6,28.0,28.4,53700,19.65
2002-08-16,28.5,28.5,28.15,28.15,54300,19.48
2002-08-19,28.2,28.8,28.15,28.5,51200,19.72
2002-08-20,28.5,28.8,28.35,28.45,44600,19.68
2002-08-21,28.3,28.95,28.25,28.3,38700,19.58
2002-08-22,28.4,28.75,28.35,28.4,24300,19.65
2002-08-23,28.35,28.75,28.35,28.5,47700,19.72
2002-08-26,28.75,28.75,28.25,28.35,36900,19.61
2002-08-27,28.4,28.55,27.9,27.95,61000,19.34
2002-08-28,27.9,28.05,27.65,27.9,34800,19.3
2002-08-29,27.8,27.95,27.4,27.45,29300,18.99
2002-08-30,27.5,27.8,27.3,27.5,82300,19.03
2002-09-02,27.6,27.9,27.2,27.25,90700,18.85
2002-09-03,27.35,27.35,26.5,26.65,114900,18.44
2002-09-04,26.6,26.7,26.2,26.25,164000,18.16
2002-09-05,26.7,26.7,26.2,26.35,51800,18.23
2002-09-06,26.3,27.0,26.25,26.45,82000,18.3
2002-09-09,26.3,26.6,26.05,26.4,82300,18.26
2002-09-11,26.6,26.6,26.1,26.45,68600,18.3
2002-09-12,26.6,26.75,26.4,26.55,44600,18.37
2002-09-13,26.6,26.75,26.4,26.7,68300,18.47
2002-09-16,26.25,27.1,25.95,26.15,197900,18.09
2002-09-17,26.25,26.45,26.15,26.3,58500,18.2
2002-09-18,26.5,26.5,26.1,26.1,43600,18.06
2002-09-19,26.25,26.4,25.55,25.7,82600,17.78
2002-09-20,25.5,25.6,25.2,25.25,113200,17.47
2002-09-23,25.5,25.5,25.2,25.25,45200,17.47
2002-09-24,25.45,25.75,25.1,25.6,48300,17.71
2002-09-25,25.5,25.75,25.35,25.45,42700,17.61
2002-09-26,25.4,25.95,25.4,25.65,33200,17.75
2002-09-27,25.6,26.0,25.6,25.8,48100,17.85
2002-09-30,25.9,25.95,25.55,25.6,24500,17.71
2002-10-01,25.85,25.85,25.4,25.55,29800,17.68
2002-10-03,25.45,25.85,25.45,25.65,25900,17.75
2002-10-04,25.45,25.8,25.4,25.5,54200,17.64
2002-10-07,25.85,26.35,25.6,26.2,49400,18.13
2002-10-08,26.3,26.8,26.3,26.75,70700,18.51
2002-10-09,26.55,27.0,26.55,26.7,45100,18.47
2002-10-10,26.75,26.9,26.4,26.65,31600,18.44
2002-10-11,26.5,26.9,26.0,26.2,59700,18.13
2002-10-14,26.2,26.8,26.2,26.7,26900,18.47
2002-10-16,27.0,27.0,26.4,26.6,50600,18.4
2002-10-17,26.75,26.75,26.3,26.4,31300,18.26
2002-10-18,26.5,26.55,26.1,26.2,44400,18.13
2002-10-21,26.85,26.85,26.3,26.5,30600,18.33
2002-10-22,26.95,26.95,26.45,26.65,81800,18.44
2002-10-23,26.5,26.75,26.0,26.05,107600,18.02
2002-10-24,25.8,26.5,25.8,26.1,24700,18.06
2002-10-25,26.4,26.4,25.9,26.2,43800,18.13
2002-10-28,26.4,27.3,26.1,26.7,198300,18.47
2002-10-29,27.3,27.7,26.9,27.55,245500,19.06
2002-10-30,27.6,27.9,27.25,27.8,74400,19.23
2002-10-31,27.6,28.1,27.6,27.9,108700,19.3
2002-11-01,28.0,28.75,28.0,28.2,145000,19.51
2002-11-04,28.85,28.95,28.5,28.7,71400,19.86
2002-11-05,28.7,29.25,28.6,28.75,111700,19.89
2002-11-07,28.05,29.1,28.05,28.95,75300,20.03
2002-11-08,29.0,29.45,28.65,29.1,116800,20.13
2002-11-11,29.5,29.75,27.9,28.2,243300,19.51
2002-11-12,28.5,28.75,27.65,28.2,67100,19.51
2002-11-13,28.4,29.25,28.15,29.05,106300,20.1
2002-11-14,29.1,29.2,27.9,28.0,136900,19.37
2002-11-15,28.3,28.6,28.2,28.35,38800,19.61
2002-11-18,28.5,29.0,28.3,28.5,156000,19.72
2002-11-20,28.5,28.75,28.45,28.5,40400,19.72
2002-11-21,28.4,28.9,28.35,28.4,104200,19.65
2002-11-22,28.8,30.05,28.75,29.65,417000,20.51
2002-11-25,29.95,30.5,29.8,30.15,230000,20.86
2002-11-26,30.85,31.0,30.4,30.8,219700,21.31
2002-11-27,30.65,31.65,30.6,30.85,353200,21.34
2002-11-28,31.3,32.0,31.0,31.2,124200,21.59
2002-11-29,31.4,31.5,30.1,30.75,125900,21.27
2002-12-02,31.0,31.9,30.9,31.15,279800,21.55
2002-12-03,31.0,31.7,30.5,30.75,171800,21.27
2002-12-04,30.8,30.8,30.1,30.35,88800,21.0
2002-12-05,30.75,31.25,30.2,31.1,95100,21.52
2002-12-06,31.5,32.0,30.8,31.7,269500,21.93
2002-12-09,31.95,33.5,31.6,31.95,620400,22.1
2002-12-10,32.0,32.6,31.35,32.25,176100,22.31
2002-12-11,32.9,33.75,32.45,33.4,562600,23.11
2002-12-12,33.65,34.5,33.35,33.6,693100,23.25
2002-12-13,33.9,37.75,33.15,37.45,2457000,25.91
2002-12-16,38.2,38.85,35.55,35.75,1104600,24.73
2002-12-17,36.0,37.7,34.25,37.4,1487200,25.87
2002-12-18,38.4,39.55,37.15,37.65,1637500,26.05
2002-12-19,38.0,39.0,37.0,37.2,1548300,25.74
2002-12-20,37.4,38.9,37.4,38.3,2231800,26.5
2002-12-23,38.3,39.35,37.0,37.1,750500,25.67
2002-12-24,37.6,38.3,36.85,37.15,832800,25.7
2002-12-26,37.6,37.9,37.1,37.3,517400,25.81
2002-12-27,37.7,37.85,36.7,37.15,611700,25.7
2002-12-30,36.95,36.95,36.4,36.55,274900,25.29
2002-12-31,36.9,37.15,36.0,37.0,543700,25.6
2003-01-01,37.2,37.55,36.3,36.5,463100,25.25
2003-01-02,36.6,37.0,35.9,36.15,496500,25.01
2003-01-03,36.5,36.55,36.0,36.1,383500,24.98
2003-01-06,36.2,36.35,35.25,35.4,310400,24.49
2003-01-07,35.5,36.0,35.1,35.9,340000,24.84
2003-01-08,36.25,36.75,36.1,36.45,256200,25.22
2003-01-09,36.7,38.5,36.55,38.4,886300,26.57
2003-01-10,38.85,39.0,37.5,38.25,999900,26.46
2003-01-13,38.25,38.9,37.8,38.45,542700,26.6
2003-01-14,38.85,40.3,38.05,39.7,2369000,27.47
2003-01-15,40.05,40.85,39.65,40.25,1193300,27.85
2003-01-16,40.5,41.0,39.7,39.9,1021200,27.6
2003-01-17,40.15,41.7,39.25,41.35,1528100,28.61
2003-01-20,41.2,42.4,40.65,41.75,1195800,28.88
2003-01-21,42.25,45.5,42.25,45.0,2458400,31.13
2003-01-22,45.6,46.25,43.3,44.1,2729000,30.51
2003-01-23,44.55,46.35,43.25,44.8,2054700,30.99
2003-01-24,45.0,45.1,40.6,41.1,1686100,28.43
2003-01-27,41.55,44.85,38.8,39.4,1211700,27.26
2003-01-28,39.4,40.65,38.9,40.2,1003300,27.81
2003-01-29,40.85,41.7,39.9,40.2,941300,27.81
2003-01-30,41.5,41.9,38.25,38.4,1144600,26.57
2003-01-31,38.7,38.7,37.0,37.25,745000,25.77
2003-02-03,37.5,38.7,37.45,38.5,552200,26.64
2003-02-04,38.75,39.8,38.55,38.9,983000,26.91
2003-02-05,38.75,39.3,38.05,38.4,729700,26.57
2003-02-06,38.7,39.15,37.65,38.95,804200,26.95
2003-02-07,39.05,39.05,37.7,37.9,674600,26.22
2003-02-10,38.1,38.1,35.7,36.25,373600,25.08
2003-02-11,36.45,37.0,35.8,36.05,511100,24.94
2003-02-12,36.0,36.9,35.0,35.15,696700,24.32
2003-02-14,35.1,35.1,34.15,34.45,638000,23.83
2003-02-17,35.0,36.45,35.0,36.15,809100,25.01
2003-02-18,36.75,37.55,36.2,36.4,1052900,25.18
2003-02-19,36.8,39.15,36.65,37.55,2208200,25.98
2003-02-20,38.0,39.65,36.75,37.5,2830600,25.94
2003-02-21,37.6,37.95,36.9,37.6,731200,26.01
2003-02-24,37.95,38.6,37.95,38.25,791200,26.46
2003-02-25,38.25,38.25,36.65,36.75,744500,25.43
2003-02-26,37.2,37.35,35.9,36.05,838800,24.94
2003-02-27,35.75,37.05,35.75,36.75,723300,25.43
2003-02-28,37.25,37.3,35.4,35.75,1117300,24.73
2003-03-03,36.3,37.1,36.15,36.35,503500,25.15
2003-03-04,36.5,36.5,35.5,35.85,341700,24.8
2003-03-05,36.0,36.0,35.0,35.5,430200,24.56
2003-03-06,35.5,35.8,34.9,35.1,351800,24.28
2003-03-07,34.75,35.0,34.05,34.1,398200,23.59
2003-03-10,33.8,34.25,31.4,31.95,837700,22.1
2003-03-11,31.25,32.35,31.1,31.95,868300,22.1
2003-03-12,32.4,33.5,31.9,32.35,713400,22.38
2003-03-13,33.0,33.1,32.05,32.75,320100,22.66
2003-03-17,33.0,33.85,32.1,33.65,485600,23.28
2003-03-19,34.1,34.5,33.55,34.2,462800,23.66
2003-03-20,33.95,35.25,33.65,35.05,489200,24.25
2003-03-21,35.3,36.35,35.25,36.15,486900,25.01
2003-03-24,36.7,36.7,35.2,35.85,387700,24.8
2003-03-25,35.4,35.4,34.0,35.25,273200,24.39
2003-03-26,35.5,36.6,35.5,36.15,588100,25.01
2003-03-27,35.6,36.6,35.1,36.2,210000,25.04
2003-03-28,36.2,39.0,36.2,38.6,1621200,26.71
2003-03-31,38.55,39.0,37.55,37.95,656100,26.26
2003-04-01,37.6,39.8,37.6,39.35,753300,27.22
2003-04-02,39.85,40.3,39.4,39.9,466300,27.6
2003-04-03,40.4,40.9,39.8,40.65,798300,28.12
2003-04-04,40.95,42.25,40.6,42.1,1362000,29.13
2003-04-07,42.85,44.45,42.0,42.3,1301300,29.26
2003-04-08,42.1,43.4,40.5,42.35,1614500,29.3
2003-04-09,41.1,43.35,40.85,41.2,1002200,28.5
2003-04-10,40.9,41.85,39.3,39.75,899100,27.5
2003-04-11,40.2,41.3,39.1,39.7,623200,27.47
2003-04-15,40.4,40.9,38.4,40.6,713200,28.09
2003-04-16,40.9,41.3,40.1,40.65,634800,28.12
2003-04-17,40.1,41.35,39.8,40.05,393700,27.71
2003-04-21,40.25,40.7,40.0,40.05,226200,27.71
2003-04-22,40.15,40.25,39.25,39.45,264000,27.29
2003-04-23,39.6,39.8,38.45,38.75,312900,26.81
2003-04-24,38.6,40.7,38.5,40.05,507000,27.71
2003-04-25,40.0,40.75,39.05,39.4,439900,27.26
2003-04-28,39.75,41.25,39.5,41.0,1115400,28.37
2003-04-29,41.1,42.0,40.0,40.15,860700,27.78
2003-04-30,41.9,44.4,40.7,42.3,5006400,29.26
2003-05-02,43.2,44.3,42.7,43.6,2412800,30.16
2003-05-05,44.0,45.45,43.7,44.8,2337200,30.99
2003-05-06,45.0,46.45,44.25,44.45,2592900,30.75
2003-05-07,44.9,44.9,43.0,43.15,668700,29.85
2003-05-08,43.3,43.85,42.55,42.85,681400,29.65
2003-05-09,46.5,46.5,42.75,42.95,716200,29.71
2003-05-12,43.0,44.75,43.0,44.45,1549600,30.75
2003-05-13,45.1,47.65,45.1,45.9,3884300,31.76
2003-05-14,46.5,47.25,46.0,46.2,1915700,31.96
2003-05-15,46.4,48.6,45.95,47.6,4561800,32.93
2003-05-16,48.4,48.75,44.3,45.3,3233400,31.34
2003-05-19,46.0,46.0,43.3,43.5,1915700,30.1
2003-05-20,43.5,44.4,42.35,43.5,2976600,30.1
2003-05-21,44.0,45.8,43.95,44.9,2473800,31.06
2003-05-22,45.4,48.5,44.9,47.7,5110200,33.0
2003-05-23,49.25,52.65,49.25,51.1,12874500,35.35
2003-05-26,51.75,53.1,50.0,52.55,5515100,36.36
2003-05-27,53.0,55.45,52.6,53.05,8677000,36.7
2003-05-28,53.55,55.5,52.1,54.85,6405800,37.95
2003-05-29,55.5,58.3,55.5,56.5,7718400,39.09
2003-05-30,57.1,57.15,54.4,54.85,3784500,37.95
2003-06-02,51.0,52.7,47.55,49.65,5411700,34.35
2003-06-03,49.9,52.5,49.9,51.75,5349900,35.8
2003-06-04,52.05,53.6,52.05,52.55,3141300,36.36
2003-06-05,53.4,54.0,50.6,51.1,3268600,35.35
2003-06-06,50.0,51.75,49.75,50.1,1751000,34.66
2003-06-09,50.8,51.0,49.15,49.5,1441100,34.25
2003-06-10,48.1,48.65,45.5,45.95,2218400,31.79
2003-06-11,46.6,48.4,46.25,47.8,2017000,33.07
2003-06-12,48.9,48.9,47.25,47.5,1366100,32.86
2003-06-13,47.5,48.0,46.4,46.85,810300,32.41
2003-06-16,47.5,47.5,45.4,45.65,1098000,31.58
2003-06-17,46.0,47.6,45.5,47.1,1522400,32.59
2003-06-18,47.5,47.5,46.15,46.3,976000,32.03
2003-06-19,46.4,48.9,46.35,48.35,2300000,33.45
2003-06-20,49.35,50.45,49.1,49.5,2081000,34.25
2003-06-23,50.25,50.95,48.65,49.0,2384500,33.9
2003-06-24,49.0,49.8,48.4,49.45,1308100,34.21
2003-06-25,50.5,51.6,50.05,50.95,2821000,35.25
2003-06-26,51.45,52.0,49.6,49.85,2675600,34.49
2003-06-27,50.55,50.55,48.95,50.0,1578000,34.59
2003-06-30,50.5,52.75,50.45,52.1,4218700,36.04
2003-07-01,49.4,49.6,48.1,48.2,1926000,35.38
2003-07-02,48.15,49.15,47.95,48.2,1015200,35.38
2003-07-03,48.5,51.65,48.1,50.65,4724400,37.18
2003-07-04,52.0,52.0,48.6,48.95,1715400,35.93
2003-07-07,49.8,51.0,48.8,50.4,2473200,37.0
2003-07-08,51.1,52.4,49.6,49.95,3038200,36.67
2003-07-09,50.7,51.4,48.8,49.1,1486200,36.04
2003-07-10,50.2,50.2,48.3,48.65,673800,35.71
2003-07-11,49.0,50.45,48.8,49.3,1192100,36.19
2003-07-14,49.95,50.8,49.85,50.35,1644400,36.96
2003-07-15,50.95,51.5,48.6,49.45,2559700,36.3
2003-07-16,49.9,51.4,49.25,51.0,3055900,37.44
2003-07-17,52.0,52.65,49.75,50.1,4042400,36.78
2003-07-18,50.0,50.75,49.0,49.9,1818800,36.63
2003-07-21,50.35,51.9,49.25,50.0,3573800,36.71
2003-07-22,50.05,50.3,48.15,48.5,1951800,35.6
2003-07-23,49.3,49.45,48.45,49.15,1156600,36.08
2003-07-24,49.55,49.9,49.0,49.45,805200,36.3
2003-07-25,49.7,50.75,49.55,50.6,1999800,37.15
2003-07-28,51.05,51.95,50.55,50.8,2086700,37.29
2003-07-29,50.0,51.0,49.05,49.25,1398800,36.16
2003-07-30,49.3,50.25,49.25,49.8,1470700,36.56
2003-07-31,50.25,50.85,49.05,49.3,1620900,36.19
2003-08-01,49.65,49.65,48.55,48.85,1065900,35.86
2003-08-04,49.0,49.05,48.5,48.7,1006200,35.75
2003-08-05,48.7,49.25,46.8,47.05,1250200,34.54
2003-08-06,47.3,47.65,46.2,46.35,938500,34.03
2003-08-07,46.5,47.2,46.05,47.05,997900,34.54
2003-08-08,47.65,48.25,47.15,47.5,947100,34.87
2003-08-11,47.9,47.9,46.6,46.9,1005700,34.43
2003-08-12,47.85,47.85,46.1,46.25,930900,33.95
2003-08-13,46.6,46.65,45.75,46.3,698900,33.99
2003-08-14,46.65,47.85,46.65,47.0,1067400,34.5
2003-08-18,48.1,48.1,46.25,46.55,730500,34.17
2003-08-19,46.7,47.5,46.0,46.1,692300,33.84
2003-08-20,46.6,47.5,46.1,47.2,1026900,34.65
2003-08-21,50.2,50.2,47.4,47.65,1735200,34.98
2003-08-22,47.7,48.15,47.0,47.45,841300,34.83
2003-08-25,47.85,49.0,45.0,45.8,1581000,33.62
2003-08-26,46.0,47.9,46.0,47.65,909300,34.98
2003-08-27,48.85,54.75,47.65,54.25,10754000,39.83
2003-08-28,55.6,55.6,52.0,52.7,6621600,38.69
2003-08-29,54.1,55.3,51.45,53.75,7440200,39.46
2003-09-01,53.5,58.75,53.5,57.2,8544500,41.99
2003-09-02,57.75,59.8,56.05,59.35,8297200,43.57
2003-09-03,60.0,60.8,56.15,56.85,6538200,41.73
2003-09-04,57.4,58.3,54.5,55.5,3858900,40.74
2003-09-05,56.4,57.8,55.5,57.2,3411300,41.99
2003-09-08,57.65,59.0,57.3,57.9,2264000,42.51
2003-09-09,58.5,58.6,55.3,56.15,1600100,41.22
2003-09-10,56.0,57.55,55.5,57.3,2360900,42.06
2003-09-11,57.3,58.75,56.05,57.85,2919700,42.47
2003-09-12,58.4,58.6,55.55,55.8,1870400,40.96
2003-09-15,56.0,56.1,52.5,52.95,1554300,38.87
2003-09-16,52.9,54.45,51.55,54.05,1690100,39.68
