,Company,BSE_Symbol,NSE_Symbol
0,3M India,523395,3MINDIA
1,8K Miles Soft,512161,8KMILES
2,Aarti Drugs,524348,AARTIDRUGS
3,Aarti Ind,524208,AARTIIND
4,Aban Offshore,523204,ABAN
5,ABB India,500002,ABB
6,Abbott India,500488,ABBOTINDIA
7,ACC,500410,ACC
8,Adani Ports,532921,ADANIPORTS
9,Adani Power,533096,ADANIPOWER
10,Aegis Logistics,500003,AEGISCHEM
11,AIA Engineering,532683,AIAENG
12,Ajanta Pharma,532331,AJANTPHARM
13,Akzo Nobel,500710,AKZOINDIA
14,Alembic Pharma,533573,APLLTD
15,Allahabad Bank,532480,ALBK
16,Allcargo,532749,ALLCARGO
17,Alok Industries,521070,ALOKTEXT
18,Amara Raja Batt,500008,AMARAJABAT
19,Ambuja Cements,500425,AMBUJACEM
20,Amtek Auto,520077,AMTEKAUTO
21,Anant Raj,515055,ANANTRAJ
22,Andhra Bank,532418,ANDHRABANK
23,Apollo Hospital,508869,APOLLOHOSP
24,Arvind,500101,ARVIND
25,Asahi India,515030,ASAHIINDIA
26,Ashiana Housing,523716,ASHIANA
27,Ashok Leyland,500477,ASHOKLEY
28,Ashoka Buildcon,533271,ASHOKA
29,Asian Paints,500820,ASIANPAINT
30,Astra Microwave,532493,ASTRAMICRO
31,Astral Poly Tec,532830,ASTRAL
32,AstraZeneca,506820,ASTRAZEN
33,Atul,500027,ATUL
34,Aurobindo Pharm,524804,AUROPHARMA
35,Avanti Feeds,512573,AVANTIFEED
36,Axis Bank,532215,AXISBANK
37,Bajaj Auto,532977,BAJAJ-AUTO
38,Bajaj Corp,533229,BAJAJCORP
39,Bajaj Electric,500031,BAJAJELEC
40,Bajaj Finance,500034,BAJFINANCE
41,Bajaj Finserv,532978,BAJAJFINSV
42,Bajaj Hind,500032,BAJAJHIND
43,Bajaj Holdings,500490,BAJAJHLDNG
44,Balkrishna Ind,502355,BALKRISIND
45,Balmer Lawrie,523319,BALMLAWRIE
46,Balrampur Chini,500038,BALRAMCHIN
47,Bank of Baroda,532134,BANKBARODA
48,Bank of India,532149,BANKINDIA
49,Bank of Mah,532525,MAHABANK
50,BASF,500042,BASF
51,Bata India,500043,BATAINDIA
52,Bayer CropScien,506285,BAYERCROP
53,BEML,500048,BEML
54,Berger Paints,509480,BERGEPAINT
55,BF Utilities,532430,BFUTILITIE
56,Bharat Elec,500049,BEL
57,Bharat Fin,533228,BHARATFIN
58,Bharat Forge,500493,BHARATFORG
59,Bharti Airtel,532454,BHARTIARTL
60,Bharti Infratel,534816,INFRATEL
61,BHEL,500103,BHEL
62,Bhushan,500055,BHUSANSTL
63,Biocon,532523,BIOCON
64,Birla Corp,500335,BIRLACORPN
65,Blue Dart,526612,BLUEDART
66,Blue Star,500067,BLUESTARCO
67,Bombay Burmah,501425,BBTC
68,Bombay Dyeing,500020,BOMDYEING
69,Bosch,500530,BOSCHLTD
70,BPCL,500547,BPCL
71,Britannia,500825,BRITANNIA
72,Cadila Health,532321,CADILAHC
73,Cairn India,532792,CAIRN
74,Can Fin Homes,511196,CANFINHOME
75,Canara Bank,532483,CANBK
76,Capital First,532938,CAPF
77,Caplin Labs,524742,CAPLIPOINT
78,Carborundum,513375,CARBORUNIV
79,CARE,534804,CARERATING
80,Castex Tech,532282,CASTEXTECH
81,Castrol,500870,CASTROLIND
82,CCL Products,519600,CCL
83,Ceat,500878,CEATLTD
