Company Name,Industry,Symbol,Series,ISIN Code
Adani Ports and Special Economic Zone Ltd.,SERVICES,ADANIPORTS,EQ,INE742F01042
Adani Power Ltd.,ENERGY,ADANIPOWER,EQ,INE814H01011
Bharat Heavy Electricals Ltd.,INDUSTRIAL MANUFACTURING,BHEL,EQ,INE257A01026
Bharti Airtel Ltd.,TELECOM,BHARTIARTL,EQ,INE397D01024
Bharti Infratel Ltd.,TELECOM,INFRATEL,EQ,INE121J01017
CESC Ltd.,ENERGY,CESC,EQ,INE486A01013
Container Corporation of India Ltd.,SERVICES,CONCOR,EQ,INE111A01017
Crompton Greaves Ltd.,INDUSTRIAL MANUFACTURING,CROMPGREAV,EQ,INE067A01029
Engineers India Ltd.,CONSTRUCTION,ENGINERSIN,EQ,INE510A01028
GMR Infrastructure Ltd.,CONSTRUCTION,GMRINFRA,EQ,INE776C01039
IRB Infrastructure Developers Ltd.,CONSTRUCTION,IRB,EQ,INE821I01014
Idea Cellular Ltd.,TELECOM,IDEA,EQ,INE669E01016
JSW Energy Ltd.,ENERGY,JSWENERGY,EQ,INE121E01018
Larsen & Toubro Ltd.,CONSTRUCTION,LT,EQ,INE018A01030
NCC Ltd.,CONSTRUCTION,NCC,EQ,INE868B01028
NHPC Ltd.,ENERGY,NHPC,EQ,INE848E01016
NTPC Ltd.,ENERGY,NTPC,EQ,INE733E01010
Power Grid Corporation of India Ltd.,ENERGY,POWERGRID,EQ,INE752E01010
Reliance Communications Ltd.,TELECOM,RCOM,EQ,INE330H01018
Reliance Infrastructure Ltd.,ENERGY,RELINFRA,EQ,INE036A01016
Reliance Power Ltd.,ENERGY,RPOWER,EQ,INE614G01033
Siemens Ltd.,INDUSTRIAL MANUFACTURING,SIEMENS,EQ,INE003A01024
Tata Communications Ltd.,TELECOM,TATACOMM,EQ,INE151A01013
Tata Power Co. Ltd.,ENERGY,TATAPOWER,EQ,INE245A01021
Voltas Ltd.,CONSTRUCTION,VOLTAS,EQ,INE226A01021
