Company Name,Industry,Symbol,Series,ISIN Code
APL Apollo Tubes Ltd.,METALS,APLAPOLLO,EQ,INE702C01019
Bhushan Steel Ltd.,METALS,BHUSANSTL,EQ,INE824B01021
Coal India Ltd.,METALS,COALINDIA,EQ,INE522F01014
Hindalco Industries Ltd.,METALS,HINDALCO,EQ,INE038A01020
Hindustan Zinc Ltd.,METALS,HINDZINC,EQ,INE267A01025
JSW Steel Ltd.,METALS,JSWSTEEL,EQ,INE019A01020
Jindal Steel & Power Ltd.,METALS,JINDALSTEL,EQ,INE749A01030
MOIL Ltd.,METALS,MOIL,EQ,INE490G01020
NMDC Ltd.,METALS,NMDC,EQ,INE584A01023
National Aluminium Co. Ltd.,METALS,NATIONALUM,EQ,INE139A01034
Orissa Min Dev Co Ltd.,METALS,ORISSAMINE,EQ,INE725E01024
Steel Authority of India Ltd.,METALS,SAIL,EQ,INE114A01011
Tata Steel Ltd.,METALS,TATASTEEL,EQ,INE081A01012
Vedanta Ltd.,METALS,VEDL,EQ,INE205A01025
Welspun Corp Ltd.,METALS,WELCORP,EQ,INE191B01025
