Company Name,Industry,Symbol,Series,ISIN Code
Bharat Electronics Ltd.,INDUSTRIAL MANUFACTURING,BEL,EQ,INE263A01016
Bharat Heavy Electricals Ltd.,INDUSTRIAL MANUFACTURING,BHEL,EQ,INE257A01026
Bharat Petroleum Corporation Ltd.,ENERGY,BPCL,EQ,INE029A01011
Coal India Ltd.,METALS,COALINDIA,EQ,INE522F01014
Container Corporation of India Ltd.,SERVICES,CONCOR,EQ,INE111A01017
Engineers India Ltd.,CONSTRUCTION,ENGINERSIN,EQ,INE510A01028
GAIL (India) Ltd.,ENERGY,GAIL,EQ,INE129A01019
Hindustan Petroleum Corporation Ltd.,ENERGY,HINDPETRO,EQ,INE094A01015
IFCI Ltd.,FINANCIAL SERVICES,IFCI,EQ,INE039A01010
Indian Oil Corporation Ltd.,ENERGY,IOC,EQ,INE242A01010
NHPC Ltd.,ENERGY,NHPC,EQ,INE848E01016
NMDC Ltd.,METALS,NMDC,EQ,INE584A01023
NTPC Ltd.,ENERGY,NTPC,EQ,INE733E01010
National Aluminium Co. Ltd.,METALS,NATIONALUM,EQ,INE139A01034
Oil & Natural Gas Corporation Ltd.,ENERGY,ONGC,EQ,INE213A01029
Oil India Ltd.,ENERGY,OIL,EQ,INE274J01014
Power Finance Corporation Ltd.,FINANCIAL SERVICES,PFC,EQ,INE134E01011
Power Grid Corporation of India Ltd.,ENERGY,POWERGRID,EQ,INE752E01010
Rural Electrification Corporation Ltd.,FINANCIAL SERVICES,RECLTD,EQ,INE020B01018
Steel Authority of India Ltd.,METALS,SAIL,EQ,INE114A01011
